nationality_iso2,nationality_name,source_rank,persona_id,persona_label,primary_routes,dependent_visa_spouse,dependent_visa_child,treaty_routes_eligible,eb_backlog_flag,tps_status,notes
MX,Mexico,1,1,student_single,F-1|M-1|J-1,,,TN|E-1|E-2,,,USMCA: TN available for professionals; F-1 requires SEVP-certified school
MX,Mexico,1,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,TN|E-1|E-2,,,J-2 spouse EAD: income cannot support J-1; F-2 spouse cannot work
MX,Mexico,1,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,TN|E-1|E-2,,,F-2 children may attend K-12; cannot work; child needs separate I-20/DS-2019
MX,Mexico,1,4,professional_single,H-1B|L-1A|L-1B|O-1|TN|E-1|E-2,,,TN|E-1|E-2,moderate,,"TN: USMCA Appendix 1603.D.1 professions; no petition; admitted at POE"
MX,Mexico,1,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|TN|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|TN-TD|E derivative,,TN|E-1|E-2,moderate,,"H-4 EAD auto-extension eliminated Oct 30 2025; 6-16.5mo gap risk on renewal"
MX,Mexico,1,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|TN|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|TN-TD|E derivative,H-4|L-2|O-3|TN-TD,TN|E-1|E-2,moderate,,"Children in H-4/L-2: K-12 public school permitted; school enrollment via SSN/ITIN"
IN,India,2,1,student_single,F-1|M-1|J-1,,,NONE,SEVERE_EB,,"No E-1/E-2/TN/E-3/H-1B1 treaty; EB-2 Unavailable Aug 2026; EB-3 cutoff Jan 2014"
IN,India,2,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,NONE,SEVERE_EB,,
IN,India,2,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,NONE,SEVERE_EB,,
IN,India,2,4,professional_single,H-1B|L-1A|L-1B|O-1,,,NONE,SEVERE_EB,,"H-1B lottery required; EB-1 cutoff Oct 15 2022; EB-2 Unavailable; decade+ queue"
IN,India,2,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,,NONE,SEVERE_EB,,"CRITICAL: H-4 EAD auto-extension eliminated Oct 30 2025 — Indian H-4 spouses face 6-16.5mo work-authorization gap"
IN,India,2,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,H-4|L-2|O-3,NONE,SEVERE_EB,,"Family joins principal's EB backlog; decade+ wait before GC"
CN,China,3,1,student_single,F-1|M-1|J-1,,,NONE,SEVERE_EB,,"No E-1/E-2/TN; EB-2 cutoff Sep 2021; EB-3 cutoff Jan 2022"
CN,China,3,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,NONE,SEVERE_EB,,
CN,China,3,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,NONE,SEVERE_EB,,
CN,China,3,4,professional_single,H-1B|L-1A|L-1B|O-1,,,NONE,SEVERE_EB,,"EB-1 cutoff Jul 2023; EB-2 Sep 2021; long queue"
CN,China,3,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,,NONE,SEVERE_EB,,
CN,China,3,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,H-4|L-2|O-3,NONE,SEVERE_EB,,
PH,Philippines,4,1,student_single,F-1|M-1|J-1,,,E-2,moderate_EB,,"E-2 only (no E-1); EB-1 Current; EB-3 cutoff Aug 2023 (retrogression risk)"
PH,Philippines,4,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-2,moderate_EB,,
PH,Philippines,4,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-2,moderate_EB,,
PH,Philippines,4,4,professional_single,H-1B|L-1A|L-1B|O-1|E-2,,,E-2,moderate_EB,,"Aug 2026 Bulletin warns EB-3 PH may retrograde or become Unavailable"
