corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
FR-DE,movers,AGS France (SOFDI – Société Française de Déménagement International),,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/ags-france,FIDI Global Alliance / FAIM Plus (auditor: EY),,2028
FR-DE,movers,Grospiron International,,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/grospiron-mobility-solutions,FIDI Global Alliance / FAIM Plus (auditor: EY),,2026
FR-DE,movers,Sterling Relocation S.A.R.L (trading as Sterling Lexicon),,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/sterling-lexicon-france,FIDI Global Alliance / FAIM (auditor: EY),,2027
FR-DE,movers,All World Transport,,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/all-world-transport,FIDI Global Alliance / FAIM (auditor: EY),,2026
FR-DE,movers,Neer Service,,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/neer-service-france,FIDI Global Alliance / FAIM (auditor: EY),,2027
FR-DE,movers,AGS Global Solutions GmbH — Berlin,,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/ags-global-solutions-berlin,FIDI Global Alliance / FAIM Plus (auditor: EY),,2026
FR-DE,movers,AGS Global Solutions GmbH — Koblenz,,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/ags-global-solutions-koblenz,FIDI Global Alliance / FAIM (auditor: EY),,2026
FR-DE,movers,Hasenkamp Relocation Services GmbH,,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/hasenkamp-relocation-services-gmbh-1,FIDI Global Alliance / FAIM Plus (auditor: EY),,
FR-DE,movers,Hertling GmbH & Co. KG,,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/hertling-gmbh-co-kg,FIDI Global Alliance / FAIM Plus (auditor: EY),,2029
FR-DE,movers,Intermove GmbH,,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/intermove-gmbh,FIDI Global Alliance / FAIM Plus (auditor: EY),,2027
FR-DE,movers,Paul v. Maur GmbH,,FIDI Global Alliance affiliate directory,www.fidi.org/find-fidi-affiliate/paul-v-maur-gmbh,FIDI Global Alliance / FAIM Plus (auditor: EY),,2028
FR-DE,legal_admin,Schlun & Elseven Rechtsanwälte PartG mbB,,Firm Impressum (RAK Köln) + Partnerschaftsregister Essen,se-legal.de/impressum/,Rechtsanwaltskammer Köln,PR 3608 Amtsgericht Essen,
FR-DE,legal_admin,BLKR Rechtsanwältinnen,,Firm Impressum (RAK Berlin stated),www.blkr-berlin.de/english/,Rechtsanwaltskammer Berlin,,
FR-DE,legal_admin,Rechtsanwalt Albert Rühling (Ruehling Immigration Law),,Hamburg city business register + firm Impressum,www.hamburg.de/branchenbuch/hamburg/eintrag/10824243/,Hanseatische RAK Hamburg,,
FR-DE,tax_finance,Matzenbach & Sternberg Partnerschaft mbB Steuerberatungsgesellschaft (MSP Beratung),,Firm Impressum (StBK Hessen) + Partnerschaftsregister Frankfurt,www.msp-beratung.com/about/,Steuerberaterkammer Hessen (BStBK member chamber),PR 1869 Amtsgericht Frankfurt am Main,
FR-DE,tax_finance,EY Tax GmbH Steuerberatungsgesellschaft,,Company legal imprint + LEI record,www.ey.com/de_de/legal-and-privacy/impressum,BStBK (via regional chambers),LEI: 5299006Z5RCK6POJJR69,
FR-DE,tax_finance,Kanzlei Thalmeir — Julian Thalmeir,,Firm website (StBK München stated),www.stb-thalmeir.de/,Steuerberaterkammer München,,
FR-DE,banks,Deutsche Bank AG,,BaFin institute database / regulatory disclosures,www.db.com/legal-resources/information-about-the-firm,BaFin (Federal Financial Supervisory Authority),100003,
