corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-AR,movers,ARGENTINA INTERNATIONAL MOVING SRL (ARGENMOVE),http://www.argenmove.com.ar,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/argentina-international-moving-srl-argenmove,FIDI Global Alliance (FAIM),,2028
XX-AR,movers,"UNIVERSAL CARGO, S.R.L.",http://www.universalcargo.com.ar,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/universal-cargo-srl,FIDI Global Alliance (FAIM Plus),,2028
XX-AR,movers,TRANSPACK ARGENTINA S.A.,http://www.transpackinternational.com,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/transpack-argentina,FIDI Global Alliance (FAIM Plus),,2027
XX-AR,movers,LIFT-VAN INTERNATIONAL Co. S.A.C.,http://www.liftvan.com,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/lift-van-international-co-sac,FIDI Global Alliance (FAIM),,2027
XX-AR,banks,Banco de la Nación Argentina,https://www.bna.com.ar,BCRA - Entidades Financieras (registro de entidades autorizadas),https://www.bcra.gob.ar/entidades-financieras/?bco=00011,Banco Central de la República Argentina (BCRA),00011,
XX-AR,banks,Banco de Galicia y Buenos Aires S.A.,https://www.galicia.ar,BCRA - Entidades Financieras (registro de entidades autorizadas),https://www.bcra.gob.ar/entidades-financieras/?bco=00007,Banco Central de la República Argentina (BCRA),00007,
XX-AR,banks,Banco Santander Argentina S.A.,https://www.santander.com.ar,BCRA - Entidades Financieras (registro de entidades autorizadas),https://www.bcra.gob.ar/entidades-financieras/?bco=00072,Banco Central de la República Argentina (BCRA),00072,
XX-AR,banks,Banco BBVA Argentina S.A.,https://www.bbva.com.ar,BCRA - Entidades Financieras (registro de entidades autorizadas),https://www.bcra.gob.ar/entidades-financieras/?bco=00017,Banco Central de la República Argentina (BCRA),00017,
XX-AR,banks,Banco Macro S.A.,https://www.macro.com.ar,BCRA - Entidades Financieras (registro de entidades autorizadas),https://www.bcra.gob.ar/entidades-financieras/?bco=00285,Banco Central de la República Argentina (BCRA),00285,
XX-AR,schools,St. Catherine's Moorlands School,https://www.scms.edu.ar,IB - Find an IB World School,https://www.ibo.org/en/school/000049,International Baccalaureate Organization (IB),000049,
XX-AR,schools,Colegio Lincoln,https://www.lincoln.esc.edu.ar,IB - Find an IB World School,https://www.ibo.org/en/school/000715,International Baccalaureate Organization (IB),000715,
XX-AR,schools,Asociación Escuelas Lincoln,https://www.lincoln.edu.ar,IB - Find an IB World School,https://www.ibo.org/en/school/000711,International Baccalaureate Organization (IB),000711,
XX-AR,schools,Northlands,https://northlands.edu.ar,IB - Find an IB World School,https://www.ibo.org/en/school/000869,International Baccalaureate Organization (IB),000869,
XX-AR,housing_agencies,TORIBIO ACHAVAL,https://www.toribioachaval.com,CUCICBA - Guía de Matriculados,https://www.colegioinmobiliario.org.ar/servicios/guia-de-matriculados/buscar?q=toribio%20achaval,CUCICBA (Colegio Único de Corredores Inmobiliarios de la CABA),394,
XX-AR,housing_agencies,ADRIAN MERCADO REAL ESTATE,https://www.grupoadrianmercado.com,CUCICBA - Guía de Matriculados,https://www.colegioinmobiliario.org.ar/servicios/guia-de-matriculados/buscar?q=mercado,CUCICBA (Colegio Único de Corredores Inmobiliarios de la CABA),5604,
XX-AR,housing_agencies,BULLRICH BROKERS,https://www.bullrichbrokers.com.ar,CUCICBA - Guía de Matriculados,https://www.colegioinmobiliario.org.ar/servicios/guia-de-matriculados/buscar?q=bullrich,CUCICBA (Colegio Único de Corredores Inmobiliarios de la CABA),2337,
XX-AR,housing_agencies,CORNEJO REALTY,,CUCICBA - Guía de Matriculados,https://www.colegioinmobiliario.org.ar/servicios/guia-de-matriculados/buscar?q=cornejo,CUCICBA (Colegio Único de Corredores Inmobiliarios de la CABA),2312,
