corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-AU,movers,Chess Moving Sydney,http://www.chessmoving.com.au,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/chess-moving-sydney,FIDI Global Alliance,,2026
XX-AU,movers,Grace Removals,https://www.grace.com.au,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/grace,FIDI Global Alliance,,2026
XX-AU,movers,Kent Relocation Services,http://www.KentRelocationServices.com.au,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/kent-relocation-services-3,FIDI Global Alliance,,2026
XX-AU,movers,Nuss Relocations,http://www.nuss.com.au,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/nuss-relocations,FIDI Global Alliance,,2026
XX-AU,movers,OSS World Wide Movers Pty Ltd,https://www.ossworldwidemovers.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/oss-world-wide-movers-pty-ltd,FIDI Global Alliance,,2028
XX-AU,legal_admin,Ajuria Lawyers,https://ajurialawyers.com,OMARA Register of Migration Agents,https://portal.mara.gov.au/search-the-register-of-migration-agents/,Office of the Migration Agents Registration Authority (OMARA),,
XX-AU,legal_admin,Migration Centre of Australia Pty Ltd,https://migrationcentreofaustralia.com.au,OMARA Register of Migration Agents,https://portal.mara.gov.au/search-the-register-of-migration-agents/,Office of the Migration Agents Registration Authority (OMARA),,
XX-AU,legal_admin,Australian Immigration Centre,https://www.ausimmigrationcentre.com.au,OMARA Register of Migration Agents,https://portal.mara.gov.au/search-the-register-of-migration-agents/,Office of the Migration Agents Registration Authority (OMARA),,
XX-AU,tax_finance,BDO Services Pty Ltd,https://www.bdo.com.au,Tax Practitioners Board (TPB) Register,https://myprofile.tpb.gov.au/public-register/,Tax Practitioners Board (TPB),79564002,2027
XX-AU,tax_finance,Grant Thornton Australia Limited,https://www.grantthornton.com.au,Tax Practitioners Board (TPB) Register,https://myprofile.tpb.gov.au/public-register/,Tax Practitioners Board (TPB),22156402,2026
XX-AU,tax_finance,Nexia Sydney Pty Ltd,https://nexia.com.au,Tax Practitioners Board (TPB) Register,https://myprofile.tpb.gov.au/public-register/,Tax Practitioners Board (TPB),25259682,2027
XX-AU,banks,Commonwealth Bank of Australia,https://www.commbank.com.au,APRA Register of authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,Australian Prudential Regulation Authority (APRA),,
XX-AU,banks,Westpac Banking Corporation,https://www.westpac.com.au,APRA Register of authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,Australian Prudential Regulation Authority (APRA),,
XX-AU,banks,National Australia Bank Limited,https://www.nab.com.au,APRA Register of authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,Australian Prudential Regulation Authority (APRA),,
XX-AU,banks,Australia and New Zealand Banking Group Limited,https://www.anz.com.au,APRA Register of authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,Australian Prudential Regulation Authority (APRA),,
XX-AU,banks,Macquarie Bank Limited,https://www.macquarie.com.au,APRA Register of authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,Australian Prudential Regulation Authority (APRA),,
XX-AU,schools,German International School Sydney,https://www.germanschoolsydney.com,NSW Government (NESA) - Approved NSW school providers (CRICOS),https://www.nsw.gov.au/education-and-training/nesa/overseas-students/approved-nsw-school-providers,CRICOS (NESA),02379D,2026
XX-AU,schools,Lycée Condorcet - The International French School of Sydney,https://www.condorcet.com.au,NSW Government (NESA) - Approved NSW school providers (CRICOS),https://www.nsw.gov.au/education-and-training/nesa/overseas-students/approved-nsw-school-providers,CRICOS (NESA),02743M,2030
XX-AU,schools,Reddam House Sydney,https://www.sydney.reddamhouse.com.au,NSW Government (NESA) - Approved NSW school providers (CRICOS),https://www.nsw.gov.au/education-and-training/nesa/overseas-students/approved-nsw-school-providers,CRICOS (NESA),03849D,2026
XX-AU,schools,Trinity Grammar School,https://www.trinity.nsw.edu.au,NSW Government (NESA) - Approved NSW school providers (CRICOS),https://www.nsw.gov.au/education-and-training/nesa/overseas-students/approved-nsw-school-providers,CRICOS (NESA),02308G,2029
XX-AU,housing_agencies,Laing & Simmons CBD Surry Hills,,NSW Fair Trading - Property & real estate agents register (Verify NSW),https://verify.licence.nsw.gov.au/home/Property,NSW Fair Trading,10048708,2031
XX-AU,housing_agencies,Belle Property Hornsby,,NSW Fair Trading - Property & real estate agents register (Verify NSW),https://verify.licence.nsw.gov.au/home/Property,NSW Fair Trading,10024893,2030
XX-AU,housing_agencies,Ray White Bexley North,,NSW Fair Trading - Property & real estate agents register (Verify NSW),https://verify.licence.nsw.gov.au/home/Property,NSW Fair Trading,996306,2027
XX-AU,housing_agencies,Laing & Simmons Woollahra,,NSW Fair Trading - Property & real estate agents register (Verify NSW),https://verify.licence.nsw.gov.au/home/Property,NSW Fair Trading,10068002,2028
