corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-BR,movers,Transportes Fink,https://www.fink.com.br,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/fink-mobility-1,FIDI Global Alliance (FAIM),,2028
XX-BR,movers,Gerson & Grey Mobility Ltda,https://www.gersonandgrey.com.br,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/gerson-grey,FIDI Global Alliance (FAIM),,
XX-BR,movers,Netmove Assessoria Internacional Ltda,https://www.netmove.com.br,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/netmove,FIDI Global Alliance (FAIM),,2028
XX-BR,movers,One Moving & Logistics Ltda,https://www.onemoving.com.br,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/one-moving,FIDI Global Alliance (FAIM),,
XX-BR,banks,Itaú Unibanco S.A.,https://www.itau.com.br,Banco Central do Brasil — Portal de Dados Abertos (instituição do SFN),https://dadosabertos.bcb.gov.br/dataset/ir-60701190000104,Banco Central do Brasil (BCB),60701190000104,
XX-BR,banks,Banco Bradesco S.A.,https://www.bradesco.com.br,Banco Central do Brasil — Portal de Dados Abertos (instituição do SFN),https://dadosabertos.bcb.gov.br/dataset/ir-60746948000112,Banco Central do Brasil (BCB),60746948000112,
XX-BR,banks,Banco do Brasil S.A.,https://www.bb.com.br,Banco Central do Brasil — Portal de Dados Abertos (instituição do SFN),https://dadosabertos.bcb.gov.br/dataset/ir-00000000000191,Banco Central do Brasil (BCB),00000000000191,
XX-BR,banks,Banco Santander (Brasil) S.A.,https://www.santander.com.br,Banco Central do Brasil — Portal de Dados Abertos (instituição do SFN),https://dadosabertos.bcb.gov.br/dataset/ir-90400888000142,Banco Central do Brasil (BCB),90400888000142,
XX-BR,banks,Caixa Econômica Federal,https://www.caixa.gov.br,Banco Central do Brasil — Portal de Dados Abertos (instituição do SFN),https://dadosabertos.bcb.gov.br/dataset/ir-00360305000104,Banco Central do Brasil (BCB),00360305000104,
XX-BR,schools,Associação Escola Graduada de São Paulo (Graded),https://www.graded.br,IBO — Find an IB World School,https://www.ibo.org/en/school/000353,International Baccalaureate Organization (IBO),000353,
XX-BR,schools,St. Paul's School,https://www.stpauls.br,IBO — Find an IB World School,https://www.ibo.org/en/school/000377,International Baccalaureate Organization (IBO),000377,
XX-BR,schools,Beacon School,https://www.beaconschool.com.br,IBO — Find an IB World School,https://www.ibo.org/en/school/019016,International Baccalaureate Organization (IBO),019016,
XX-BR,schools,The British College of Brazil,https://www.britishcollegebrazil.org,IBO — Find an IB World School,https://www.ibo.org/en/school/060188,International Baccalaureate Organization (IBO),060188,
XX-BR,legal_admin,Pinheiro Neto Advogados,https://www.pinheironeto.com.br,OAB-SP — Consulta ao Cadastro das Sociedades de Advocacia,https://www2.oabsp.org.br/asp/consultaSociedades/consultaSociedades03.asp?param=1370,"Ordem dos Advogados do Brasil, Seção São Paulo (OAB-SP)",11,
XX-BR,legal_admin,"Mattos Filho, Veiga Filho, Marrey Jr. e Quiroga Advogados",https://www.mattosfilho.com.br,OAB-SP — Consulta ao Cadastro das Sociedades de Advocacia,https://www2.oabsp.org.br/asp/consultaSociedades/consultaSociedades03.asp?param=2604,"Ordem dos Advogados do Brasil, Seção São Paulo (OAB-SP)",1979,
