corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-CH,movers,ATLAS INTERNATIONAL MOVERS AG,https://atlas-movers.ch/,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/atlas-international-movers-ag,FIDI FAIM,,2027
XX-CH,movers,KEHRLI + OELER LTD,http://www.kehrlioeler.ch,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/kehrli-oeler-ltd-0,FIDI FAIM,,2026
XX-CH,movers,WELTI-FURRER AG,http://www.welti-furrer.ch,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/welti-furrer-ag,FIDI FAIM,,2027
XX-CH,movers,"HARSCH, THE ART OF MOVING FORWARD",http://www.harsch.ch,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/harsch-art-moving-forward,FIDI FAIM,,
XX-CH,banks,UBS AG,https://www.ubs.com,FINMA Banken Register,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,FINMA,,
XX-CH,banks,Zürcher Kantonalbank,https://www.zkb.ch,FINMA Banken Register,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,FINMA,,
XX-CH,banks,Migros Bank AG,https://www.migrosbank.ch,FINMA Banken Register,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,FINMA,,
XX-CH,schools,Zurich International School,https://www.zis.ch,SGIS,https://www.sgischools.com/member-schools,SGIS,,
XX-CH,schools,Inter-Community School Zurich,https://www.icsz.ch,SGIS,https://www.sgischools.com/member-schools,SGIS,,
XX-CH,schools,International School Zurich North (ISZN),https://www.iszn.ch,SGIS,https://www.sgischools.com/member-schools,SGIS,,
XX-IT,movers,BOLLIGER S.P.A.,https://www.bolligermoving.com/,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/bolliger-spa,FIDI FAIM,,2028
XX-IT,movers,FMN LOGISTICS S.R.L. (Franzosini International Movers),http://www.franzosini.it,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/franzosini-international-movers,FIDI FAIM,,2026
XX-IT,movers,FERCAM S.P.A. (Fercam Removals & Relocation),https://www.fercam.com/en-int/welcome-1.html,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/fercam-removals-relocation,FIDI FAIM,,2027
XX-SE,movers,Örnsköldsviks Stadsbudskontor AB (SBK Moving),https://www.sbkmoving.com,FIDI FAIM,https://www.fidi.org/find-fidi-affiliate/sbk-moving,FIDI FAIM,,2027
XX-SE,movers,Alfa Mobility Sweden AB,https://www.alfamoving.com,FIDI FAIM,https://www.fidi.org/find-fidi-affiliate/alfa-mobility-0,FIDI FAIM,,2029
XX-SE,schools,Stockholm International School,https://www.stockholmis.se,IBO,https://ibo.org/programmes/find-an-ib-school/ibaem/s/stockholm-international-school/,International Baccalaureate Organization (IBO),001305,
XX-SE,schools,International School of the Stockholm Region (ISSR),https://internationalschoolofthestockholmregion.stockholm,IBO,https://ibo.org/programmes/find-an-ib-school/ibaem/i/international-school-of-the-stockholm-region-issr/,International Baccalaureate Organization (IBO),001116,
XX-SE,schools,Täljegymnasiet,https://www.sodertalje.se,IBO,https://ibo.org/school/001099/,International Baccalaureate Organization (IBO),001099,
XX-SE,schools,Sigtunaskolan Humanistiska Läroverket,https://www.sshl.se,IBO,https://ibo.org/school/000198/,International Baccalaureate Organization (IBO),000198,
