corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-CH,movers,ATLAS INTERNATIONAL MOVERS AG,https://atlas-movers.ch/,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/atlas-international-movers-ag,FIDI FAIM,,2027
XX-CH,movers,KEHRLI + OELER LTD,http://www.kehrlioeler.ch,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/kehrli-oeler-ltd-0,FIDI FAIM,,2026
XX-CH,movers,WELTI-FURRER AG,http://www.welti-furrer.ch,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/welti-furrer-ag,FIDI FAIM,,2027
XX-CH,movers,"HARSCH, THE ART OF MOVING FORWARD",http://www.harsch.ch,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/harsch-art-moving-forward,FIDI FAIM,,
XX-CH,banks,UBS AG,https://www.ubs.com,FINMA Banken Register,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,FINMA,,
XX-CH,banks,Zürcher Kantonalbank,https://www.zkb.ch,FINMA Banken Register,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,FINMA,,
XX-CH,banks,Migros Bank AG,https://www.migrosbank.ch,FINMA Banken Register,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,FINMA,,
XX-CH,schools,Zurich International School,https://www.zis.ch,SGIS,https://www.sgischools.com/member-schools,SGIS,,
XX-CH,schools,Inter-Community School Zurich,https://www.icsz.ch,SGIS,https://www.sgischools.com/member-schools,SGIS,,
XX-CH,schools,International School Zurich North (ISZN),https://www.iszn.ch,SGIS,https://www.sgischools.com/member-schools,SGIS,,
