corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-CL,movers,UNIPACK S.A. (UNIVERSAL PACKING & STORAGE S.A.),http://www.unipack.cl,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/unipack-sa,FIDI Global Alliance (FAIM),,2029
XX-CL,movers,WARD VAN LINES S.A.,http://www.wardvanlines.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/ward-van-lines-sa,FIDI Global Alliance (FAIM Plus),,2029
XX-CL,movers,DECAPACK (SOCIEDAD INTERNACIONAL DE TRANSPORTES DECA S.A.),http://www.decapack.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/decapack,FIDI Global Alliance (FAIM Plus),,2029
XX-CL,banks,Banco de Chile,https://www.bancochile.cl,CMF - Registro de Bancos (Codigos de Bancos),https://www.cmfchile.cl/institucional/seil/certificacion_cir1835_bcos.php,Comision para el Mercado Financiero (CMF),,
XX-CL,banks,Banco Santander-Chile,https://www.santander.cl,CMF - Registro de Bancos (Codigos de Bancos),https://www.cmfchile.cl/institucional/seil/certificacion_cir1835_bcos.php,Comision para el Mercado Financiero (CMF),,
XX-CL,banks,Banco del Estado de Chile (BancoEstado),https://www.bancoestado.cl,CMF - Registro de Bancos (Codigos de Bancos),https://www.cmfchile.cl/institucional/seil/certificacion_cir1835_bcos.php,Comision para el Mercado Financiero (CMF),,
XX-CL,banks,Banco de Credito e Inversiones (BCI),https://www.bci.cl,CMF - Registro de Bancos (Codigos de Bancos),https://www.cmfchile.cl/institucional/seil/certificacion_cir1835_bcos.php,Comision para el Mercado Financiero (CMF),,
XX-CL,banks,Scotiabank Chile,https://www.scotiabankchile.cl,CMF - Registro de Bancos (Codigos de Bancos),https://www.cmfchile.cl/institucional/seil/certificacion_cir1835_bcos.php,Comision para el Mercado Financiero (CMF),,
XX-CL,schools,Santiago College,https://www.scollege.cl,IB - Find an IB World School,https://www.ibo.org/en/school/000184,International Baccalaureate Organization (IBO),000184,
XX-CL,schools,International School Nido de Aguilas,https://www.nido.cl,IB - Find an IB World School,https://www.ibo.org/en/school/000233,International Baccalaureate Organization (IBO),000233,
XX-CL,schools,Redland School,https://www.redland.cl,IB - Find an IB World School,https://www.ibo.org/en/school/000417,International Baccalaureate Organization (IBO),000417,
XX-CL,schools,Craighouse School,https://www.craighouse.cl,IB - Find an IB World School,https://www.ibo.org/en/school/000635,International Baccalaureate Organization (IBO),000635,
