corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-CN,movers,"AGS Four Winds International Transport Service (Shanghai) Co., Ltd.",https://www.ags-globalsolutions.com/,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/ags-shanghai,FIDI Global Alliance,,2026
XX-CN,movers,Asian Tigers K. C. DAT (China) Ltd,http://www.asiantigersgroup.com,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/asian-tigers-china-0,FIDI Global Alliance,,2026
XX-CN,movers,Asia United Group Shanghai Co. Ltd,http://www.unigroupworldwide.com,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/asia-united-group-shanghai,FIDI Global Alliance,,2027
XX-CN,movers,AMR International Relocation,http://www.amr-relocation.com,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/amr-international-relocation,FIDI Global Alliance,,2027
XX-CN,banks,Industrial and Commercial Bank of China Limited (ICBC),https://www.icbc.com.cn,PBOC & NFRA Systemically Important Banks list (2023),https://www.pbc.gov.cn/huobizhengceersi/214481/3868581/3868587/70f69ff284254dcf88774ddfda485c96/index.html,People's Bank of China (PBOC) & National Financial Regulatory Administration (NFRA),,
XX-CN,banks,Agricultural Bank of China Limited,https://www.abchina.com,PBOC & NFRA Systemically Important Banks list (2023),https://www.pbc.gov.cn/huobizhengceersi/214481/3868581/3868587/70f69ff284254dcf88774ddfda485c96/index.html,People's Bank of China (PBOC) & National Financial Regulatory Administration (NFRA),,
XX-CN,banks,Bank of China Limited,https://www.boc.cn,PBOC & NFRA Systemically Important Banks list (2023),https://www.pbc.gov.cn/huobizhengceersi/214481/3868581/3868587/70f69ff284254dcf88774ddfda485c96/index.html,People's Bank of China (PBOC) & National Financial Regulatory Administration (NFRA),,
XX-CN,banks,China Construction Bank Corporation,https://www.ccb.com,PBOC & NFRA Systemically Important Banks list (2023),https://www.pbc.gov.cn/huobizhengceersi/214481/3868581/3868587/70f69ff284254dcf88774ddfda485c96/index.html,People's Bank of China (PBOC) & National Financial Regulatory Administration (NFRA),,
XX-CN,schools,Western International School of Shanghai,https://www.wiss.cn,IB World Schools - Find an IB World School (ibo.org),https://www.ibo.org/programmes/find-an-ib-school/ibap/w/western-international-school-of-shanghai/,International Baccalaureate (IB),003695,
XX-CN,schools,"The British International School, Shanghai",https://www.nordangliaeducation.com/our-schools/shanghai/puxi,IB World Schools - Find an IB World School (ibo.org),https://www.ibo.org/programmes/find-an-ib-school/ibap/t/the-british-international-school-shanghai/,International Baccalaureate (IB),003359,
XX-CN,schools,Shanghai Community International School - Hongqiao Campus,https://www.scis-china.org,IB World Schools - Find an IB World School (ibo.org),https://www.ibo.org/programmes/find-an-ib-school/ibap/s/shanghai-community-international-school---hongqiao-campus/,International Baccalaureate (IB),003565,
XX-CN,schools,Yew Chung International School Pudong Shanghai,https://www.ycis-sh.com,IB World Schools - Find an IB World School (ibo.org),https://www.ibo.org/programmes/find-an-ib-school/ibap/y/yew-chung-international-school-pudong-shanghai/,International Baccalaureate (IB),006318,
