corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-CO,banks,Banco de Bogotá S.A.,www.bancodebogota.com.co,Superintendencia Financiera de Colombia - Establecimientos Bancarios,https://www.superfinanciera.gov.co/publicaciones/10114906/lista-de-entidades/,Superintendencia Financiera de Colombia,1,
XX-CO,banks,BBVA Colombia S.A.,www.bbva.com.co,Superintendencia Financiera de Colombia - Establecimientos Bancarios,https://www.superfinanciera.gov.co/publicaciones/10114906/lista-de-entidades/,Superintendencia Financiera de Colombia,13,
XX-CO,banks,Citibank Colombia S.A.,,Superintendencia Financiera de Colombia - Establecimientos Bancarios,https://www.superfinanciera.gov.co/publicaciones/10114906/lista-de-entidades/,Superintendencia Financiera de Colombia,9,
XX-CO,banks,Banco Santander Colombia S.A.,www.santander.com.co,Superintendencia Financiera de Colombia - Establecimientos Bancarios,https://www.superfinanciera.gov.co/publicaciones/10114906/lista-de-entidades/,Superintendencia Financiera de Colombia,59,
XX-CO,banks,Itaú Colombia S.A.,,Superintendencia Financiera de Colombia - Establecimientos Bancarios,https://www.superfinanciera.gov.co/publicaciones/10114906/lista-de-entidades/,Superintendencia Financiera de Colombia,6,
XX-CO,banks,Banco Pichincha S.A.,www.bancopichincha.com.co,Superintendencia Financiera de Colombia - Establecimientos Bancarios,https://www.superfinanciera.gov.co/publicaciones/10114906/lista-de-entidades/,Superintendencia Financiera de Colombia,57,
XX-CO,banks,Banco Davivienda S.A.,,Superintendencia Financiera de Colombia - Establecimientos Bancarios,https://www.superfinanciera.gov.co/publicaciones/10114906/lista-de-entidades/,Superintendencia Financiera de Colombia,39,
XX-CO,banks,Banco de Occidente S.A.,,Superintendencia Financiera de Colombia - Establecimientos Bancarios,https://www.superfinanciera.gov.co/publicaciones/10114906/lista-de-entidades/,Superintendencia Financiera de Colombia,23,
XX-CO,movers,ABC Cargo Logistic S.A.S.,www.abcmovingrelo.co,FIDI Global Alliance - FAIM affiliate register,https://www.fidi.org/find-fidi-affiliate/abc-cargo-logistic-sas,FIDI (FAIM),,2029
XX-CO,movers,Aviomar S.A.S.,www.aviomar.com.co,FIDI Global Alliance - FAIM affiliate register,https://www.fidi.org/find-fidi-affiliate/aviomar-sas,FIDI (FAIM),,2029
XX-CO,movers,Intramar Shipping S.A.S.,www.intramar.com.co,FIDI Global Alliance - FAIM affiliate register,https://www.fidi.org/find-fidi-affiliate/intramar-shipping-sas,FIDI (FAIM),,2028
XX-CO,movers,Portan S.A.S.,www.portan.com,FIDI Global Alliance - FAIM affiliate register,https://www.fidi.org/find-fidi-affiliate/portan,FIDI (FAIM),,2029
XX-CO,schools,Colegio Anglo Colombiano,,IB World Schools finder (IBO),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=CO&SearchFields.Keywords=Bogota,International Baccalaureate Organization (IBO),,
XX-CO,schools,Colegio Gran Bretaña,,IB World Schools finder (IBO),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=CO&SearchFields.Keywords=Bogota,International Baccalaureate Organization (IBO),,
XX-CO,schools,Colegio Nueva York,,IB World Schools finder (IBO),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=CO&SearchFields.Keywords=Bogota,International Baccalaureate Organization (IBO),,
XX-CO,schools,Buckingham School,,IB World Schools finder (IBO),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=CO&SearchFields.Keywords=Bogota,International Baccalaureate Organization (IBO),,
XX-CO,schools,Colegio CIEDI SAS,,IB World Schools finder (IBO),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=CO&SearchFields.Keywords=Bogota,International Baccalaureate Organization (IBO),,
XX-CO,schools,Colegio Colombo Gales,,IB World Schools finder (IBO),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=CO&SearchFields.Keywords=Bogota,International Baccalaureate Organization (IBO),,
XX-CO,schools,Colegio Abraham Lincoln,,IB World Schools finder (IBO),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=CO&SearchFields.Keywords=Bogota,International Baccalaureate Organization (IBO),,
