corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-CR,banks,Banco Nacional de Costa Rica,https://www.bncr.fi.cr,SUGEF - Lista de entidades supervisadas,https://www.sugef.fi.cr/entidades_supervisadas/lista_entidades_supervisadas_por_SUGEF.aspx,SUGEF (Superintendencia General de Entidades Financieras),4-000-001021,
XX-CR,banks,Banco de Costa Rica,https://www.bancobcr.com,SUGEF - Lista de entidades supervisadas,https://www.sugef.fi.cr/entidades_supervisadas/lista_entidades_supervisadas_por_SUGEF.aspx,SUGEF (Superintendencia General de Entidades Financieras),4-000-000019,
XX-CR,banks,Banco Popular y de Desarrollo Comunal,https://www.bancopopular.fi.cr,SUGEF - Lista de entidades supervisadas,https://www.sugef.fi.cr/entidades_supervisadas/lista_entidades_supervisadas_por_SUGEF.aspx,SUGEF (Superintendencia General de Entidades Financieras),4-000-042152,
XX-CR,banks,Banco BAC San José S.A.,https://www.baccredomatic.com,SUGEF - Lista de entidades supervisadas,https://www.sugef.fi.cr/entidades_supervisadas/lista_entidades_supervisadas_por_SUGEF.aspx,SUGEF (Superintendencia General de Entidades Financieras),3-101-012009,
XX-CR,banks,Scotiabank de Costa Rica S.A.,https://www.scotiabankcr.com,SUGEF - Lista de entidades supervisadas,https://www.sugef.fi.cr/entidades_supervisadas/lista_entidades_supervisadas_por_SUGEF.aspx,SUGEF (Superintendencia General de Entidades Financieras),3-101-046536,
XX-CR,banks,Banco Davivienda (Costa Rica) S.A.,https://www.davivienda.cr,SUGEF - Lista de entidades supervisadas,https://www.sugef.fi.cr/entidades_supervisadas/lista_entidades_supervisadas_por_SUGEF.aspx,SUGEF (Superintendencia General de Entidades Financieras),3-101-046008,
XX-CR,banks,Banco General (Costa Rica) S.A.,,SUGEF - Lista de entidades supervisadas,https://www.sugef.fi.cr/entidades_supervisadas/lista_entidades_supervisadas_por_SUGEF.aspx,SUGEF (Superintendencia General de Entidades Financieras),3-101-484559,
XX-CR,banks,Banco Promerica de Costa Rica S.A.,https://www.promerica.fi.cr,SUGEF - Lista de entidades supervisadas,https://www.sugef.fi.cr/entidades_supervisadas/lista_entidades_supervisadas_por_SUGEF.aspx,SUGEF (Superintendencia General de Entidades Financieras),3-101-127487,
XX-CR,movers,Winmovers (Mudanzas del Oeste S.A.),http://www.winmovers.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/winmovers,FIDI / FAIM,,2028
XX-CR,movers,Mudanzas Mundiales S.A.,http://www.mudanzasmundiales.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/mudanzas-mundiales-sa,FIDI / FAIM,,2025
XX-CR,schools,The Blue Valley School,https://www.bluevalley.ed.cr,IB - Find an IB World School,https://www.ibo.org/en/school/001486,International Baccalaureate Organization (IB),001486,
XX-CR,schools,United World College Costa Rica,https://www.uwccostarica.org,IB - Find an IB World School,https://www.ibo.org/en/school/001415,International Baccalaureate Organization (IB),001415,
XX-CR,schools,Saint Mary School,,IB - Find an IB World School,https://www.ibo.org/en/school/007109,International Baccalaureate Organization (IB),007109,
XX-CR,schools,Lincoln School,,IB - Find an IB World School,https://www.ibo.org/en/school/000856,International Baccalaureate Organization (IB),000856,
XX-CR,schools,Pan-American School,,IB - Find an IB World School,https://www.ibo.org/en/school/006775,International Baccalaureate Organization (IB),006775,
