corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-CY,movers,COLUMBIA WORLDWIDE MOVERS LTD,https://www.columbiamovers.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/columbia-worldwide-movers,FIDI Global Alliance (FIDI-FAIM Plus),,2029
XX-CY,movers,ORBIT MOVING & STORAGE Co. LTD,https://www.orbitcy.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/orbit-moving-storage-co-ltd,FIDI Global Alliance (FIDI-FAIM Plus - Top Performer),,2027
XX-CY,banks,Bank of Cyprus Public Company Ltd,https://www.bankofcyprus.com,Central Bank of Cyprus - Register of Credit Institutions operating in Cyprus,https://www.centralbank.cy/en/licensing-supervision/banks/register-of-credit-institutions-operating-in-cyprus,Central Bank of Cyprus (Local Authorised Credit Institution),,
XX-CY,banks,Eurobank Limited (previous name: Hellenic Bank Public Company Limited),,Central Bank of Cyprus - Register of Credit Institutions operating in Cyprus,https://www.centralbank.cy/en/licensing-supervision/banks/register-of-credit-institutions-operating-in-cyprus,Central Bank of Cyprus (Subsidiary of EU credit institution),,
XX-CY,banks,Alpha Bank Cyprus Ltd,https://www.alphabank.com.cy,Central Bank of Cyprus - Register of Credit Institutions operating in Cyprus,https://www.centralbank.cy/en/licensing-supervision/banks/register-of-credit-institutions-operating-in-cyprus,Central Bank of Cyprus (Subsidiary of EU credit institution),,
XX-CY,banks,Ancoria Bank Limited,https://www.ancoriabank.com,Central Bank of Cyprus - Register of Credit Institutions operating in Cyprus,https://www.centralbank.cy/en/licensing-supervision/banks/register-of-credit-institutions-operating-in-cyprus,Central Bank of Cyprus (Local Authorised Credit Institution),,
XX-CY,schools,American International School in Cyprus,https://www.aisc.ac.cy,IB - Find an IB World School,https://www.ibo.org/school/000752/,International Baccalaureate Organization,000752,
XX-CY,schools,PASCAL Private Secondary School Lefkosia,https://www.pascal.ac.cy,IB - Find an IB World School,https://www.ibo.org/school/002284/,International Baccalaureate Organization,002284,
XX-CY,schools,The Junior and Senior School,https://www.tjss.ac.cy,IB - Find an IB World School,https://www.ibo.org/school/063714/,International Baccalaureate Organization,063714,
XX-CY,schools,The Falcon School,https://www.falconschool.ac.cy,IB - Find an IB World School,https://www.ibo.org/school/063475/,International Baccalaureate Organization,063475,
XX-CY,legal_admin,COSTAS INDIANOS & CO ADVOCATES & LEGAL CONSULTANTS,,Cyprus Bar Association - Lawyers Company's Registry,https://www.cyprusbar.org/AssociationPage.aspx,Cyprus Bar Association (Pancyprian Bar Association),10445,
XX-CY,legal_admin,"MARKIDES, MARKIDES & CO",,Cyprus Bar Association - Lawyers Company's Registry,https://www.cyprusbar.org/AssociationPage.aspx,Cyprus Bar Association (Pancyprian Bar Association),Σ8628,
XX-CY,legal_admin,ZENON CHR. KATSOURIS & ASSOCIATES,,Cyprus Bar Association - Lawyers Company's Registry,https://www.cyprusbar.org/AssociationPage.aspx,Cyprus Bar Association (Pancyprian Bar Association),Σ11391,
XX-CY,legal_admin,M. IACOVOU & ASSOCIATES,,Cyprus Bar Association - Lawyers Company's Registry,https://www.cyprusbar.org/AssociationPage.aspx,Cyprus Bar Association (Pancyprian Bar Association),Σ11868,
XX-CY,tax_finance,PRICEWATERHOUSECOOPERS LTD,,ICPAC - Register of Statutory Audit Firms,https://www.icpac.org.cy/selk/en/practicingfirmauditorsdetails.aspx?firmno=a0Ivb1d6cXpvZUpxRitCNW9JWmhCZz09,Institute of Certified Public Accountants of Cyprus (ICPAC),E002/A/2013,
XX-CY,tax_finance,KPMG LTD,,ICPAC - Register of Statutory Audit Firms,https://www.icpac.org.cy/selk/en/practicingfirmauditorsdetails.aspx?firmno=b3lDRG8wQXgyWVRENXFSWWQrSFBmUT09,Institute of Certified Public Accountants of Cyprus (ICPAC),E194/A/2013,
XX-CY,tax_finance,DELOITTE LIMITED,,ICPAC - Register of Statutory Audit Firms,https://www.icpac.org.cy/selk/en/practicingfirmauditorsdetails.aspx?firmno=eEUzWWZiZVlwVGZWWlM0aHhxNzFFQT09,Institute of Certified Public Accountants of Cyprus (ICPAC),E047/A/2013,
XX-CY,tax_finance,ERNST & YOUNG CYPRUS LIMITED,,ICPAC - Register of Statutory Audit Firms,https://www.icpac.org.cy/selk/en/practicingfirmauditorsdetails.aspx?firmno=NVh2QUNZZlQxWU9Xd2xkZWNtTGZHQT09,Institute of Certified Public Accountants of Cyprus (ICPAC),E146/A/2013,
XX-CY,housing_agencies,Blue Realty Ltd,http://www.bluerealty.com,Real Estate Agents Registration Council - Register of Licensed Agents,https://ktimatomesites.com/agents/,Real Estate Agents Registration Council (Cyprus),794,
XX-CY,housing_agencies,SABBIANCO PROPERTIES LIMITED,https://sabbiancoproperties.com,Real Estate Agents Registration Council - Register of Licensed Agents,https://ktimatomesites.com/agents/,Real Estate Agents Registration Council (Cyprus),798,
XX-CY,housing_agencies,KTESION REAL ESTATE LIMITED,http://www.ktesion.com,Real Estate Agents Registration Council - Register of Licensed Agents,https://ktimatomesites.com/agents/,Real Estate Agents Registration Council (Cyprus),501,
XX-CY,housing_agencies,A. PETRIDES LANDTOURIST AGENCY LTD,http://www.landtourist.com,Real Estate Agents Registration Council - Register of Licensed Agents,https://ktimatomesites.com/agents/,Real Estate Agents Registration Council (Cyprus),484,
