corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-CZ,movers,AGS International Movers spol. s r.o.,http://www.agsmovers.com,FIDI - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/ags-international-movers,FIDI Global Alliance - FAIM (FIDI-FAIM Plus),,2026
XX-CZ,banks,"Československá obchodní banka, a. s. (ČSOB)",https://www.csob.cz,ČNB - Seznam regulovaných a registrovaných subjektů (JERRS),https://www.cnb.cz/cs/dohled-financni-trh/seznamy/jerrs,Czech National Bank (ČNB) - banking licence,,
XX-CZ,banks,"Komerční banka, a.s.",https://www.kb.cz,ČNB - Seznam regulovaných a registrovaných subjektů (JERRS),https://www.cnb.cz/cs/dohled-financni-trh/seznamy/jerrs,Czech National Bank (ČNB) - banking licence,,
XX-CZ,banks,"Česká spořitelna, a.s.",https://www.csas.cz,ČNB - Seznam regulovaných a registrovaných subjektů (JERRS),https://www.cnb.cz/cs/dohled-financni-trh/seznamy/jerrs,Czech National Bank (ČNB) - banking licence,,
XX-CZ,banks,"UniCredit Bank Czech Republic and Slovakia, a.s.",https://www.unicreditbank.cz,ČNB - Seznam regulovaných a registrovaných subjektů (JERRS),https://www.cnb.cz/cs/dohled-financni-trh/seznamy/jerrs,Czech National Bank (ČNB) - banking licence,,
XX-CZ,banks,Raiffeisenbank a.s.,https://www.rb.cz,ČNB - Seznam regulovaných a registrovaných subjektů (JERRS),https://www.cnb.cz/cs/dohled-financni-trh/seznamy/jerrs,Czech National Bank (ČNB) - banking licence,,
XX-CZ,banks,"MONETA Money Bank, a.s.",https://www.moneta.cz,ČNB - Seznam regulovaných a registrovaných subjektů (JERRS),https://www.cnb.cz/cs/dohled-financni-trh/seznamy/jerrs,Czech National Bank (ČNB) - banking licence,,
XX-CZ,schools,"International School of Prague, s.r.o.",https://www.isp.cz,IB - Find an IB World School,https://www.ibo.org/en/school/000889,International Baccalaureate Organization (IBO),000889,
XX-CZ,schools,Prague British International School,https://www.nordangliaeducation.com/pbis-prague,IB - Find an IB World School,https://www.ibo.org/en/school/001042,International Baccalaureate Organization (IBO),001042,
XX-CZ,schools,Park Lane International School,https://www.parklane-is.cz,IB - Find an IB World School,https://www.ibo.org/en/school/052209,International Baccalaureate Organization (IBO),052209,
XX-CZ,schools,"The English College in Prague - Anglické gymnázium, o.p.s.",https://www.englishcollege.cz,IB - Find an IB World School,https://www.ibo.org/en/school/000821,International Baccalaureate Organization (IBO),000821,
XX-CZ,legal_admin,JUDr. Martin Abraham (advokát),,Česká advokátní komora - Vyhledávání advokátů,https://www.cak.cz/advokat-detail/20bb6e76-6623-e711-80d5-00155d040b0c,Česká advokátní komora (Czech Bar Association),12531,
XX-CZ,legal_admin,Mgr. Jiří Absolon (advokát),,Česká advokátní komora - Vyhledávání advokátů,https://www.cak.cz/advokat-detail/08ec387a-6523-e711-80d5-00155d040b0c,Česká advokátní komora (Czech Bar Association),14406,
XX-CZ,legal_admin,Mgr. Maruan Abu Assad (advokát),,Česká advokátní komora - Vyhledávání advokátů,https://www.cak.cz/advokat-detail/aa5cb1d9-5f23-e711-80d5-00155d040b0c,Česká advokátní komora (Czech Bar Association),10814,
XX-CZ,tax_finance,Deloitte Audit s.r.o.,https://www.deloitte.com,Komora auditorů ČR - Rejstřík auditorů,https://www.kacr.cz/detail-auditora?nGoodsID=1754,Komora auditorů ČR (Chamber of Auditors) - auditorská společnost,079,
XX-CZ,tax_finance,"Ernst & Young Audit, s.r.o.",https://www.ey.com,Komora auditorů ČR - Rejstřík auditorů,https://www.kacr.cz/detail-auditora?nGoodsID=1982,Komora auditorů ČR (Chamber of Auditors) - auditorská společnost,401,
