corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
US-EC,banks,BANCO PICHINCHA C.A.,https://www.pichincha.com,Superintendencia de Bancos - Consulta de Catastro Publico (Bancos Privados Nacionales),https://www.superbancos.gob.ec/bancos/catastro-publico/,Superintendencia de Bancos del Ecuador,,
US-EC,banks,BANCO DE LA PRODUCCION S.A. (PRODUBANCO),https://www.produbanco.com.ec,Superintendencia de Bancos - Consulta de Catastro Publico (Bancos Privados Nacionales),https://www.superbancos.gob.ec/bancos/catastro-publico/,Superintendencia de Bancos del Ecuador,,
US-EC,banks,BANCO INTERNACIONAL S.A.,https://www.bancointernacional.com.ec,Superintendencia de Bancos - Consulta de Catastro Publico (Bancos Privados Nacionales),https://www.superbancos.gob.ec/bancos/catastro-publico/,Superintendencia de Bancos del Ecuador,,
US-EC,banks,BANCO GENERAL RUMINAHUI S.A.,https://www.bgr.com.ec,Superintendencia de Bancos - Consulta de Catastro Publico (Bancos Privados Nacionales),https://www.superbancos.gob.ec/bancos/catastro-publico/,Superintendencia de Bancos del Ecuador,,
US-EC,banks,BANCO BOLIVARIANO C.A.,https://www.bolivariano.com,Superintendencia de Bancos - Consulta de Catastro Publico (Bancos Privados Nacionales),https://www.superbancos.gob.ec/bancos/catastro-publico/,Superintendencia de Bancos del Ecuador,,
US-EC,legal_admin,JURISCORP LAW FIRM,,Foro de Abogados - Consejo de la Judicatura (Estudios Juridicos Colectivos - Pichincha),https://app.funcionjudicial.gob.ec/ForoAbogados/Publico/frmConsultasGeneralesEstudios.jsp,Consejo de la Judicatura (Foro de Abogados),EJ-17-2019-784,
US-EC,legal_admin,LITIGIUM ABOGADOS ASOCIADOS,,Foro de Abogados - Consejo de la Judicatura (Estudios Juridicos Colectivos - Pichincha),https://app.funcionjudicial.gob.ec/ForoAbogados/Publico/frmConsultasGeneralesEstudios.jsp,Consejo de la Judicatura (Foro de Abogados),EJ-17-2019-653,
US-EC,legal_admin,A&B ASESORIA LEGAL EMPRESARIAL,,Foro de Abogados - Consejo de la Judicatura (Estudios Juridicos Colectivos - Pichincha),https://app.funcionjudicial.gob.ec/ForoAbogados/Publico/frmConsultasGeneralesEstudios.jsp,Consejo de la Judicatura (Foro de Abogados),EJ-17-2021-3985,
US-EC,legal_admin,A&T ABOGADOS,,Foro de Abogados - Consejo de la Judicatura (Estudios Juridicos Colectivos - Pichincha),https://app.funcionjudicial.gob.ec/ForoAbogados/Publico/frmConsultasGeneralesEstudios.jsp,Consejo de la Judicatura (Foro de Abogados),EJ-17-2019-756,
US-EC,legal_admin,ADVOK ABOGADOS,,Foro de Abogados - Consejo de la Judicatura (Estudios Juridicos Colectivos - Pichincha),https://app.funcionjudicial.gob.ec/ForoAbogados/Publico/frmConsultasGeneralesEstudios.jsp,Consejo de la Judicatura (Foro de Abogados),EJ-17-2020-3928,
