corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-EE,movers,KLG INTERNATIONAL MOVERS LTD,http://www.klg.ee,FIDI Global Alliance affiliate register,https://www.fidi.org/find-fidi-affiliate/klg-international-movers-ltd,FIDI Global Alliance — FIDI-FAIM,,2028
XX-EE,banks,Swedbank AS,https://www.swedbank.ee,ECB Banking Supervision — List of supervised entities,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,European Central Bank / SSM (Finantsinspektsioon-supervised credit institution),549300PHQZ4HL15HH975,
XX-EE,banks,AS SEB Pank,https://www.seb.ee,ECB Banking Supervision — List of supervised entities,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,European Central Bank / SSM (Finantsinspektsioon-supervised credit institution),549300ND1MQ8SNNYMJ22,
XX-EE,banks,AS LHV Pank,https://www.lhv.ee,ECB Banking Supervision — List of supervised entities,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,European Central Bank / SSM (Finantsinspektsioon-supervised credit institution),529900GJOSVHI055QR67,
XX-EE,banks,Luminor Bank AS,https://www.luminor.ee,ECB Banking Supervision — List of supervised entities,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,European Central Bank / SSM (Finantsinspektsioon-supervised credit institution),213800JD2L89GGG7LF07,
XX-EE,banks,Coop Pank AS,https://www.cooppank.ee,ECB Banking Supervision — List of supervised entities,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,European Central Bank / SSM (Finantsinspektsioon-supervised less significant credit institution),549300EHNXQVOI120S55,
XX-EE,schools,International School of Tallinn,https://ist.ee,IBO — Find an IB World School,https://www.ibo.org/en/school/060867,International Baccalaureate Organization (IB World School),060867,
XX-EE,schools,International School of Estonia (Intl Educational Association of Estonia MTÜ),https://ise.edu.ee,IBO — Find an IB World School,https://www.ibo.org/en/school/001455,International Baccalaureate Organization (IB World School),001455,
XX-EE,schools,Tallinn English College,https://www.tik.edu.ee,IBO — Find an IB World School,https://www.ibo.org/en/school/003763,International Baccalaureate Organization (IB World School),003763,
XX-EE,schools,Audentes International School,https://audentes.ee,IBO — Find an IB World School,https://www.ibo.org/en/school/006396,International Baccalaureate Organization (IB World School),006396,
XX-EE,legal_admin,Advokaadibüroo COBALT,https://www.cobalt.legal,Eesti Advokatuur (Estonian Bar Association) — Law Offices register,https://www.advokatuur.ee/en/find-advocates/law-offices/advokaadiburoo-cobalt,Eesti Advokatuur (Estonian Bar Association) — registered law office,10188708,
XX-EE,legal_admin,Advokaadibüroo SORAINEN,https://www.sorainen.ee,Eesti Advokatuur (Estonian Bar Association) — Law Offices register,https://www.advokatuur.ee/en/find-advocates/law-offices/advokaadiburoo-sorainen,Eesti Advokatuur (Estonian Bar Association) — registered law office,10876331,
XX-EE,legal_admin,Advokaadibüroo Eversheds Sutherland Ots&Co,https://www.eversheds-sutherland.com,Eesti Advokatuur (Estonian Bar Association) — Law Offices register,https://www.advokatuur.ee/en/find-advocates/law-offices/advokaadiburoo-eversheds-sutherland-otsco,Eesti Advokatuur (Estonian Bar Association) — registered law office,10639559,
XX-EE,legal_admin,Advokaadibüroo TRINITI,https://www.triniti.ee,Eesti Advokatuur (Estonian Bar Association) — Law Offices register,https://www.advokatuur.ee/en/find-advocates/law-offices/advokaadiburoo-triniti,Eesti Advokatuur (Estonian Bar Association) — registered law office,11984324,
XX-EE,tax_finance,KPMG Baltics OÜ,https://www.kpmg.ee,Audiitorkogu (Estonian Auditors' Association) — registered audit firms,https://www.audiitorkogu.ee/est/audiitorettevotjad/audiitorettevotja/10096082,Audiitorkogu — registered audit firm (audiitorettevõtja activity licence),17,
XX-EE,tax_finance,Aktsiaselts PricewaterhouseCoopers,https://www.pwc.com/ee,Audiitorkogu (Estonian Auditors' Association) — registered audit firms,https://www.audiitorkogu.ee/est/audiitorettevotjad/audiitorettevotja/10142876,Audiitorkogu — registered audit firm (audiitorettevõtja activity licence),6,
XX-EE,tax_finance,Ernst & Young Baltic AS,https://www.ey.com/ee,Audiitorkogu (Estonian Auditors' Association) — registered audit firms,https://www.audiitorkogu.ee/est/audiitorettevotjad/audiitorettevotja/10877299,Audiitorkogu — registered audit firm (audiitorettevõtja activity licence),58,
XX-EE,tax_finance,BDO Eesti OÜ,https://www.bdo.ee,Audiitorkogu (Estonian Auditors' Association) — registered audit firms,https://www.audiitorkogu.ee/est/audiitorettevotjad/audiitorettevotja/10309827,Audiitorkogu — registered audit firm (audiitorettevõtja activity licence),1,
