corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
ES-IE,movers,Cronin Relocations Ireland,https://ireland-relocations.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/cronin-relocations-ireland,FIDI Global Alliance,,2025
ES-IE,movers,Just Move Ltd,https://www.justmove.ie,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/just-move,FIDI Global Alliance,,2028
ES-IE,legal_admin,Matheson LLP,https://www.matheson.com,Law Society of Ireland,https://www.lawsociety.ie/Find-a-Solicitor/,Law Society of Ireland,,
ES-IE,legal_admin,Mason Hayes & Curran LLP,https://www.mhc.ie,Law Society of Ireland,https://www.lawsociety.ie/Find-a-Solicitor/,Law Society of Ireland,,
ES-IE,tax_finance,BDO Ireland,https://www.bdo.ie,CPA Ireland Firm Directory,https://www.cpaireland.ie/find-a-cpa/,CPA Ireland,,
ES-IE,banks,Allied Irish Banks (AIB),https://www.aib.ie,Central Bank of Ireland Register,https://registers.centralbank.ie/,Central Bank of Ireland,,
ES-IE,banks,Bank of Ireland,https://www.bankofireland.com,Central Bank of Ireland Register,https://registers.centralbank.ie/,Central Bank of Ireland,,
ES-IE,banks,Permanent TSB,https://www.permanenttsb.ie,Central Bank of Ireland Register,https://registers.centralbank.ie/,Central Bank of Ireland,,
ES-IE,banks,Revolut Bank UAB (Ireland),https://www.revolut.com/en-IE/,Central Bank of Ireland Register,https://registers.centralbank.ie/,Central Bank of Ireland,,
ES-IE,banks,An Post Money,https://www.anpost.com/Money,Central Bank of Ireland Register,https://registers.centralbank.ie/,Central Bank of Ireland,,
ES-IE,schools,Lycée Français International Samuel Beckett (LFI),https://www.lfi.ie,Tusla / Department of Education,https://www.tusla.ie/services/preschool-services/independent-schools/register-of-independent-schools/,Tusla / Department of Education,,
ES-IE,schools,St. Columba's College,https://www.stcolumbas.ie,Tusla / Department of Education,https://www.tusla.ie/services/preschool-services/independent-schools/register-of-independent-schools/,Tusla / Department of Education,,
ES-IE,schools,Rathdown School,https://www.rathdownschool.ie,Tusla / Department of Education,https://www.tusla.ie/services/preschool-services/independent-schools/register-of-independent-schools/,Tusla / Department of Education,,
ES-IE,housing_agencies,Sherry FitzGerald,https://www.sherryfitz.ie,PSRA Register,https://www.psr.ie/en/psra/register/,PSRA,,
ES-IE,housing_agencies,DNG Estate Agents,https://www.dng.ie,PSRA Register,https://www.psr.ie/en/psra/register/,PSRA,,
ES-IE,housing_agencies,Savills Ireland,https://www.savills.ie,PSRA Register,https://www.psr.ie/en/psra/register/,PSRA,,
ES-IE,housing_agencies,Lisney,https://www.lisney.com,PSRA Register,https://www.psr.ie/en/psra/register/,PSRA,,
