corridor,service_category,company_name,reject_reason
ES-IE,movers,Doree Bonner International,"FIDI page confirmed but registered address is Dartford UK not Ireland; does not serve from Dublin office"
ES-IE,movers,Corrigan International,"FIDI page confirmed but address is Farmington Hills Michigan USA; not an Irish entity"
ES-IE,movers,Team Relocations Ireland,"FIDI affiliate page returns 404; cannot confirm current FIDI membership"
ES-IE,movers,Allied Pickfords Ireland,"FIDI affiliate page returns 404; cannot confirm current FIDI membership"
ES-IE,movers,Sterling Irishman Moving,"FIDI affiliate page returns 404; cannot confirm current FIDI membership"
ES-IE,movers,Irishman Moving,"FIDI affiliate page returns 404; cannot confirm current FIDI membership"
ES-IE,movers,Excess International Movers,"FIDI affiliate page returned no text; cannot confirm Dublin presence"
ES-IE,legal_admin,Dillon Eustace LLP,"Website confirms Dublin law firm but no immigration or global mobility practice page confirmed via fetch; insufficient evidence of relocation law specialism"
ES-IE,tax_finance,CPA Ireland directory firms,"CPA Ireland find-a-cpa directory is JS-rendered and returned no firm listings; individual Dublin CPA firms cannot be confirmed from register output"
ES-IE,banks,N26 (Ireland),"n26.com/en-ie returns 404; Irish product page not resolving; cannot confirm active retail product offering"
ES-IE,banks,Ulster Bank,"Ulster Bank withdrew from Republic of Ireland retail market (wound down by 2024); no longer serving new customers"
ES-IE,banks,KBC Bank Ireland,"KBC exited Irish retail market in 2022; no longer serving customers"
ES-IE,schools,St. Kilian's Deutsche Schule,"Website (kiliansdeutscheschule.ie and stkilians.com) returned no text on fetch; cannot independently verify contact details or roll number"
ES-IE,schools,The English International School Dublin,"Website (englishinternationalschool.ie) returned no text on fetch; cannot confirm website resolves with contactable email"
ES-IE,housing_agencies,Hunters Estate Agent,"Website (huntersestate.ie) returned no text on fetch; cannot confirm PSRA licence number or contactable email"
ES-IE,housing_agencies,Hooke & MacDonald,"Website (hookemac.ie) returned no text on fetch; cannot confirm PSRA licence number or contactable email"
