corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-NL,movers,ATLAS INTERNATIONAL MOVERS B.V.,http://www.atlas-movers.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/atlas-international-movers,FIDI-FAIM Plus,,2028
XX-NL,movers,SANTA FE RELOCATION SERVICES B.V.,https://www.santaferelocation.com/office/netherlands/international-movers-netherlands/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-amsterdam,FIDI-FAIM Plus,,2028
XX-NL,legal_admin,Kroes Advocaten Immigration Lawyers,http://www.kroesadvocaten.nl/,Nederlandse Orde van Advocaten - Zoek een advocaat register,https://zoekeenadvocaat.advocatenorde.nl/kantoren/amsterdam/kroes-advocaten-immigration-lawyers/21130726246,Nederlandse Orde van Advocaten (NOvA),21130726246,
XX-NL,legal_admin,Adam & Wolf Immigration Lawyers,http://www.adamwolf.nl/,Nederlandse Orde van Advocaten - Zoek een advocaat register,https://zoekeenadvocaat.advocatenorde.nl/kantoren/amsterdam/adam-wolf-immigration-lawyers/21070646581,Nederlandse Orde van Advocaten (NOvA),21070646581,
XX-NL,legal_admin,De Vreede Immigration Law,http://www.devreede-law.nl/,Nederlandse Orde van Advocaten - Zoek een advocaat register,https://zoekeenadvocaat.advocatenorde.nl/kantoren/amsterdam/de-vreede-immigration-law/22106203284,Nederlandse Orde van Advocaten (NOvA),22106203284,
XX-NL,tax_finance,KPMG Accountants N.V.,http://www.kpmg.nl/,AFM Register of Audit Firms,https://www.afm.nl/en/professionals/registers/vergunningenregisters/accountantsorganisaties/details?id=F909FE38-68A1-E011-A203-005056BE6692,Autoriteit Financiele Markten (AFM),13000121,
XX-NL,tax_finance,PricewaterhouseCoopers Accountants N.V.,https://www.pwc.nl/,AFM Register of Audit Firms,https://www.afm.nl/en/professionals/registers/vergunningenregisters/accountantsorganisaties/details?id=B102FB3E-68A1-E011-A203-005056BE6692,Autoriteit Financiele Markten (AFM),13000291,
XX-NL,tax_finance,Deloitte Accountants B.V.,https://www.deloitte.nl/,AFM Register of Audit Firms,https://www.afm.nl/en/professionals/registers/vergunningenregisters/accountantsorganisaties/details?id=D009FE38-68A1-E011-A203-005056BE6692,Autoriteit Financiele Markten (AFM),13000015,
XX-NL,tax_finance,Ernst & Young Accountants LLP,http://www.ey.com/nl/,AFM Register of Audit Firms,https://www.afm.nl/en/professionals/registers/vergunningenregisters/accountantsorganisaties/details?id=C5DAFF80-68A1-E011-A203-005056BE6692,Autoriteit Financiele Markten (AFM),13000742,
XX-NL,banks,ING Bank N.V.,https://www.ing.nl/,DNB Public Register - Register van banken,https://www.dnb.nl/en/public-register/information-detail/?registerCode=WFTDG&relationNumber=B0163,De Nederlandsche Bank (DNB),B0163,
XX-NL,banks,ABN AMRO Bank N.V.,https://www.abnamro.nl/,DNB Public Register - Register van banken,https://www.dnb.nl/en/public-register/information-detail/?registerCode=WFTDG&relationNumber=B0149,De Nederlandsche Bank (DNB),B0149,
XX-NL,banks,Cooperatieve Rabobank U.A.,https://www.rabobank.nl/,DNB Public Register - Register van banken,https://www.dnb.nl/en/public-register/information-detail/?registerCode=WFTDG&relationNumber=B0600,De Nederlandsche Bank (DNB),B0600,
XX-NL,schools,International School of Amsterdam,https://www.isa.nl/,IBO World Schools Register,https://www.ibo.org/en/school/000136,International Baccalaureate Organization,000136,
XX-NL,schools,Amsterdam International Community School (AICS),https://www.aics.nl/,IBO World Schools Register + DUO/BRIN register,https://www.ibo.org/en/school/002871,IBO / DUO Netherlands,002871,
XX-NL,housing_agencies,Boomsma & Bruinsma Makelaars,https://www.bbmakelaars.nl/,MVA (Makelaarsvereniging Amsterdam) NVM member directory,https://mva.nl/en/,NVM / Makelaarsvereniging Amsterdam (MVA),,
XX-NL,housing_agencies,Cremers Makelaardij,https://www.cremersmakelaardij.nl/,MVA (Makelaarsvereniging Amsterdam) NVM member directory,https://mva.nl/en/,NVM / Makelaarsvereniging Amsterdam (MVA),,
XX-NL,housing_agencies,Pim de Jong Makelaars,https://www.pimdejongmakelaars.nl/,MVA (Makelaarsvereniging Amsterdam) NVM member directory,https://mva.nl/en/,NVM / Makelaarsvereniging Amsterdam (MVA),,
