corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-AE,movers,ISS RELOCATION LLC,https://iss-relocations.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/iss-relocations,FIDI-FAIM Plus,,2027
XX-AE,movers,ALLIED RELOCATION SERVICES LLC,http://www.allied.ae/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/allied-moving-services-uae-0,FIDI-FAIM Plus,,2027
XX-AE,movers,E-MOVERS LLC,http://www.emoversuae.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/e-movers-llc,FIDI-FAIM Plus,,2028
XX-AE,legal_admin,HPL Yamalova & Plewka FZCO (LYLAW),https://lylawyers.com/,Firm website - licensed by Dubai Legal Affairs Department (LAD) + DMCC + DIFC Courts,https://lylawyers.com/,Dubai Legal Affairs Department (LAD),,
XX-AE,tax_finance,Grant Thornton Audit and Accounting Limited,https://www.grantthornton.ae/,Dubai Land Department - Approved financial auditors list,https://dubailand.gov.ae/en/eservices/certified-auditors/certified-auditors-list/,Dubai Land Department (DLD) - Escrow Approved Auditor,,
XX-AE,tax_finance,KGRN Chartered Accountants L.L.C,https://kgrnaudit.com/,Dubai Land Department - Approved financial auditors list,https://dubailand.gov.ae/en/eservices/certified-auditors/certified-auditors-list/,Dubai Land Department (DLD) - Escrow Approved Auditor,,
XX-AE,tax_finance,Crowe Mak,https://crowe.com/ae/,Dubai Land Department - Approved financial auditors list,https://dubailand.gov.ae/en/eservices/certified-auditors/certified-auditors-list/,Dubai Land Department (DLD) - Escrow Approved Auditor,,
XX-AE,tax_finance,PKF Chartered Accountants,https://pkfuae.com/,Dubai Land Department - Approved financial auditors list,https://dubailand.gov.ae/en/eservices/certified-auditors/certified-auditors-list/,Dubai Land Department (DLD) - Escrow Approved Auditor,,
XX-AE,banks,Emirates NBD Bank P.J.S.C,https://www.emiratesnbd.com/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.01.003.1963.02,
XX-AE,banks,Mashreq Bank P.S.C,https://www.mashreqbank.com/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.01.005.1967.02,
XX-AE,banks,Commercial Bank of Dubai P.J.S.C,https://www.cbd.ae/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.01.010.1969.02,
XX-AE,banks,Dubai Islamic Bank P.J.S.C,https://www.dib.ae/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.02.025.1975.02,
XX-AE,banks,Emirates Islamic Bank P.J.S.C,https://www.emiratesislamic.ae/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.02.031.1976.02,
XX-AE,schools,Kings School Dubai L.L.C,https://www.kingsdubaischool.com/,KHDA Education Directory,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=273&CenterID=115,KHDA - Knowledge and Human Development Authority,CenterID-115,
XX-AE,schools,Nord Anglia International School L.L.C,https://www.nordangliaeducation.com/our-schools/dubai,KHDA Education Directory,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4441&CenterID=2222,KHDA - Knowledge and Human Development Authority,CenterID-2222,
XX-AE,schools,Repton School Dubai,https://www.reptondubai.org/,KHDA Education Directory,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=356&CenterID=145,KHDA - Knowledge and Human Development Authority,CenterID-145,
XX-AE,housing_agencies,Allsopp & Allsopp Real Estate Broker L.L.C,https://www.allsoppandallsopp.com/,Dubai Land Department - RERA Licensed Brokers (shozon.com verified list),https://shozon.com/blog/property/licensed-real-estate-brokers-in-dubai/,RERA - Real Estate Regulatory Agency Dubai,ORN-1815,
XX-AE,housing_agencies,Knight Frank Real Estate Broker,https://www.knightfrank.ae/,Dubai Land Department - RERA Licensed Brokers (shozon.com verified list),https://shozon.com/blog/property/licensed-real-estate-brokers-in-dubai/,RERA - Real Estate Regulatory Agency Dubai,ORN-11964,
XX-AE,housing_agencies,Better Homes Licensed Real Estate Broker,https://www.bhomes.com/,Dubai Land Department - RERA Licensed Brokers (shozon.com verified list),https://shozon.com/blog/property/licensed-real-estate-brokers-in-dubai/,RERA - Real Estate Regulatory Agency Dubai,ORN-97,
