corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-ES,movers,RELOCATION MANAGEMENT SPAIN S.L. (Global Relocation Spain),http://www.globalinternational.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/global-relocation-spain,FIDI-FAIM,,2027
XX-ES,movers,DE LA FUENTE INTERNATIONAL MOVERS SL,http://www.dlfspain.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/dlf-international-movers,FIDI-FAIM Plus,,2026
XX-ES,movers,AGS MUDANZAS INTERNACIONALES S.L.,http://www.agsmovers.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/ags-mudanzas-internacionales-espana-madrid,FIDI-FAIM Plus,,2026
XX-ES,movers,SANTA FE RELOCATION SERVICES S.A.,https://www.santaferelocation.com/office/spain/international-moving-company-spain/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-madrid,FIDI-FAIM Plus,,2026
XX-ES,movers,MUDANZAS FLIPPERS INTERNACIONAL S.L.,http://www.flippers.es/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/flippers-international-sl,FIDI-FAIM Plus,,2026
XX-ES,legal_admin,PFBERNAL ABOGADOS (Abogacia Extranjeria),https://abogaciaextranjeria.es/en/,Firm website confirms ICAM membership no. 68283,https://abogaciaextranjeria.es/en/about-us/,ICAM - Ilustre Colegio de la Abogacia de Madrid,68283,
XX-ES,legal_admin,MigrationLaw,https://www.migrationlaw.es/,Firm contact page confirms ICAM membership no. 97778,https://www.migrationlaw.es/contacto,ICAM - Ilustre Colegio de la Abogacia de Madrid,97778,
XX-ES,tax_finance,ECOVIS Fiscalges,https://www.ecovis.com/madrid-fiscalges/,Firm website - ECOVIS international member (Consejo General de Economistas affiliate),https://www.ecovis.com/madrid-fiscalges/,Consejo General de Economistas,,
XX-ES,tax_finance,VIA Consultores,https://via.es/en/,Firm website - tax advisory for expats Madrid,https://via.es/en/tax-advice-in-madrid/,Consejo General de Economistas,,
XX-ES,banks,Banco Santander S.A.,https://www.bancosantander.es/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,0049,
XX-ES,banks,BBVA S.A.,https://www.bbva.es/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,0182,
XX-ES,banks,CaixaBank S.A.,https://www.caixabank.es/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,2100,
XX-ES,banks,Bankinter S.A.,https://www.bankinter.com/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,0128,
XX-ES,banks,Banco de Sabadell S.A.,https://www.bancsabadell.com/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,0081,
XX-ES,schools,American School of Madrid,https://www.asmadrid.org/,IBO World Schools Register,https://www.ibo.org/en/school/000769,International Baccalaureate Organization,000769,
XX-ES,schools,Kings College The British School of Madrid,https://www.kingscollegeschools.org/,IBO World Schools Register,https://www.ibo.org/en/school/061345,International Baccalaureate Organization,061345,
XX-ES,schools,Runnymede College,https://runnymede-college.com/,UK Government Get Information About Schools - Establishment 146831,https://www.get-information-schools.service.gov.uk/Establishments/Establishment/Details/146831,UK DfE / Spanish Ministry of Education,146831,
