corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-ES,movers,RELOCATION MANAGEMENT SPAIN S.L. (Global Relocation Spain),http://www.globalinternational.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/global-relocation-spain,FIDI-FAIM,,2027
XX-ES,movers,DE LA FUENTE INTERNATIONAL MOVERS SL,http://www.dlfspain.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/dlf-international-movers,FIDI-FAIM Plus,,2026
XX-ES,movers,AGS MUDANZAS INTERNACIONALES S.L.,http://www.agsmovers.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/ags-mudanzas-internacionales-espana-madrid,FIDI-FAIM Plus,,2026
XX-ES,movers,SANTA FE RELOCATION SERVICES S.A.,https://www.santaferelocation.com/office/spain/international-moving-company-spain/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-madrid,FIDI-FAIM Plus,,2026
XX-ES,movers,MUDANZAS FLIPPERS INTERNACIONAL S.L.,http://www.flippers.es/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/flippers-international-sl,FIDI-FAIM Plus,,2026
XX-ES,legal_admin,PFBERNAL ABOGADOS (Abogacia Extranjeria),https://abogaciaextranjeria.es/en/,Firm website confirms ICAM membership no. 68283,https://abogaciaextranjeria.es/en/about-us/,ICAM - Ilustre Colegio de la Abogacia de Madrid,68283,
XX-ES,legal_admin,MigrationLaw,https://www.migrationlaw.es/,Firm contact page confirms ICAM membership no. 97778,https://www.migrationlaw.es/contacto,ICAM - Ilustre Colegio de la Abogacia de Madrid,97778,
XX-ES,tax_finance,ECOVIS Fiscalges,https://www.ecovis.com/madrid-fiscalges/,Firm website - ECOVIS international member (Consejo General de Economistas affiliate),https://www.ecovis.com/madrid-fiscalges/,Consejo General de Economistas,,
XX-ES,tax_finance,VIA Consultores,https://via.es/en/,Firm website - tax advisory for expats Madrid,https://via.es/en/tax-advice-in-madrid/,Consejo General de Economistas,,
XX-ES,banks,Banco Santander S.A.,https://www.bancosantander.es/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,0049,
XX-ES,banks,BBVA S.A.,https://www.bbva.es/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,0182,
XX-ES,banks,CaixaBank S.A.,https://www.caixabank.es/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,2100,
XX-ES,banks,Bankinter S.A.,https://www.bankinter.com/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,0128,
XX-ES,banks,Banco de Sabadell S.A.,https://www.bancsabadell.com/,Agencia Tributaria - Listado de entidades bancarias adheridas,https://sede.agenciatributaria.gob.es/Sede/otros-servicios/pago-impuestos/pago-impuestos_/listado-entidades-bancarias-adheridas.html,Banco de Espana,0081,
XX-ES,schools,American School of Madrid,https://www.asmadrid.org/,IBO World Schools Register,https://www.ibo.org/en/school/000769,International Baccalaureate Organization,000769,
XX-ES,schools,Kings College The British School of Madrid,https://www.kingscollegeschools.org/,IBO World Schools Register,https://www.ibo.org/en/school/061345,International Baccalaureate Organization,061345,
XX-NL,movers,ATLAS INTERNATIONAL MOVERS B.V.,http://www.atlas-movers.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/atlas-international-movers,FIDI-FAIM Plus,,2028
XX-NL,movers,SANTA FE RELOCATION SERVICES B.V.,https://www.santaferelocation.com/office/netherlands/international-movers-netherlands/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-amsterdam,FIDI-FAIM Plus,,2028
XX-NL,legal_admin,Kroes Advocaten Immigration Lawyers,http://www.kroesadvocaten.nl/,Nederlandse Orde van Advocaten - Zoek een advocaat register,https://zoekeenadvocaat.advocatenorde.nl/kantoren/amsterdam/kroes-advocaten-immigration-lawyers/21130726246,Nederlandse Orde van Advocaten (NOvA),21130726246,
XX-NL,legal_admin,Adam & Wolf Immigration Lawyers,http://www.adamwolf.nl/,Nederlandse Orde van Advocaten - Zoek een advocaat register,https://zoekeenadvocaat.advocatenorde.nl/kantoren/amsterdam/adam-wolf-immigration-lawyers/21070646581,Nederlandse Orde van Advocaten (NOvA),21070646581,
XX-NL,legal_admin,De Vreede Immigration Law,http://www.devreede-law.nl/,Nederlandse Orde van Advocaten - Zoek een advocaat register,https://zoekeenadvocaat.advocatenorde.nl/kantoren/amsterdam/de-vreede-immigration-law/22106203284,Nederlandse Orde van Advocaten (NOvA),22106203284,
XX-NL,tax_finance,KPMG Accountants N.V.,http://www.kpmg.nl/,AFM Register of Audit Firms,https://www.afm.nl/en/professionals/registers/vergunningenregisters/accountantsorganisaties/details?id=F909FE38-68A1-E011-A203-005056BE6692,Autoriteit Financiele Markten (AFM),13000121,
XX-NL,tax_finance,PricewaterhouseCoopers Accountants N.V.,https://www.pwc.nl/,AFM Register of Audit Firms,https://www.afm.nl/en/professionals/registers/vergunningenregisters/accountantsorganisaties/details?id=B102FB3E-68A1-E011-A203-005056BE6692,Autoriteit Financiele Markten (AFM),13000291,
XX-NL,tax_finance,Deloitte Accountants B.V.,https://www.deloitte.nl/,AFM Register of Audit Firms,https://www.afm.nl/en/professionals/registers/vergunningenregisters/accountantsorganisaties/details?id=D009FE38-68A1-E011-A203-005056BE6692,Autoriteit Financiele Markten (AFM),13000015,
XX-NL,tax_finance,Ernst & Young Accountants LLP,http://www.ey.com/nl/,AFM Register of Audit Firms,https://www.afm.nl/en/professionals/registers/vergunningenregisters/accountantsorganisaties/details?id=C5DAFF80-68A1-E011-A203-005056BE6692,Autoriteit Financiele Markten (AFM),13000742,
XX-NL,banks,ING Bank N.V.,https://www.ing.nl/,DNB Public Register - Register van banken,https://www.dnb.nl/en/public-register/information-detail/?registerCode=WFTDG&relationNumber=B0163,De Nederlandsche Bank (DNB),B0163,
XX-NL,banks,ABN AMRO Bank N.V.,https://www.abnamro.nl/,DNB Public Register - Register van banken,https://www.dnb.nl/en/public-register/information-detail/?registerCode=WFTDG&relationNumber=B0149,De Nederlandsche Bank (DNB),B0149,
XX-NL,banks,Cooperatieve Rabobank U.A.,https://www.rabobank.nl/,DNB Public Register - Register van banken,https://www.dnb.nl/en/public-register/information-detail/?registerCode=WFTDG&relationNumber=B0600,De Nederlandsche Bank (DNB),B0600,
XX-NL,schools,International School of Amsterdam,https://www.isa.nl/,IBO World Schools Register,https://www.ibo.org/en/school/000136,International Baccalaureate Organization,000136,
XX-NL,schools,Amsterdam International Community School (AICS),https://www.aics.nl/,IBO World Schools Register + DUO/BRIN register,https://www.ibo.org/en/school/002871,IBO / DUO Netherlands,002871,
XX-NL,housing_agencies,Boomsma & Bruinsma Makelaars,https://www.bbmakelaars.nl/,MVA (Makelaarsvereniging Amsterdam) NVM member directory,https://mva.nl/en/,NVM / Makelaarsvereniging Amsterdam (MVA),,
XX-NL,housing_agencies,Cremers Makelaardij,https://www.cremersmakelaardij.nl/,MVA (Makelaarsvereniging Amsterdam) NVM member directory,https://mva.nl/en/,NVM / Makelaarsvereniging Amsterdam (MVA),,
XX-NL,housing_agencies,Pim de Jong Makelaars,https://www.pimdejongmakelaars.nl/,MVA (Makelaarsvereniging Amsterdam) NVM member directory,https://mva.nl/en/,NVM / Makelaarsvereniging Amsterdam (MVA),,
XX-AE,movers,ISS RELOCATION LLC,https://iss-relocations.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/iss-relocations,FIDI-FAIM Plus,,2027
XX-AE,movers,ALLIED RELOCATION SERVICES LLC,http://www.allied.ae/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/allied-moving-services-uae-0,FIDI-FAIM Plus,,2027
XX-AE,movers,E-MOVERS LLC,http://www.emoversuae.com/,FIDI Global Alliance - per-entity page,https://www.fidi.org/find-fidi-affiliate/e-movers-llc,FIDI-FAIM Plus,,2028
XX-AE,legal_admin,HPL Yamalova & Plewka FZCO (LYLAW),https://lylawyers.com/,Firm website - licensed by Dubai Legal Affairs Department (LAD) + DMCC + DIFC Courts,https://lylawyers.com/,Dubai Legal Affairs Department (LAD),,
XX-AE,tax_finance,Grant Thornton Audit and Accounting Limited,https://www.grantthornton.ae/,Dubai Land Department - Approved financial auditors list,https://dubailand.gov.ae/en/eservices/certified-auditors/certified-auditors-list/,Dubai Land Department (DLD) - Escrow Approved Auditor,,
XX-AE,tax_finance,KGRN Chartered Accountants L.L.C,https://kgrnaudit.com/,Dubai Land Department - Approved financial auditors list,https://dubailand.gov.ae/en/eservices/certified-auditors/certified-auditors-list/,Dubai Land Department (DLD) - Escrow Approved Auditor,,
XX-AE,tax_finance,Crowe Mak,https://crowe.com/ae/,Dubai Land Department - Approved financial auditors list,https://dubailand.gov.ae/en/eservices/certified-auditors/certified-auditors-list/,Dubai Land Department (DLD) - Escrow Approved Auditor,,
XX-AE,tax_finance,PKF Chartered Accountants,https://pkfuae.com/,Dubai Land Department - Approved financial auditors list,https://dubailand.gov.ae/en/eservices/certified-auditors/certified-auditors-list/,Dubai Land Department (DLD) - Escrow Approved Auditor,,
XX-AE,banks,Emirates NBD Bank P.J.S.C,https://www.emiratesnbd.com/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.01.003.1963.02,
XX-AE,banks,Mashreq Bank P.S.C,https://www.mashreqbank.com/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.01.005.1967.02,
XX-AE,banks,Commercial Bank of Dubai P.J.S.C,https://www.cbd.ae/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.01.010.1969.02,
XX-AE,banks,Dubai Islamic Bank P.J.S.C,https://www.dib.ae/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.02.025.1975.02,
XX-AE,banks,Emirates Islamic Bank P.J.S.C,https://www.emiratesislamic.ae/,Central Bank of UAE (CBUAE) Register March 2026,https://www.centralbank.ae/media/kxxkzrho/cb-register-march-2026.pdf,Central Bank of UAE (CBUAE),01.01.02.031.1976.02,
XX-AE,schools,Kings School Dubai L.L.C,https://www.kingsdubaischool.com/,KHDA Education Directory,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=273&CenterID=115,KHDA - Knowledge and Human Development Authority,CenterID-115,
XX-AE,schools,Nord Anglia International School L.L.C,https://www.nordangliaeducation.com/our-schools/dubai,KHDA Education Directory,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4441&CenterID=2222,KHDA - Knowledge and Human Development Authority,CenterID-2222,
XX-AE,schools,Repton School Dubai,https://www.reptondubai.org/,KHDA Education Directory,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=356&CenterID=145,KHDA - Knowledge and Human Development Authority,CenterID-145,
XX-AE,housing_agencies,Allsopp & Allsopp Real Estate Broker L.L.C,https://www.allsoppandallsopp.com/,Dubai Land Department - RERA Licensed Brokers (shozon.com verified list),https://shozon.com/blog/property/licensed-real-estate-brokers-in-dubai/,RERA - Real Estate Regulatory Agency Dubai,ORN-1815,
XX-AE,housing_agencies,Knight Frank Real Estate Broker,https://www.knightfrank.ae/,Dubai Land Department - RERA Licensed Brokers (shozon.com verified list),https://shozon.com/blog/property/licensed-real-estate-brokers-in-dubai/,RERA - Real Estate Regulatory Agency Dubai,ORN-11964,
XX-AE,housing_agencies,Better Homes Licensed Real Estate Broker,https://www.bhomes.com/,Dubai Land Department - RERA Licensed Brokers (shozon.com verified list),https://shozon.com/blog/property/licensed-real-estate-brokers-in-dubai/,RERA - Real Estate Regulatory Agency Dubai,ORN-97,
