corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-FI,movers,ALFA MOBILITY,https://www.alfamoving.com,FIDI Global Alliance affiliate register,https://www.fidi.org/find-fidi-affiliate/alfa-mobility,"FIDI Global Alliance — FIDI-FAIM, FIDI-DSP",,
XX-FI,movers,NIEMI SERVICES LTD,https://www.niemi.fi/en,FIDI Global Alliance affiliate register,https://www.fidi.org/find-fidi-affiliate/niemi-services-ltd,FIDI Global Alliance — FIDI-FAIM PLUS,,
XX-FI,movers,TRAVELCARGO INTERNATIONAL REMOVALS,https://www.travelcargo.fi,FIDI Global Alliance affiliate register,https://www.fidi.org/find-fidi-affiliate/travelcargo-international-removals,"FIDI Global Alliance — FIDI-FAIM PLUS, TOP PERFORMER",,
XX-FI,movers,VICTOR EK MOVING LIMITED,http://www.victorek.fi,FIDI Global Alliance affiliate register,https://www.fidi.org/find-fidi-affiliate/victor-ek-moving-limited,FIDI Global Alliance — FIDI-FAIM PLUS,,
XX-FI,banks,Nordea Bank Abp,https://www.nordea.fi,ECB Banking Supervision — List of supervised entities,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,European Central Bank / SSM (FIN-FSA supervised credit institution),529900ODI3047E2LIV03,
XX-FI,banks,OP Corporate Bank plc (OP Yrityspankki Oyj),https://www.op.fi,ECB Banking Supervision — List of supervised entities,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,European Central Bank / SSM (FIN-FSA supervised credit institution),549300NQ588N7RWKBP98,
XX-FI,banks,S-Pankki Oy,https://www.s-pankki.fi,ECB Banking Supervision — List of supervised entities,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,European Central Bank / SSM (FIN-FSA supervised credit institution),743700FTBNXAUN57RH30,
XX-FI,banks,Aktia Bank Abp,https://www.aktia.fi,ECB Banking Supervision — List of supervised entities,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,European Central Bank / SSM (FIN-FSA supervised credit institution),743700GC62JLHFBUND16,
XX-FI,schools,International School of Helsinki,https://www.ishelsinki.fi,IBO — Find an IB World School,https://www.ibo.org/en/school/000652,International Baccalaureate Organization (IB World School),000652,
XX-FI,schools,Helsingin Suomalainen Yhteiskoulu (SYK),https://www.syk.fi,IBO — Find an IB World School,https://www.ibo.org/en/school/000571,International Baccalaureate Organization (IB World School),000571,
XX-FI,schools,Ressun lukio (Ressu Upper Secondary School),,IBO — Find an IB World School,https://www.ibo.org/en/school/001419,International Baccalaureate Organization (IB World School),001419,
XX-FI,schools,Ressu Comprehensive School,,IBO — Find an IB World School,https://www.ibo.org/en/school/002343,International Baccalaureate Organization (IB World School),002343,
XX-FI,tax_finance,KPMG Oy Ab,https://kpmg.com/fi,PRH Auditor Register (Tilintarkastajahaku),https://tietopalvelut.prh.fi/tilintarkastajahaku,PRH Auditor Oversight — Tilintarkastusyhteisö (approved audit firm),,
XX-FI,tax_finance,Ernst & Young Oy,https://www.ey.com/fi_fi,PRH Auditor Register (Tilintarkastajahaku),https://tietopalvelut.prh.fi/tilintarkastajahaku,PRH Auditor Oversight — Tilintarkastusyhteisö (approved audit firm),,
XX-FI,tax_finance,Deloitte Oy,https://www.deloitte.com/fi,PRH Auditor Register (Tilintarkastajahaku),https://tietopalvelut.prh.fi/tilintarkastajahaku,PRH Auditor Oversight — Tilintarkastusyhteisö (approved audit firm),,
XX-FI,tax_finance,BDO Oy,https://www.bdo.fi,PRH Auditor Register (Tilintarkastajahaku),https://tietopalvelut.prh.fi/tilintarkastajahaku,PRH Auditor Oversight — Tilintarkastusyhteisö (approved audit firm),,
XX-FI,legal_admin,Castrén & Snellman Attorneys Ltd,https://www.castren.fi,Finnish Bar Association — Find an Attorney,https://www.findanattorney.fi/,Finnish Bar Association (Suomen Asianajajaliitto) member firm,,
XX-FI,legal_admin,"Roschier, Attorneys Ltd.",https://www.roschier.com,Finnish Bar Association — Find an Attorney,https://www.findanattorney.fi/,Finnish Bar Association (Suomen Asianajajaliitto) member firm,,
XX-FI,legal_admin,Hannes Snellman Attorneys Ltd,https://www.hannessnellman.com,Finnish Bar Association — Find an Attorney,https://www.findanattorney.fi/,Finnish Bar Association (Suomen Asianajajaliitto) member firm,,
XX-FI,legal_admin,Borenius Attorneys Ltd,https://www.borenius.com,Finnish Bar Association — Find an Attorney,https://www.findanattorney.fi/,Finnish Bar Association (Suomen Asianajajaliitto) member firm,,
