corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-GB,movers,Anglo Pacific International Limited,https://www.anglopacific.co.uk,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/anglo-pacific-international-limited,FIDI Global Alliance,,
XX-GB,movers,Cadogan Tate Worldwide Moving,https://www.cadogantate.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/cadogan-tate-worldwide-moving,FIDI Global Alliance,,
XX-GB,movers,Pickfords Move Management Ltd,https://www.pickfords.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/pickfords-move-management-ltd,FIDI Global Alliance,,
XX-GB,movers,Santa Fe Relocation,https://www.santaferelocation.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-london,FIDI Global Alliance,,
XX-GB,movers,Sterling Lexicon,https://www.sterlinglexicon.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/sterling-lexicon-united-kingdom,FIDI Global Alliance,,
XX-GB,movers,White & Co PLC,https://www.whiteandcompany.co.uk,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/white-co-plc-0,FIDI Global Alliance,,
XX-GB,movers,City Moving & Storage Ltd,https://www.citymoving.co.uk,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/city-moving-storage-ltd,FIDI Global Alliance,,
XX-GB,legal_admin,Fragomen LLP,https://www.fragomen.com,Solicitors Regulation Authority (SRA) register,https://www.sra.org.uk/consumers/register/organisation/?sraNumber=459836,Solicitors Regulation Authority (SRA),459836,
XX-GB,legal_admin,Kingsley Napley LLP,https://www.kingsleynapley.co.uk,Solicitors Regulation Authority (SRA) register,https://www.sra.org.uk/consumers/register/organisation/?sraNumber=500046,Solicitors Regulation Authority (SRA),500046,
XX-GB,legal_admin,Laura Devine Solicitors Limited,https://www.lauradevine.com,Solicitors Regulation Authority (SRA) register,https://www.sra.org.uk/consumers/register/organisation/?sraNumber=648320,Solicitors Regulation Authority (SRA),648320,
XX-GB,tax_finance,Blick Rothenberg Limited,https://www.blickrothenberg.com,ICAEW Find a Chartered Accountant,https://find.icaew.com/firms/london/blick-rothenberg-limited/1CT85L,ICAEW,,
XX-GB,tax_finance,Buzzacott LLP,https://www.buzzacott.co.uk,ICAEW Find a Chartered Accountant,https://find.icaew.com/firms/london/buzzacott-llp-bas/ZjXbRq,ICAEW,,
XX-GB,banks,HSBC UK Bank plc,https://www.hsbc.co.uk,FCA Financial Services Register,https://register.fca.org.uk/s/firm?id=001b000003ZcFXFAA3,Financial Conduct Authority (FCA),765112,
XX-GB,banks,Barclays Bank UK PLC,https://www.barclays.co.uk,FCA Financial Services Register,https://register.fca.org.uk/s/firm?id=001b000003WgItdAAF,Financial Conduct Authority (FCA),759676,
XX-GB,banks,Lloyds Bank plc,https://www.lloydsbank.com,FCA Financial Services Register,https://register.fca.org.uk/s/firm?id=001b000000MfFNkAAN,Financial Conduct Authority (FCA),119278,
XX-GB,banks,Santander UK plc,https://www.santander.co.uk,FCA Financial Services Register,https://register.fca.org.uk/s/firm?id=001b000000MfFYLAA3,Financial Conduct Authority (FCA),106054,
XX-GB,banks,Monzo Bank Limited,https://monzo.com,FCA Financial Services Register,https://register.fca.org.uk/s/firm?id=001b000002syvKiAAI,Financial Conduct Authority (FCA),730427,
XX-GB,banks,Starling Bank Limited,https://www.starlingbank.com,FCA Financial Services Register,https://register.fca.org.uk/s/firm?id=001b000002sy7IMAAY,Financial Conduct Authority (FCA),730166,
XX-GB,schools,The American School in London,https://www.asl.org,Get Information About Schools (GIAS),https://get-information-schools.service.gov.uk/Establishments/Establishment/Details/101168,Department for Education (GIAS),101168,
XX-GB,schools,Southbank International School Westminster,https://www.southbank.org,Get Information About Schools (GIAS),https://get-information-schools.service.gov.uk/Establishments/Establishment/Details/143530,Department for Education (GIAS),143530,
XX-GB,schools,Lycée Français Charles de Gaulle,https://www.lyceefrancais.org.uk,Get Information About Schools (GIAS),https://get-information-schools.service.gov.uk/Establishments/Establishment/Details/100547,Department for Education (GIAS),100547,
XX-GB,schools,International School of London,https://www.isllondon.org,Get Information About Schools (GIAS),https://get-information-schools.service.gov.uk/Establishments/Establishment/Details/102550,Department for Education (GIAS),102550,
XX-GB,schools,ACS Hillingdon International School,https://www.acs-schools.com/hillingdon,Get Information About Schools (GIAS),https://get-information-schools.service.gov.uk/Establishments/Establishment/Details/102458,Department for Education (GIAS),102458,
XX-GB,housing_agencies,Foxtons,https://www.foxtons.co.uk,ARLA Propertymark member directory,https://www.propertymark.co.uk/company/foxtons-wembley.html,ARLA Propertymark,,
XX-GB,housing_agencies,Dexters,https://www.dexters.co.uk,ARLA Propertymark member directory,https://www.propertymark.co.uk/company/dexters-northcote-road-2.html,ARLA Propertymark,,
XX-GB,housing_agencies,Marsh & Parsons,https://www.marshandparsons.co.uk,ARLA Propertymark member directory,https://www.propertymark.co.uk/company/marsh-parsons-22.html,ARLA Propertymark,,
XX-GB,housing_agencies,Hamptons International Lettings,https://www.hamptons.co.uk,ARLA Propertymark member directory,https://www.propertymark.co.uk/company/hamptons-international-lettings-2.html,ARLA Propertymark,,
