corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-GR,movers,Matrix Relocations EPE,https://matrixmobility.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/matrix-global-mobility-0,FIDI Global Alliance (FAIM),,2028
XX-GR,movers,Attica Movers S.A.,http://www.atticamovers.gr,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/attica-movers-sa,FIDI Global Alliance (FIDI-FAIM Plus),,2028
XX-GR,movers,"ORPHEE BEINOGLOU INTERNATIONAL TRANSPORT OF HOUSEHOLD GOODS, EXHIBITIONS & FINE ART SINGLE MEMBER S.A",http://www.beinoglou.gr,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/orphee-beinoglou-international-forwarders-sa,FIDI Global Alliance (FIDI-FAIM Plus),,2029
XX-GR,banks,National Bank of Greece S.A.,https://www.nbg.gr,ECB List of Supervised Entities (SSM) - Greece,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202502.en.pdf,European Central Bank (Single Supervisory Mechanism),5UMCZOEYKCVFAW8ZLO05,
XX-GR,banks,Piraeus Bank S.A.,https://www.piraeusbank.gr,ECB List of Supervised Entities (SSM) - Greece,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202502.en.pdf,European Central Bank (Single Supervisory Mechanism),213800OYHR1MPQ5VJL60,
XX-GR,banks,ALPHA BANK S.A.,https://www.alpha.gr,ECB List of Supervised Entities (SSM) - Greece,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202502.en.pdf,European Central Bank (Single Supervisory Mechanism),213800DBQIB6VBNU5C64,
XX-GR,banks,Eurobank S.A.,https://www.eurobank.gr,ECB List of Supervised Entities (SSM) - Greece,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202502.en.pdf,European Central Bank (Single Supervisory Mechanism),213800KGF4EFNUQKAT69,
XX-GR,schools,American Community Schools of Athens,https://www.acs.gr,IBO - Find an IB World School,https://www.ibo.org/en/school/000066,International Baccalaureate Organization (IB),000066,
XX-GR,schools,International School of Athens,https://www.isa.edu.gr,IBO - Find an IB World School,https://www.ibo.org/en/school/001208,International Baccalaureate Organization (IB),001208,
XX-GR,schools,Doukas School,https://www.doukas.gr,IBO - Find an IB World School,https://www.ibo.org/en/school/001346,International Baccalaureate Organization (IB),001346,
XX-GR,tax_finance,Deloitte Certified Public Accountants S.A.,https://www.deloitte.gr,ELTE (HAASOB) Public Register of Audit Firms,https://dbapplication.elte.org.gr/en/companyDetails/15,Hellenic Accounting and Auditing Standards Oversight Board (ELTE),5,
XX-GR,tax_finance,Ernst & Young Certified Auditors SA,https://www.ey.com,ELTE (HAASOB) Public Register of Audit Firms,https://dbapplication.elte.org.gr/en/companyDetails/33,Hellenic Accounting and Auditing Standards Oversight Board (ELTE),23,
XX-GR,tax_finance,Grant Thornton,https://www.grant-thornton.gr,ELTE (HAASOB) Public Register of Audit Firms,https://dbapplication.elte.org.gr/en/companyDetails/17,Hellenic Accounting and Auditing Standards Oversight Board (ELTE),7,
XX-GR,tax_finance,KPMG,https://www.kpmg.gr,ELTE (HAASOB) Public Register of Audit Firms,https://dbapplication.elte.org.gr/en/companyDetails/65,Hellenic Accounting and Auditing Standards Oversight Board (ELTE),57,
