corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-HK,movers,Asian Tigers Hong Kong (K.C. DAT Ltd),https://www.asiantigersgroup.com,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/asian-tigers-hong-kong,FIDI Global Alliance,,2029
XX-HK,movers,Santa Fe Relocation Hong Kong (Santa Fe Transport International Ltd),https://www.santaferelocation.com/office/hong-kong/international-movers-hong-kong/,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-hong-kong,FIDI Global Alliance,,2026
XX-HK,movers,AGS Four Winds International Movers Ltd,https://www.agsmovers.com/,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/ags-four-winds-hong-kong,FIDI Global Alliance,,2028
XX-HK,movers,Allied Moving Services (HK) Ltd,https://www.allied.com/hk/,FIDI Global Alliance (FAIM affiliate register),https://www.fidi.org/find-fidi-affiliate/allied-moving-services-hong-kong,FIDI Global Alliance,,2027
XX-HK,banks,The Hongkong and Shanghai Banking Corporation Limited (HSBC),https://www.hsbc.com.hk,HKMA Register of Authorized Institutions,https://vpr.hkma.gov.hk/eng/regulatory-resources/registers/register-of-ais-and-lros/info/100002,Hong Kong Monetary Authority (HKMA),,
XX-HK,banks,"Hang Seng Bank, Limited",https://www.hangseng.com,HKMA Register of Authorized Institutions,https://vpr.hkma.gov.hk/eng/regulatory-resources/registers/register-of-ais-and-lros/info/100057,Hong Kong Monetary Authority (HKMA),,
XX-HK,banks,Standard Chartered Bank (Hong Kong) Limited,https://www.sc.com/hk,HKMA Register of Authorized Institutions,https://vpr.hkma.gov.hk/eng/regulatory-resources/registers/register-of-ais-and-lros/info/100269,Hong Kong Monetary Authority (HKMA),,
XX-HK,banks,Bank of China (Hong Kong) Limited,https://www.bochk.com,HKMA Register of Authorized Institutions,https://vpr.hkma.gov.hk/eng/regulatory-resources/registers/register-of-ais-and-lros/info/100072,Hong Kong Monetary Authority (HKMA),,
XX-HK,schools,German Swiss International School,https://www.gsis.edu.hk,IB World Schools - Find an IB World School (ibo.org),https://www.ibo.org/programmes/find-an-ib-school/ibap/g/german-swiss-international-school/,International Baccalaureate (IB),006164,
XX-HK,schools,Chinese International School,https://www.cis.edu.hk,IB World Schools - Find an IB World School (ibo.org),https://www.ibo.org/programmes/find-an-ib-school/ibap/c/chinese-international-school/,International Baccalaureate (IB),000637,
XX-HK,schools,Hong Kong Academy,https://www.hkacademy.edu.hk,IB World Schools - Find an IB World School (ibo.org),https://www.ibo.org/programmes/find-an-ib-school/ibap/h/hong-kong-academy/,International Baccalaureate (IB),002218,
XX-HK,schools,French International School of Hong Kong,https://www.fis.edu.hk,IB World Schools - Find an IB World School (ibo.org),https://www.ibo.org/programmes/find-an-ib-school/ibap/f/french-international-school/,International Baccalaureate (IB),000514,
XX-HK,legal_admin,Deacons,https://www.deacons.com,The Law Society of Hong Kong - The Law List,https://www.hklawsoc.org.hk/en/Serve-the-Public/The-Law-List/Firm-Detail?FirmId=243,The Law Society of Hong Kong,,
XX-HK,legal_admin,Tanner De Witt,https://www.tannerdewitt.com,The Law Society of Hong Kong - The Law List,https://www.hklawsoc.org.hk/en/Serve-the-Public/The-Law-List/Firm-Detail?FirmId=837,The Law Society of Hong Kong,,
XX-HK,legal_admin,Withers,https://www.withersworldwide.com,The Law Society of Hong Kong - The Law List,https://www.hklawsoc.org.hk/en/Serve-the-Public/The-Law-List/Firm-Detail?FirmId=947,The Law Society of Hong Kong,,
XX-HK,legal_admin,Baker & McKenzie,https://www.bakermckenzie.com,The Law Society of Hong Kong - The Law List,https://www.hklawsoc.org.hk/en/Serve-the-Public/The-Law-List/Firm-Detail?FirmId=30,The Law Society of Hong Kong,,
