corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-HR,banks,Zagrebacka banka d.d.,https://www.zaba.hr,Hrvatska narodna banka (HNB) list of credit institutions,https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions,Hrvatska narodna banka (HNB),,
XX-HR,banks,Privredna banka Zagreb d.d.,https://www.pbz.hr,Hrvatska narodna banka (HNB) list of credit institutions,https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions,Hrvatska narodna banka (HNB),,
XX-HR,banks,Raiffeisenbank Austria d.d.,https://www.rba.hr,Hrvatska narodna banka (HNB) list of credit institutions,https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions,Hrvatska narodna banka (HNB),,
XX-HR,banks,Addiko Bank d.d.,https://www.addiko.hr,Hrvatska narodna banka (HNB) list of credit institutions,https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions,Hrvatska narodna banka (HNB),,
XX-HR,banks,Hrvatska postanska banka d.d.,https://www.hpb.hr,Hrvatska narodna banka (HNB) list of credit institutions,https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions,Hrvatska narodna banka (HNB),,
XX-HR,banks,Agram banka d.d.,https://www.agrambanka.hr,Hrvatska narodna banka (HNB) list of credit institutions,https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions,Hrvatska narodna banka (HNB),,
XX-HR,banks,KentBank d.d.,https://www.kentbank.hr,Hrvatska narodna banka (HNB) list of credit institutions,https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions,Hrvatska narodna banka (HNB),,
XX-HR,banks,Croatia banka d.d.,https://www.croatiabanka.hr,Hrvatska narodna banka (HNB) list of credit institutions,https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions,Hrvatska narodna banka (HNB),,
XX-HR,banks,Partner banka d.d.,https://www.paba.hr,Hrvatska narodna banka (HNB) list of credit institutions,https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions,Hrvatska narodna banka (HNB),,
XX-HR,movers,Matrix Global Mobility,https://matrixmobility.com,FIDI Global Alliance find a FIDI affiliate,https://www.fidi.org/find-fidi-affiliate/matrix-global-mobility-1,FIDI (FAIM 2022),,2028
XX-HR,schools,American International School of Zagreb,https://www.aisz.hr,IB World Schools finder (ibo.org),https://www.ibo.org/en/school/001466,International Baccalaureate Organization,001466,
XX-HR,schools,XV Gimnazija,https://www.mioc.hr,IB World Schools finder (ibo.org),https://www.ibo.org/en/school/000618,International Baccalaureate Organization,000618,
XX-HR,schools,Matija Gubec International School,https://www.os-mgubec.hr,IB World Schools finder (ibo.org),https://www.ibo.org/en/school/002363,International Baccalaureate Organization,002363,
