corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-HU,movers,AGS Budapest,https://www.agsmovers.com/,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/ags-budapest,FIDI Global Alliance (FAIM),,2026
XX-HU,movers,EuroMove,http://www.euromove.hu,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/euromove,FIDI Global Alliance (FAIM),,2028
XX-HU,movers,Santa Fe Relocation - Budapest,https://www.santaferelocation.com/,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-budapest,FIDI Global Alliance (FAIM),,2028
XX-HU,banks,OTP Bank Nyrt.,https://www.otpbank.hu,Magyar Nemzeti Bank (MNB) - Search of market participants register,https://intezmenykereso.mnb.hu/en/Details/Index?LId=273&EntityType=Institute,Magyar Nemzeti Bank (MNB),10537914,
XX-HU,banks,Kereskedelmi és Hitelbank Zrt. (K&H Bank Zrt.),https://www.kh.hu,Magyar Nemzeti Bank (MNB) - Search of market participants register,https://intezmenykereso.mnb.hu/en/Details/Index?LId=261&EntityType=Institute,Magyar Nemzeti Bank (MNB),10195664,
XX-HU,banks,Erste Bank Hungary Zrt.,https://www.erstebank.hu,Magyar Nemzeti Bank (MNB) - Search of market participants register,https://intezmenykereso.mnb.hu/en/Details/Index?LId=264&EntityType=Institute,Magyar Nemzeti Bank (MNB),10197879,
XX-HU,banks,Raiffeisen Bank Zrt.,https://www.raiffeisen.hu,Magyar Nemzeti Bank (MNB) - Search of market participants register,https://intezmenykereso.mnb.hu/en/Details/Index?LId=265&EntityType=Institute,Magyar Nemzeti Bank (MNB),10198014,
XX-HU,banks,UniCredit Bank Hungary Zrt.,https://www.unicreditbank.hu,Magyar Nemzeti Bank (MNB) - Search of market participants register,https://intezmenykereso.mnb.hu/en/Details/Index?LId=269&EntityType=Institute,Magyar Nemzeti Bank (MNB),10325737,
XX-HU,schools,American International School of Budapest,https://www.aisb.hu,International Baccalaureate Organization - Find an IB World School,https://www.ibo.org/en/school/000714/,International Baccalaureate Organization (IBO),000714,
XX-HU,schools,Budapest British International School,https://bbis.hu,International Baccalaureate Organization - Find an IB World School,https://www.ibo.org/en/school/060907/,International Baccalaureate Organization (IBO),060907,
XX-HU,schools,"The British International School, Budapest",https://www.nordangliaeducation.com/bisb-budapest,International Baccalaureate Organization - Find an IB World School,https://www.ibo.org/en/school/001107/,International Baccalaureate Organization (IBO),001107,
XX-HU,schools,SEK Budapest International School,https://budapest.iesedu.com,International Baccalaureate Organization - Find an IB World School,https://www.ibo.org/en/school/002265/,International Baccalaureate Organization (IBO),002265,
XX-HU,tax_finance,"KPMG Hungária Könyvvizsgáló, Adó és Közgazdasági Tanácsadó Kft",https://www.kpmg.hu,Magyar Könyvvizsgálói Kamara (MKVK) - registered audit firms,https://mkvk.hu/hu/tarsasag?id=22731,Magyar Könyvvizsgálói Kamara (MKVK),000202,
XX-HU,tax_finance,Deloitte Könyvvizsgáló és Tanácsadó Kft.,http://www.deloitte.hu,Magyar Könyvvizsgálói Kamara (MKVK) - registered audit firms,https://mkvk.hu/hu/tarsasag?id=22576,Magyar Könyvvizsgálói Kamara (MKVK),000083,
XX-HU,tax_finance,PricewaterhouseCoopers Könyvvizsgáló Kft.,https://www.pwc.com,Magyar Könyvvizsgálói Kamara (MKVK) - registered audit firms,https://mkvk.hu/hu/tarsasag?id=23974,Magyar Könyvvizsgálói Kamara (MKVK),001464,
XX-HU,tax_finance,Ernst & Young Könyvvizsgáló Kft.,https://www.ey.com/hu,Magyar Könyvvizsgálói Kamara (MKVK) - registered audit firms,https://mkvk.hu/hu/tarsasag?id=22610,Magyar Könyvvizsgálói Kamara (MKVK),001165,
