corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-IL,movers,"Sonigo International Shipping, Packing & Moving, Ltd.",https://www.sonigo.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/sonigo-international-shipping-packing-moving-ltd,FIDI Global Alliance,,2028
XX-IL,movers,Ocean Company Limited (Ocean Relocation),https://oceanrelocation.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/ocean-relocation,FIDI Global Alliance,,2028
XX-IL,movers,A. Univers Transit Ltd,https://www.univers-transit.co.il,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/univers-transit-ltd,FIDI Global Alliance,,2028
XX-IL,movers,"Globus International Packing, Shipping & Moving Ltd",https://www.globus-intr.co.il,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/globus-relocation,FIDI Global Alliance,,2027
XX-IL,banks,Bank Hapoalim Ltd.,https://www.bankhapoalim.com,Bank of Israel - Supervised Banking Corporations,https://www.boi.org.il/en/economic-roles/supervision-and-regulation/list_supervised/,Bank of Israel,12001,
XX-IL,banks,Bank Leumi Le-Israel Ltd.,https://www.leumi.co.il,Bank of Israel - Supervised Banking Corporations,https://www.boi.org.il/en/economic-roles/supervision-and-regulation/list_supervised/,Bank of Israel,10001,
XX-IL,banks,Mizrahi Tefahot Bank Ltd.,https://www.mizrahi-tefahot.co.il,Bank of Israel - Supervised Banking Corporations,https://www.boi.org.il/en/economic-roles/supervision-and-regulation/list_supervised/,Bank of Israel,20001,
XX-IL,banks,Israel Discount Bank Ltd.,https://www.discountbank.co.il,Bank of Israel - Supervised Banking Corporations,https://www.boi.org.il/en/economic-roles/supervision-and-regulation/list_supervised/,Bank of Israel,11001,
XX-IL,banks,The First International Bank of Israel Ltd.,https://www.fibi.co.il,Bank of Israel - Supervised Banking Corporations,https://www.boi.org.il/en/economic-roles/supervision-and-regulation/list_supervised/,Bank of Israel,31001,
XX-IL,schools,Eastern Mediterranean International School,https://www.em-is.org,International Baccalaureate - Find an IB World School,https://www.ibo.org/school/049521/,International Baccalaureate Organization,049521,
XX-IL,schools,TreeHouse International School,https://www.treehouse.co.il,International Baccalaureate - Find an IB World School,https://www.ibo.org/school/063191/,International Baccalaureate Organization,063191,
XX-IL,schools,King Solomon School,https://www.kingsolomonschool.org,International Baccalaureate - Find an IB World School,https://www.ibo.org/school/061644/,International Baccalaureate Organization,061644,
