corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-IN,movers,GLOBE MOVING & STORAGE CO. PVT. LTD,https://www.globemoving.net,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/globe-moving-storage-co-pvt-ltd,FIDI Global Alliance (FAIM),,2029
XX-IN,movers,STAR WORLDWIDE GROUP PVT. LTD.,https://www.starww.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/star-worldwide-group-bangalore,FIDI Global Alliance (FAIM),,2026
XX-IN,movers,INTEREM - INTERNATIONAL REMOVALS DIV. OF FREIGHT SYSTEMS (INDIA) PVT. LTD,https://www.interem-relocations.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/interem-international-removals-div-freight-systems-india-pvt-ltd-0,FIDI Global Alliance (FAIM),,2027
XX-IN,banks,HDFC Bank Ltd,https://www.hdfcbank.com,RBI list of banks in India,https://www.rbi.org.in/scripts/banklinks.aspx,Reserve Bank of India (RBI),,
XX-IN,banks,ICICI Bank Ltd,https://www.icicibank.com,RBI list of banks in India,https://www.rbi.org.in/scripts/banklinks.aspx,Reserve Bank of India (RBI),,
XX-IN,banks,State Bank of India,https://sbi.co.in,RBI list of banks in India,https://www.rbi.org.in/scripts/banklinks.aspx,Reserve Bank of India (RBI),,
XX-IN,banks,Axis Bank Ltd,https://www.axisbank.com,RBI list of banks in India,https://www.rbi.org.in/scripts/banklinks.aspx,Reserve Bank of India (RBI),,
XX-IN,banks,Hong Kong and Shanghai Banking Corporation Limited,https://www.hsbc.co.in,RBI list of banks in India,https://www.rbi.org.in/scripts/banklinks.aspx,Reserve Bank of India (RBI),,
XX-IN,banks,Citibank N.A.,https://www.online.citibank.co.in,RBI list of banks in India,https://www.rbi.org.in/scripts/banklinks.aspx,Reserve Bank of India (RBI),,
XX-IN,schools,Bangalore International School,https://www.bangaloreinternationalschool.org,IB Find an IB World School,https://www.ibo.org/en/school/002388,International Baccalaureate Organization (IBO),002388,
XX-IN,schools,The International School Bangalore,https://www.tisb.org,IB Find an IB World School,https://www.ibo.org/en/school/001226,International Baccalaureate Organization (IBO),001226,
XX-IN,schools,Canadian International School,https://www.canadianinternationalschool.com,IB Find an IB World School,https://www.ibo.org/en/school/001121,International Baccalaureate Organization (IBO),001121,
XX-IN,schools,Indus International School Bangalore,https://www.indusschool.com,IB Find an IB World School,https://www.ibo.org/en/school/002272,International Baccalaureate Organization (IBO),002272,
