corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-IS,banks,Landsbankinn hf.,https://www.landsbankinn.is,"Central Bank of Iceland — Supervised entities register",https://cb.is/financial-supervision/regulated-activities/supervised-entities/,"Central Bank of Iceland (Financial Supervision, former FME)",4710080280,
XX-IS,banks,Íslandsbanki hf.,https://www.islandsbanki.is,"Central Bank of Iceland — Supervised entities register",https://cb.is/financial-supervision/regulated-activities/supervised-entities/,"Central Bank of Iceland (Financial Supervision, former FME)",4910080160,
XX-IS,banks,Arion banki hf.,https://www.arionbanki.is,"Central Bank of Iceland — Supervised entities register",https://cb.is/financial-supervision/regulated-activities/supervised-entities/,"Central Bank of Iceland (Financial Supervision, former FME)",5810080150,
XX-IS,banks,Kvika banki hf.,https://www.kvika.is,"Central Bank of Iceland — Supervised entities register",https://cb.is/financial-supervision/regulated-activities/supervised-entities/,"Central Bank of Iceland (Financial Supervision, former FME)",5405022930,
XX-IS,schools,Menntaskólinn við Hamrahlíð (MH),https://www.mh.is,"IBO — Find an IB World School",https://www.ibo.org/school/000975/,International Baccalaureate Organization (IBO),000975,
XX-IS,schools,International School of Iceland,https://www.internationalschool.is,"IBO — Find an IB World School",https://www.ibo.org/school/051783/,International Baccalaureate Organization (IBO),051783,
XX-IS,tax_finance,KPMG ehf.,https://kpmg.com/is,"Endurskoðendaskrá — Register of audit firms",https://endurskodendarad.is/endurskodendur/endurskodunarfyrritaeki-yfirlit/,Endurskoðendaráð (Icelandic Board of Auditors),EF-2011-003,
XX-IS,tax_finance,PricewaterhouseCoopers ehf.,https://www.pwc.is,"Endurskoðendaskrá — Register of audit firms",https://endurskodendarad.is/endurskodendur/endurskodunarfyrritaeki-yfirlit/,Endurskoðendaráð (Icelandic Board of Auditors),EF-2011-002,
XX-IS,tax_finance,Grant Thornton endurskoðun ehf.,https://www.grantthornton.is,"Endurskoðendaskrá — Register of audit firms",https://endurskodendarad.is/endurskodendur/endurskodunarfyrritaeki-yfirlit/,Endurskoðendaráð (Icelandic Board of Auditors),EF-2012-003,
XX-IS,tax_finance,Deloitte ehf.,https://www.deloitte.com/is,"Endurskoðendaskrá — Register of audit firms",https://endurskodendarad.is/endurskodendur/endurskodunarfyrritaeki-yfirlit/,Endurskoðendaráð (Icelandic Board of Auditors),EF-2011-001,
XX-IS,housing_agencies,Eignamiðlunin ehf.,https://www.eignamidlun.is,"Ísland.is — List of Real Estate Agents (District Commissioners)",https://island.is/en/list-of-real-estate-agents,"District Commissioner (Sýslumaður) — löggiltir fasteignasalar register",,
XX-IS,housing_agencies,Trausti fasteignasala,https://trausti.is,"Ísland.is — List of Real Estate Agents (District Commissioners)",https://island.is/en/list-of-real-estate-agents,"District Commissioner (Sýslumaður) — löggiltir fasteignasalar register",,
XX-IS,housing_agencies,Valborg fasteignasala,,"Ísland.is — List of Real Estate Agents (District Commissioners)",https://island.is/en/list-of-real-estate-agents,"District Commissioner (Sýslumaður) — löggiltir fasteignasalar register",,
XX-IS,housing_agencies,Eignaumboðið/Spánareignir,,"Ísland.is — List of Real Estate Agents (District Commissioners)",https://island.is/en/list-of-real-estate-agents,"District Commissioner (Sýslumaður) — löggiltir fasteignasalar register",,
