corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-JP,movers,Asian Tigers Japan,http://www.asiantigersgroup.com,FIDI Global Alliance - Find a FIDI Affiliate (Japan),https://www.fidi.org/find-fidi-affiliate/asian-tigers-japan,FIDI Global Alliance (FAIM accredited),,
XX-JP,movers,Santa Fe Relocation - Tokyo,https://www.santaferelo.com/en/contact/our-offices/japan-tokyo/,FIDI Global Alliance - Find a FIDI Affiliate (Japan),https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-tokyo,FIDI Global Alliance (FAIM accredited),,
XX-JP,movers,"Crown Moving Service Co., Ltd. - Tokyo Branch",http://www.crown-moving.net/en/index.html,FIDI Global Alliance - Find a FIDI Affiliate (Japan),https://www.fidi.org/find-fidi-affiliate/crown-moving-service-co-ltd-tokyo-branch,FIDI Global Alliance (FAIM accredited),,
XX-JP,movers,Yamatane Corporation,http://www.yamatane.co.jp/moving/,FIDI Global Alliance - Find a FIDI Affiliate (Japan),https://www.fidi.org/find-fidi-affiliate/yamatane-corporation,FIDI Global Alliance (FAIM accredited),,
XX-JP,banks,"MUFG Bank, Ltd.",https://www.bk.mufg.jp/,FSA - List of Licensed (Registered) Financial Institutions: City Banks and Trust Banks,https://www.fsa.go.jp/en/regulated/licensed/index.html,"Financial Services Agency (FSA), Japan",,
XX-JP,banks,Sumitomo Mitsui Banking Corporation,https://www.smbc.co.jp/,FSA - List of Licensed (Registered) Financial Institutions: City Banks and Trust Banks,https://www.fsa.go.jp/en/regulated/licensed/index.html,"Financial Services Agency (FSA), Japan",,
XX-JP,banks,"Mizuho Bank, Ltd.",https://www.mizuhobank.co.jp/,FSA - List of Licensed (Registered) Financial Institutions: City Banks and Trust Banks,https://www.fsa.go.jp/en/regulated/licensed/index.html,"Financial Services Agency (FSA), Japan",,
XX-JP,banks,SBI Shinsei Bank,https://www.sbishinseibank.co.jp/,FSA - List of Licensed (Registered) Financial Institutions: City Banks and Trust Banks,https://www.fsa.go.jp/en/regulated/licensed/index.html,"Financial Services Agency (FSA), Japan",,
XX-JP,banks,"Japan Post Bank Co., Ltd.",https://www.jp-bank.japanpost.jp/,FSA - List of Licensed (Registered) Financial Institutions: City Banks and Trust Banks,https://www.fsa.go.jp/en/regulated/licensed/index.html,"Financial Services Agency (FSA), Japan",,
XX-JP,schools,Tokyo International School,https://www.tokyois.com/,IBO - Find an IB World School,https://www.ibo.org/en/school/002638,International Baccalaureate Organization (IB World School),002638,
XX-JP,schools,K. International School Tokyo,https://www.kist.ed.jp/,IBO - Find an IB World School,https://www.ibo.org/en/school/002120,International Baccalaureate Organization (IB World School),002120,
XX-JP,schools,Seisen International School,https://www.seisen.com/,IBO - Find an IB World School,https://www.ibo.org/en/school/000399,International Baccalaureate Organization (IB World School),000399,
XX-JP,schools,St. Mary's International School,https://www.smis.ac.jp/,IBO - Find an IB World School,https://www.ibo.org/en/school/000134,International Baccalaureate Organization (IB World School),000134,
XX-JP,housing_agencies,"Plaza Homes, Ltd. (プラザホームズ株式会社)",https://www.realestate-tokyo.com/,MLIT - National Real Estate Broker (Takken/Building Lots and Buildings Transaction Business) Registration Search,https://etsuran2.mlit.go.jp/TAKKEN/,MLIT / Tokyo Metropolitan Government (Building Lots and Buildings Transaction Business licence),東京都知事(04)第086890号,
XX-JP,housing_agencies,Housing Japan K.K. (ハウジング・ジャパン株式会社),https://www.housingjapan.com/,MLIT - National Real Estate Broker (Takken/Building Lots and Buildings Transaction Business) Registration Search,https://etsuran2.mlit.go.jp/TAKKEN/,MLIT / Tokyo Metropolitan Government (Building Lots and Buildings Transaction Business licence),東京都知事(03)第098912号,
XX-JP,housing_agencies,"Tokyu Livable, Inc. (東急リバブル株式会社)",https://www.livable.co.jp/,MLIT - National Real Estate Broker (Takken/Building Lots and Buildings Transaction Business) Registration Search,https://etsuran2.mlit.go.jp/TAKKEN/,MLIT / Tokyo Metropolitan Government (Building Lots and Buildings Transaction Business licence),国土交通大臣(12)第002611号,
XX-JP,housing_agencies,"Mitsui Fudosan Realty Co., Ltd. (三井不動産リアルティ株式会社)",https://www.mf-realty.jp/,MLIT - National Real Estate Broker (Takken/Building Lots and Buildings Transaction Business) Registration Search,https://etsuran2.mlit.go.jp/TAKKEN/,MLIT / Tokyo Metropolitan Government (Building Lots and Buildings Transaction Business licence),国土交通大臣(15)第000777号,
