corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-KR,movers,"ASIAN TIGERS TRANSPACK Co., Ltd. (Asian Tigers Korea)",http://www.asiantigersgroup.com,FIDI Global Alliance - Find a FIDI Affiliate (South Korea),https://www.fidi.org/find-fidi-affiliate/asian-tigers-korea,FIDI Global Alliance (FAIM accredited),,2028
XX-KR,movers,"MOVES KOREA CO., LTD (MK Moves Korea)",http://www.moveskorea.com,FIDI Global Alliance - Find a FIDI Affiliate (South Korea),https://www.fidi.org/find-fidi-affiliate/mk-moves-korea,FIDI Global Alliance (FAIM accredited),,2026
XX-KR,movers,"AHJIN TRANSPORTATION CO., LTD (Allied Korea)",https://www.allied.kr,FIDI Global Alliance - Find a FIDI Affiliate (South Korea),https://www.fidi.org/find-fidi-affiliate/allied-korea,FIDI Global Alliance (FAIM accredited),,2028
XX-KR,movers,"KOREA TRANSPORT CO., LTD.",http://www.koreatransport.com,FIDI Global Alliance - Find a FIDI Affiliate (South Korea),https://www.fidi.org/find-fidi-affiliate/korea-transport-co-ltd,FIDI Global Alliance (FAIM accredited),,2026
XX-KR,banks,Kookmin Bank (KB),https://www.kbstar.com,Korea Federation of Banks - List of Members,https://www.kfb.or.kr/eng/members/list.php,Korea Federation of Banks (KFB member bank),,
XX-KR,banks,Shinhan Bank,https://www.shinhan.com,Korea Federation of Banks - List of Members,https://www.kfb.or.kr/eng/members/list.php,Korea Federation of Banks (KFB member bank),,
XX-KR,banks,Woori Bank,https://www.wooribank.com,Korea Federation of Banks - List of Members,https://www.kfb.or.kr/eng/members/list.php,Korea Federation of Banks (KFB member bank),,
XX-KR,banks,Hana Bank,https://www.kebhana.com,Korea Federation of Banks - List of Members,https://www.kfb.or.kr/eng/members/list.php,Korea Federation of Banks (KFB member bank),,
XX-KR,banks,Nonghyup Bank (NH),https://banking.nonghyup.com,Korea Federation of Banks - List of Members,https://www.kfb.or.kr/eng/members/list.php,Korea Federation of Banks (KFB member bank),,
XX-KR,banks,Standard Chartered Bank Korea Limited,https://www.standardchartered.co.kr,Korea Federation of Banks - List of Members,https://www.kfb.or.kr/eng/members/list.php,Korea Federation of Banks (KFB member bank),,
XX-KR,banks,Citibank Korea Inc.,https://www.citibank.co.kr,Korea Federation of Banks - List of Members,https://www.kfb.or.kr/eng/members/list.php,Korea Federation of Banks (KFB member bank),,
XX-KR,schools,Seoul Foreign School,https://www.seoulforeign.org,IBO - Find an IB World School,https://www.ibo.org/en/school/000166,International Baccalaureate Organization (IB World School),000166,
XX-KR,schools,Dwight School Seoul,https://www.dwight.or.kr,IBO - Find an IB World School,https://www.ibo.org/en/school/049716,International Baccalaureate Organization (IB World School),049716,
XX-KR,schools,Dulwich College Seoul British School,https://seoul.dulwich.org,IBO - Find an IB World School,https://www.ibo.org/en/school/050750,International Baccalaureate Organization (IB World School),050750,
XX-KR,schools,Korea Foreign School,https://koreaforeign.org,IBO - Find an IB World School,https://www.ibo.org/en/school/060117,International Baccalaureate Organization (IB World School),060117,
