corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-KW,movers,GULF AGENCY COMPANY (KUWAIT) LTD,https://www.moving.gac.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/gulf-agency-company-kuwait-ltd,FIDI Global Alliance (FAIM),,2027
XX-KW,banks,National Bank of Kuwait,https://www.nbk.com,Central Bank of Kuwait - Regulated Entities - Kuwaiti Conventional Banks,https://www.cbk.gov.kw/en/supervision/regulated-entities/kuwaiti-banks/conventional-banks,Central Bank of Kuwait,,
XX-KW,banks,Gulf Bank,https://www.e-gulfbank.com,Central Bank of Kuwait - Regulated Entities - Kuwaiti Conventional Banks,https://www.cbk.gov.kw/en/supervision/regulated-entities/kuwaiti-banks/conventional-banks,Central Bank of Kuwait,,
XX-KW,banks,Burgan Bank,https://www.burgan.com,Central Bank of Kuwait - Regulated Entities - Kuwaiti Conventional Banks,https://www.cbk.gov.kw/en/supervision/regulated-entities/kuwaiti-banks/conventional-banks,Central Bank of Kuwait,,
XX-KW,banks,Commercial Bank of Kuwait,https://www.cbk.com,Central Bank of Kuwait - Regulated Entities - Kuwaiti Conventional Banks,https://www.cbk.gov.kw/en/supervision/regulated-entities/kuwaiti-banks/conventional-banks,Central Bank of Kuwait,,
XX-KW,banks,Kuwait Finance House,https://www.kfh.com,Central Bank of Kuwait - Regulated Entities - Kuwaiti Islamic Banks,https://www.cbk.gov.kw/en/supervision/regulated-entities/kuwaiti-banks/islamic-banks,Central Bank of Kuwait,,
XX-KW,banks,Boubyan Bank,https://www.bankboubyan.com,Central Bank of Kuwait - Regulated Entities - Kuwaiti Islamic Banks,https://www.cbk.gov.kw/en/supervision/regulated-entities/kuwaiti-banks/islamic-banks,Central Bank of Kuwait,,
XX-KW,schools,American International School Kuwait,https://ais.edu.kw,IBO - Find an IB World School,https://www.ibo.org/school/000657/,International Baccalaureate Organization,000657,
XX-KW,schools,Little Land Nursery and Montessori Center,https://www.littlelandkw.com,IBO - Find an IB World School,https://www.ibo.org/school/060251/,International Baccalaureate Organization,060251,
XX-KW,schools,Reborn Kids Education Academy (RKEA),https://www.rebornkw.com,IBO - Find an IB World School,https://www.ibo.org/school/051906/,International Baccalaureate Organization,051906,
