corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-LU,movers,STREFF (Albert Streff SARL et Cie SECS),https://www.streff.lu,FIDI Global Alliance affiliate register,https://www.fidi.org/find-fidi-affiliate/streff,FIDI Global Alliance — FIDI-FAIM,,2029
XX-LU,banks,BGL BNP Paribas,https://www.bgl.lu,CSSF register of supervised entities,https://edesk.apps.cssf.lu/search-entities/entite/details/7074622,Commission de Surveillance du Secteur Financier (CSSF) — authorised credit institution,B00000003,
XX-LU,banks,Banque Internationale à Luxembourg,https://www.bil.com,CSSF register of supervised entities,https://edesk.apps.cssf.lu/search-entities/entite/details/7074619,Commission de Surveillance du Secteur Financier (CSSF) — authorised credit institution,B00000002,
XX-LU,banks,Banque de Luxembourg S.A.,https://www.banquedeluxembourg.com,CSSF register of supervised entities,https://edesk.apps.cssf.lu/search-entities/entite/details/7074626,Commission de Surveillance du Secteur Financier (CSSF) — authorised credit institution,B00000008,
XX-LU,banks,"Banque et Caisse d'Epargne de l'Etat, Luxembourg (Spuerkeess)",https://www.spuerkeess.lu,CSSF register of supervised entities,https://edesk.apps.cssf.lu/search-entities/entite/details/7074616,Commission de Surveillance du Secteur Financier (CSSF) — authorised credit institution,B00000001,
XX-LU,banks,ING Luxembourg,https://www.ing.lu,CSSF register of supervised entities,https://edesk.apps.cssf.lu/search-entities/entite/details/7074638,Commission de Surveillance du Secteur Financier (CSSF) — authorised credit institution,B00000014,
XX-LU,schools,International School of Luxembourg,https://www.islux.lu,IBO — Find an IB World School,https://www.ibo.org/en/school/000801,International Baccalaureate Organization (IB World School),000801,
XX-LU,schools,Athénée de Luxembourg,https://www.al.lu,IBO — Find an IB World School,https://www.ibo.org/en/school/004161,International Baccalaureate Organization (IB World School),004161,
XX-LU,schools,Fräi-ëffentlech Waldorfschoul Lëtzebuerg,https://www.waldorf.lu,IBO — Find an IB World School,https://www.ibo.org/en/school/002105,International Baccalaureate Organization (IB World School),002105,
XX-LU,schools,OTR International School,https://www.otrschool.lu,IBO — Find an IB World School,https://www.ibo.org/en/school/061211,International Baccalaureate Organization (IB World School),061211,
XX-LU,tax_finance,Deloitte Audit,https://www.deloitte.com,CSSF Public Register of the Audit Profession,https://audit.apps.cssf.lu/audit/details/company/40,Commission de Surveillance du Secteur Financier (CSSF) — cabinet de révision agréé (approved audit firm),,
XX-LU,tax_finance,KPMG Audit S.à r.l.,https://www.kpmg.lu,CSSF Public Register of the Audit Profession,https://audit.apps.cssf.lu/audit/details/company/122,Commission de Surveillance du Secteur Financier (CSSF) — cabinet de révision agréé (approved audit firm),,
XX-LU,tax_finance,Ernst & Young,https://www.ey.com,CSSF Public Register of the Audit Profession,https://audit.apps.cssf.lu/audit/details/company/42,Commission de Surveillance du Secteur Financier (CSSF) — cabinet de révision agréé (approved audit firm),,
XX-LU,tax_finance,PricewaterhouseCoopers Assurance,https://www.pwc.lu,CSSF Public Register of the Audit Profession,https://audit.apps.cssf.lu/audit/details/company/180,Commission de Surveillance du Secteur Financier (CSSF) — cabinet de révision agréé (approved audit firm),,
XX-LU,housing_agencies,Engel & Völkers Luxembourg,https://www.engelvoelkers.com/lu,Chambre Immobilière du Grand-Duché de Luxembourg — member directory,https://www.chambre-immobiliere.lu/listing/engel-volkers-luxembourg-real-estate-brokerage/,Chambre Immobilière du Grand-Duché de Luxembourg (CIGDL),,
XX-LU,housing_agencies,Nexvia S.A.,https://www.nexvia.lu,Chambre Immobilière du Grand-Duché de Luxembourg — member directory,https://www.chambre-immobiliere.lu/listing/nexvia/,Chambre Immobilière du Grand-Duché de Luxembourg (CIGDL),,
XX-LU,housing_agencies,BARNES Luxembourg,https://www.barnes-luxembourg.com,Chambre Immobilière du Grand-Duché de Luxembourg — member directory,https://www.chambre-immobiliere.lu/listing/barnes-luxembourg/,Chambre Immobilière du Grand-Duché de Luxembourg (CIGDL),,
XX-LU,housing_agencies,Unicorn,https://www.unicorn.lu,Chambre Immobilière du Grand-Duché de Luxembourg — member directory,https://www.chambre-immobiliere.lu/listing/unicorn/,Chambre Immobilière du Grand-Duché de Luxembourg (CIGDL),,
