corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-LV,banks,BluOr Bank AS,https://www.bluorbank.lv,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,40003551060,
XX-LV,banks,"Akciju sabiedrība ""Citadele banka""",https://www.citadele.lv,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,40103303559,
XX-LV,banks,AS INDEXO Banka,https://www.indexo.lv,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,40203448611,
XX-LV,banks,"AS ""Industra Bank""",,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,40003194988,
XX-LV,banks,AS Magnetiq Bank,,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,50103189561,
XX-LV,banks,"Akciju sabiedrība ""Reģionālā investīciju banka""",,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,40003563375,
XX-LV,banks,"Akciju sabiedrība ""Rietumu Banka""",https://www.rietumu.com,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,40003074497,
XX-LV,banks,"AS ""SEB banka""",https://www.seb.lv,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,40003151743,
XX-LV,banks,Signet Bank AS,,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,40003043232,
XX-LV,banks,"""Swedbank"" AS",https://www.swedbank.lv,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?segments=41-credit-institutions,Latvijas Banka,40003074764,
XX-LV,banks,Luminor Bank AS Latvijas filiāle,https://www.luminor.lv,Latvijas Banka Financial Market Participant Register,https://www.bank.lv/en/financial-market-participant-register/market-participants?q=Luminor,Latvijas Banka,40203154352,
XX-LV,schools,International School of Riga,https://www.isriga.lv,IBO Find an IB World School,https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Region=&SearchFields.Country=LV,International Baccalaureate Organization,002334,
XX-LV,schools,International School Premjers,https://ispremjers.lv,IBO Find an IB World School,https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Region=&SearchFields.Country=LV,International Baccalaureate Organization,060289,
XX-LV,schools,International Montessori School of Latvia,https://www.imsol.edu.lv,IBO Find an IB World School,https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Region=&SearchFields.Country=LV,International Baccalaureate Organization,063435,
XX-LV,schools,Riga State Gymnasium No.1,,IBO Find an IB World School,https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Region=&SearchFields.Country=LV,International Baccalaureate Organization,001001,
XX-LV,schools,Riga State Gymnasium Nr. 2,,IBO Find an IB World School,https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Region=&SearchFields.Country=LV,International Baccalaureate Organization,050320,
XX-LV,schools,Riga State Gymnasium Nr. 3,,IBO Find an IB World School,https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Region=&SearchFields.Country=LV,International Baccalaureate Organization,061962,
XX-LV,schools,Exupery International School,https://exupery.lv,IBO Find an IB World School,https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Region=&SearchFields.Country=LV,International Baccalaureate Organization,060211,
XX-LV,schools,International School of Latvia,https://www.isl.edu.lv,IBO Find an IB World School,https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Region=&SearchFields.Country=LV,International Baccalaureate Organization,001796,
XX-LV,schools,King's College Latvia,https://www.latvia.kingscollegeschools.org,IBO Find an IB World School,https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Region=&SearchFields.Country=LV,International Baccalaureate Organization,062296,
