corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-MT,banks,Bank of Valletta p.l.c.,https://www.bov.com,MFSA Financial Services Register,https://fsr.mfsa.mt/,Malta Financial Services Authority (MFSA),C 2833,
XX-MT,banks,HSBC Bank Malta p.l.c.,https://www.hsbc.com.mt,MFSA Financial Services Register,https://fsr.mfsa.mt/,Malta Financial Services Authority (MFSA),C 3177,
XX-MT,banks,APS Bank p.l.c.,https://www.apsbank.com.mt,MFSA Financial Services Register,https://fsr.mfsa.mt/,Malta Financial Services Authority (MFSA),C 2192,
XX-MT,banks,BNF Bank plc,https://www.bnf.bank,MFSA Financial Services Register,https://fsr.mfsa.mt/,Malta Financial Services Authority (MFSA),C 41030,
XX-MT,banks,Lombard Bank Malta p.l.c.,https://www.lombardmalta.com,MFSA Financial Services Register,https://fsr.mfsa.mt/,Malta Financial Services Authority (MFSA),C 1607,
XX-MT,schools,St Edward's College,https://www.stedwards.edu.mt,IBO Find an IB World School,https://www.ibo.org/school/004556/,International Baccalaureate Organization (IBO),004556,
XX-MT,schools,Verdala International School,https://www.verdala.org,IBO Find an IB World School,https://www.ibo.org/school/000832/,International Baccalaureate Organization (IBO),000832,
XX-MT,tax_finance,PricewaterhouseCoopers (Malta) Limited,https://www.pwc.com/mt,MFSA Financial Services Register - Approved Auditors,https://fsr.mfsa.mt/,Malta Financial Services Authority (MFSA),C 6685,
XX-MT,tax_finance,Deloitte Audit Limited,https://www.deloitte.com/mt,MFSA Financial Services Register - Approved Auditors,https://fsr.mfsa.mt/,Malta Financial Services Authority (MFSA),C 51312,
XX-MT,tax_finance,Ernst & Young Malta Limited,https://www.ey.com/en_mt,MFSA Financial Services Register - Approved Auditors,https://fsr.mfsa.mt/,Malta Financial Services Authority (MFSA),C 30252,
XX-MT,tax_finance,KPMG Advisory Services Limited,https://kpmg.com/mt,MFSA Financial Services Register - Company Service Providers,https://fsr.mfsa.mt/,Malta Financial Services Authority (MFSA),C 2435,
XX-MT,legal_admin,Chetcuti Cauchi Advocates,https://www.ccmalta.com,Malta Chamber of Advocates - Find a Lawyer directory,https://avukati.org/lawyer/jean-philippe-chetcuti,Malta Chamber of Advocates (warranted advocate),,
XX-MT,legal_admin,Fenech & Fenech Advocates,https://www.fenechlaw.com,Malta Chamber of Advocates - Find a Lawyer directory,https://avukati.org/lawyer/ann-fenech,Malta Chamber of Advocates (warranted advocate),,
XX-MT,legal_admin,Mamo TCV Advocates,https://www.mamotcv.com,Malta Chamber of Advocates - Find a Lawyer directory,https://avukati.org/lawyer/andrew-muscat,Malta Chamber of Advocates (warranted advocate),,
XX-MT,legal_admin,GVZH Advocates,,Malta Chamber of Advocates - Find a Lawyer directory,https://avukati.org/lawyer/andrew-zammit,Malta Chamber of Advocates (warranted advocate),,
