corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-MX,movers,"GRUPO TRANSPORTISTA GOU, S.A. DE C.V.",http://www.mudanzasgou.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/grupo-transportista-gou-sa-de-cv,FIDI Global Alliance (FAIM),,2028
XX-MX,movers,"TRAFIMAR RELOCATION SERVICES, S.A. DE C.V.",http://trafimar.com.mx/,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/trafimar-relocation-services,FIDI Global Alliance (FAIM Plus),,2028
XX-MX,movers,ATLASMEX RELOCATIONS (ATL VAN LINES MEXICANA S.A. DE C.V.),http://www.atlasmex.mx/,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/atlasmex-relocations,FIDI Global Alliance (FAIM Plus),,2026
XX-MX,movers,"COMPANIA INTERNACIONAL DE MUDANZAS Y EMBARQUES, S.A. DE C.V. (CIME)",http://www.cime.com.mx,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/compania-internacional-de-mudanzas-y-embarques-sa-de-cv-cime-sa-de-cv,FIDI Global Alliance (FAIM Plus),,2028
XX-MX,banks,"BBVA México, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA México",https://www.bbva.mx,CONDUSEF SIPRES (Registro de Prestadores de Servicios Financieros),https://webapps.condusef.gob.mx/SIPRES/jsp/home_publico.jsp?idins=305,CNBV (Comisión Nacional Bancaria y de Valores),40012,
XX-MX,banks,"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte",https://www.banorte.com,CONDUSEF SIPRES (Registro de Prestadores de Servicios Financieros),https://webapps.condusef.gob.mx/SIPRES/jsp/home_publico.jsp?idins=351,CNBV (Comisión Nacional Bancaria y de Valores),40072,
XX-MX,banks,"Banco Santander México, S.A., Institución de Banca Múltiple, Grupo Financiero Santander México",https://www.santander.com.mx,CONDUSEF SIPRES (Registro de Prestadores de Servicios Financieros),https://webapps.condusef.gob.mx/SIPRES/jsp/home_publico.jsp?idins=307,CNBV (Comisión Nacional Bancaria y de Valores),40014,
XX-MX,banks,"Banco Nacional de México, S.A. (Banamex / Citibanamex)",https://www.banamex.com,CONDUSEF SIPRES (Registro de Prestadores de Servicios Financieros),https://webapps.condusef.gob.mx/SIPRES/jsp/home_publico.jsp?idins=300,CNBV (Comisión Nacional Bancaria y de Valores),40002,
XX-MX,banks,"HSBC México, S.A., Institución de Banca Múltiple, Grupo Financiero HSBC",https://www.hsbc.com.mx,CONDUSEF SIPRES (Registro de Prestadores de Servicios Financieros),https://webapps.condusef.gob.mx/SIPRES/jsp/home_publico.jsp?idins=310,CNBV (Comisión Nacional Bancaria y de Valores),40021,
XX-MX,schools,Greengates School,https://www.greengates.edu.mx,IB - Find an IB World School,https://www.ibo.org/en/school/000396,International Baccalaureate Organization (IBO),000396,
XX-MX,schools,"The American School Foundation, A.C.",https://www.asf.edu.mx,IB - Find an IB World School,https://www.ibo.org/en/school/001340,International Baccalaureate Organization (IBO),001340,
XX-MX,schools,El Colegio Británico (Edron Academy),https://www.edron.edu.mx,IB - Find an IB World School,https://www.ibo.org/en/school/000812,International Baccalaureate Organization (IBO),000812,
XX-MX,schools,Lomas Hill School,https://www.lomashill.edu.mx,IB - Find an IB World School,https://www.ibo.org/en/school/004262,International Baccalaureate Organization (IBO),004262,
