corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-MY,movers,Santa Fe Relocation Services Sdn Bhd,https://www.santaferelocation.com/office/malaysia/international-movers-malaysia/,FIDI Global Alliance FAIM affiliate register,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-kuala-lumpur,FIDI (FAIM),,2028
XX-MY,movers,Transpo Movers (M) Sdn Bhd (Asian Tigers Malaysia),http://www.asiantigersgroup.com,FIDI Global Alliance FAIM affiliate register,https://www.fidi.org/find-fidi-affiliate/asian-tigers-malaysia,FIDI (FAIM),,2027
XX-MY,movers,Pioneer Movers Sdn Bhd,http://www.pioneermovers.com,FIDI Global Alliance FAIM affiliate register,https://www.fidi.org/find-fidi-affiliate/pioneer-movers-sdn-bhd,FIDI (FAIM),,2027
XX-MY,movers,Allied Moving Services (M) Sdn Bhd,https://www.allied.com/my/,FIDI Global Alliance FAIM affiliate register,https://www.fidi.org/find-fidi-affiliate/allied-moving-services-malaysia,FIDI (FAIM),,2027
XX-MY,banks,Malayan Banking Berhad,https://www.maybank2u.com.my,Bank Negara Malaysia List of Licensed Financial Institutions,https://www.bnm.gov.my/list-of-licensed-financial-institutions,Bank Negara Malaysia,,
XX-MY,banks,CIMB Bank Berhad,https://www.cimb.com.my,Bank Negara Malaysia List of Licensed Financial Institutions,https://www.bnm.gov.my/list-of-licensed-financial-institutions,Bank Negara Malaysia,,
XX-MY,banks,Public Bank Berhad,https://www.pbebank.com,Bank Negara Malaysia List of Licensed Financial Institutions,https://www.bnm.gov.my/list-of-licensed-financial-institutions,Bank Negara Malaysia,,
XX-MY,banks,RHB Bank Berhad,https://www.rhbgroup.com,Bank Negara Malaysia List of Licensed Financial Institutions,https://www.bnm.gov.my/list-of-licensed-financial-institutions,Bank Negara Malaysia,,
XX-MY,banks,Hong Leong Bank Berhad,https://www.hlb.com.my,Bank Negara Malaysia List of Licensed Financial Institutions,https://www.bnm.gov.my/list-of-licensed-financial-institutions,Bank Negara Malaysia,,
XX-MY,banks,HSBC Bank Malaysia Berhad,https://www.hsbc.com.my,Bank Negara Malaysia List of Licensed Financial Institutions,https://www.bnm.gov.my/list-of-licensed-financial-institutions,Bank Negara Malaysia,,
XX-MY,banks,Standard Chartered Bank Malaysia Berhad,https://www.sc.com/my,Bank Negara Malaysia List of Licensed Financial Institutions,https://www.bnm.gov.my/list-of-licensed-financial-institutions,Bank Negara Malaysia,,
XX-MY,banks,Citibank Berhad,https://www.citibank.com.my,Bank Negara Malaysia List of Licensed Financial Institutions,https://www.bnm.gov.my/list-of-licensed-financial-institutions,Bank Negara Malaysia,,
XX-MY,schools,International School of Kuala Lumpur,https://www.iskl.edu.my,IBO Find an IB World School,https://www.ibo.org/en/school/000538,International Baccalaureate (IBO),000538,
XX-MY,schools,Mont'Kiara International School,https://www.mkis.edu.my,IBO Find an IB World School,https://www.ibo.org/en/school/001224,International Baccalaureate (IBO),001224,
XX-MY,schools,Fairview International School Kuala Lumpur,https://fairview.edu.my,IBO Find an IB World School,https://www.ibo.org/en/school/004093,International Baccalaureate (IBO),004093,
