corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
NO-FR,banks,BNP Paribas,https://www.bnpparibas.fr,REGAFI (ACPR/Banque de France),https://www.regafi.fr/pages/fiche-banque?refine.id_referentiel=20556,ACPR,30004,
NO-FR,banks,Société Générale,https://www.societegenerale.fr,REGAFI (ACPR/Banque de France),https://www.regafi.fr/pages/fiche-banque?refine.id_referentiel=28175,ACPR,30003,
NO-FR,banks,Crédit Agricole Île-de-France,https://www.credit-agricole.fr/ca-paris,REGAFI (ACPR/Banque de France),https://www.regafi.fr/pages/fiche-banque?refine.id_referentiel=15732,ACPR,17206,
NO-FR,banks,La Banque Postale,https://www.labanquepostale.fr,REGAFI (ACPR/Banque de France),https://www.regafi.fr/pages/fiche-banque?refine.id_referentiel=18829,ACPR,18829,
NO-FR,banks,LCL (Le Crédit Lyonnais),https://www.lcl.fr,REGAFI (ACPR/Banque de France),https://www.regafi.fr/pages/fiche-banque?refine.id_referentiel=30002,ACPR,30002,
NO-FR,schools,Ecole Active Bilingue Jeannine Manuel (Lycée),https://www.eabjm.org,Annuaire de l'Education nationale (MEN),https://annuaire-education.fr/etablissement/paris/ecole-active-bilingue-jeannine-manuel/0753874D.html,Ministère de l'Education Nationale (UAI),0753874D,
NO-FR,schools,Collège Ecole Active Bilingue Jeannine Manuel,https://www.eabjm.com,Annuaire de l'Education nationale (MEN),https://annuaire-education.fr/etablissement/paris/college-prive-ecole-active-bilingue-jeannine-manuel/0752935H.html,Ministère de l'Education Nationale (UAI),0752935H,
NO-FR,schools,International School of Paris,https://www.isparis.edu,Annuaire de l'Education nationale (MEN),https://annuaire-education.fr/etablissement/paris-16e-arrondissement/international-school-of-paris-ecole-secondaire-privee/0752803P.html,Ministère de l'Education Nationale (UAI),0752803P,
NO-FR,schools,Ecole Internationale Bilingue-Etoile (EIB),https://www.eibparis.fr,Annuaire de l'Education nationale (MEN),https://annuaire-education.fr/etablissement/paris/ecole-internationale-bilingue-etoile/0752937K.html,Ministère de l'Education Nationale (UAI),0752937K,
NO-FR,schools,Collège Ecole Active Bilingue Monceau,https://www.eibparis.fr,Annuaire de l'Education nationale (MEN),https://annuaire-education.fr/etablissement/paris/college-prive-ecole-active-bilingue-monceau/0752821J.html,Ministère de l'Education Nationale (UAI),0752821J,
