corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-NZ,movers,New Zealand Movers Group Limited,https://www.newzealandmovers.co.nz,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/new-zealand-movers,FIDI Global Alliance (FAIM),,2027
XX-NZ,movers,The Moving Company (NZ) Ltd,https://www.themovingcompany.co.nz,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/moving-company-new-zealand,FIDI Global Alliance (FAIM),,2027
XX-NZ,movers,Transworld International Removals Ltd,https://www.transworld.co.nz,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/transworld-international-removals-ltd,FIDI Global Alliance (FAIM),,2029
XX-NZ,movers,Conroy Removals Ltd,https://www.conroy.co.nz,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/conroy-removals,FIDI Global Alliance (FAIM),,2029
XX-NZ,banks,ANZ Bank New Zealand Limited,https://www.anz.co.nz,RBNZ Register of Registered Banks in New Zealand,https://www.rbnz.govt.nz/regulation-and-supervision/cross-sector-oversight/registers-of-entities-we-regulate/registered-banks-in-new-zealand,Reserve Bank of New Zealand (registered bank),,
XX-NZ,banks,ASB Bank Limited,https://www.asb.co.nz,RBNZ Register of Registered Banks in New Zealand,https://www.rbnz.govt.nz/regulation-and-supervision/cross-sector-oversight/registers-of-entities-we-regulate/registered-banks-in-new-zealand,Reserve Bank of New Zealand (registered bank),,
XX-NZ,banks,Bank of New Zealand,https://www.bnz.co.nz,RBNZ Register of Registered Banks in New Zealand,https://www.rbnz.govt.nz/regulation-and-supervision/cross-sector-oversight/registers-of-entities-we-regulate/registered-banks-in-new-zealand,Reserve Bank of New Zealand (registered bank),,
XX-NZ,banks,Kiwibank Limited,https://www.kiwibank.co.nz,RBNZ Register of Registered Banks in New Zealand,https://www.rbnz.govt.nz/regulation-and-supervision/cross-sector-oversight/registers-of-entities-we-regulate/registered-banks-in-new-zealand,Reserve Bank of New Zealand (registered bank),,
XX-NZ,banks,Westpac New Zealand Limited,https://www.westpac.co.nz,RBNZ Register of Registered Banks in New Zealand,https://www.rbnz.govt.nz/regulation-and-supervision/cross-sector-oversight/registers-of-entities-we-regulate/registered-banks-in-new-zealand,Reserve Bank of New Zealand (registered bank),,
XX-NZ,schools,Kristin School,https://www.kristin.school.nz,IBO Find an IB World School,https://www.ibo.org/en/school/000434,International Baccalaureate Organization (IB World School),000434,
XX-NZ,schools,St Cuthbert's College,https://www.stcuthberts.school.nz,IBO Find an IB World School,https://www.ibo.org/en/school/003886,International Baccalaureate Organization (IB World School),003886,
XX-NZ,schools,Diocesan School for Girls,https://www.diocesan.school.nz,IBO Find an IB World School,https://www.ibo.org/en/school/003360,International Baccalaureate Organization (IB World School),003360,
XX-NZ,schools,Auckland Normal Intermediate School,https://www.ani.school.nz,IBO Find an IB World School,https://www.ibo.org/en/school/006498,International Baccalaureate Organization (IB World School),006498,
XX-NZ,housing_agencies,Barfoot & Thompson Limited,https://www.barfoot.co.nz,REA Public Register,https://publicregister.rea.govt.nz/licence?licenceid=26e71a5e-1318-f111-8341-6045bdc2f510,Real Estate Authority (REA),10018521,2027
XX-NZ,housing_agencies,Bayleys Real Estate Limited,https://www.bayleys.co.nz,REA Public Register,https://publicregister.rea.govt.nz/licence?licenceid=eb0a63f7-2f1c-f111-8341-6045bdc2f158,Real Estate Authority (REA),10017764,2027
XX-NZ,housing_agencies,Megan Jaffe Real Estate Limited (t/a Ray White Remuera),https://www.raywhiteremuera.co.nz,REA Public Register,https://publicregister.rea.govt.nz/licence?licenceid=b53ead8e-7a90-f111-8076-6045bde5d3e1,Real Estate Authority (REA),10021620,2027
