corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-OM,movers,Gulf Agency Co (Oman) L.L.C.,http://www.moving.gac.com,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/gulf-agency-co-oman-llc,FIDI Global Alliance (FAIM Plus),,2027
XX-OM,movers,Premium Move Services LLC (The Movers),http://www.themoveroman.com,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/movers,FIDI Global Alliance (FAIM Plus),,2026
XX-OM,banks,Bank Muscat SAOG,https://www.bankmuscat.com,CBO Licensed Banks,https://cbo.gov.om/Pages/LicensedBanks.aspx,Central Bank of Oman,,
XX-OM,banks,National Bank of Oman SAOG,https://www.nbo.om,CBO Licensed Banks,https://cbo.gov.om/Pages/LicensedBanks.aspx,Central Bank of Oman,,
XX-OM,banks,Bank Dhofar SAOG,https://www.bankdhofar.com,CBO Licensed Banks,https://cbo.gov.om/Pages/LicensedBanks.aspx,Central Bank of Oman,,
XX-OM,banks,Sohar International Bank SAOG,https://www.soharinternational.com,CBO Licensed Banks,https://cbo.gov.om/Pages/LicensedBanks.aspx,Central Bank of Oman,,
XX-OM,banks,HSBC Bank Middle East Limited - Oman Branch,https://www.hsbc.om,CBO Licensed Banks,https://cbo.gov.om/Pages/LicensedBanks.aspx,Central Bank of Oman,,
XX-OM,schools,ABA Oman International School (American British Academy),https://www.abaoman.org,IBO Find an IB World School,https://www.ibo.org/en/school/000510,International Baccalaureate Organization,000510,
XX-OM,schools,OURPLANET International School Muscat,https://www.ourplanet.edu.om,IBO Find an IB World School,https://www.ibo.org/en/school/050591,International Baccalaureate Organization,050591,
XX-OM,schools,MySchool,https://www.myschool.edu.om,IBO Find an IB World School,https://www.ibo.org/en/school/052356,International Baccalaureate Organization,052356,
XX-OM,schools,Al Sahwa Schools,https://www.alsahwaschools.com,IBO Find an IB World School,https://www.ibo.org/en/school/004371,International Baccalaureate Organization,004371,
