corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
FR-DE,legal_admin,FZF Rechtsanwälte,https://fzf.de,North Data company register profile,"https://www.northdata.com/FZF+Rechtsanw%C3%A4lte+Partnerschaft+mbB+PartG,+Frankfurt+a%C2%B7+Main/Amtsgericht+Frankfurt+am+Main+PR+2767",Rechtsanwaltskammer Frankfurt am Main / Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 2767,
ES-DE,legal_admin,FZF Rechtsanwälte,https://fzf.de,North Data company register profile,"https://www.northdata.com/FZF+Rechtsanw%C3%A4lte+Partnerschaft+mbB+PartG,+Frankfurt+a%C2%B7+Main/Amtsgericht+Frankfurt+am+Main+PR+2767",Rechtsanwaltskammer Frankfurt am Main / Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 2767,
NO-DE,legal_admin,FZF Rechtsanwälte,https://fzf.de,North Data company register profile,"https://www.northdata.com/FZF+Rechtsanw%C3%A4lte+Partnerschaft+mbB+PartG,+Frankfurt+a%C2%B7+Main/Amtsgericht+Frankfurt+am+Main+PR+2767",Rechtsanwaltskammer Frankfurt am Main / Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 2767,
FR-DE,legal_admin,Newland Chase Germany,https://newlandchase.com,North Data company register profile,"https://www.northdata.com/Newland+Chase+Germany+GmbH,+Frankfurt+a.+Main/Amtsgericht+Frankfurt+am+Main+HRB+74808",Handelsregister Amtsgericht Frankfurt am Main,HRB 74808,
ES-DE,legal_admin,Newland Chase Germany,https://newlandchase.com,North Data company register profile,"https://www.northdata.com/Newland+Chase+Germany+GmbH,+Frankfurt+a.+Main/Amtsgericht+Frankfurt+am+Main+HRB+74808",Handelsregister Amtsgericht Frankfurt am Main,HRB 74808,
NO-DE,legal_admin,Newland Chase Germany,https://newlandchase.com,North Data company register profile,"https://www.northdata.com/Newland+Chase+Germany+GmbH,+Frankfurt+a.+Main/Amtsgericht+Frankfurt+am+Main+HRB+74808",Handelsregister Amtsgericht Frankfurt am Main,HRB 74808,
FR-DE,legal_admin,Vinland Immigration,https://vinlandimmigration.com,North Data company register profile,"https://www.northdata.com/Vinland+Immigration+GmbH,+Frankfurt+a.+Main",Handelsregister Amtsgericht Frankfurt am Main,HRB 133955,
ES-DE,legal_admin,Vinland Immigration,https://vinlandimmigration.com,North Data company register profile,"https://www.northdata.com/Vinland+Immigration+GmbH,+Frankfurt+a.+Main",Handelsregister Amtsgericht Frankfurt am Main,HRB 133955,
NO-DE,legal_admin,Vinland Immigration,https://vinlandimmigration.com,North Data company register profile,"https://www.northdata.com/Vinland+Immigration+GmbH,+Frankfurt+a.+Main",Handelsregister Amtsgericht Frankfurt am Main,HRB 133955,
FR-DE,tax_finance,MSP Steuerberater (Matzenbach & Sternberg),https://www.msp-beratung.com,North Data company register profile,https://www.msp-beratung.com/about/,Steuerberaterkammer Hessen / Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 1869,
ES-DE,tax_finance,MSP Steuerberater (Matzenbach & Sternberg),https://www.msp-beratung.com,North Data company register profile,https://www.msp-beratung.com/about/,Steuerberaterkammer Hessen / Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 1869,
NO-DE,tax_finance,MSP Steuerberater (Matzenbach & Sternberg),https://www.msp-beratung.com,North Data company register profile,https://www.msp-beratung.com/about/,Steuerberaterkammer Hessen / Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 1869,
FR-DE,tax_finance,tes rechtsanwälte steuerberater (Tietze Enders & Partner),https://www.teslegal.de,Gelbe Seiten business directory,https://www.teslegal.de/impressum,Steuerberaterkammer Hessen / Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 2141,
ES-DE,tax_finance,tes rechtsanwälte steuerberater (Tietze Enders & Partner),https://www.teslegal.de,Gelbe Seiten business directory,https://www.teslegal.de/impressum,Steuerberaterkammer Hessen / Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 2141,
NO-DE,tax_finance,tes rechtsanwälte steuerberater (Tietze Enders & Partner),https://www.teslegal.de,Gelbe Seiten business directory,https://www.teslegal.de/impressum,Steuerberaterkammer Hessen / Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 2141,
FR-DE,tax_finance,NAU Steuerberater,https://nau-steuerberatung.com,North Data company profile,"https://www.northdata.de/Nau%20Steuerberater%20Partnerschaft%20mbB%20PartG,%20Frankfurt%20a%C2%B7%20Main/Amtsgericht%20Frankfurt%20am%20Main%20PR%202325",Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 2325,
ES-DE,tax_finance,NAU Steuerberater,https://nau-steuerberatung.com,North Data company profile,"https://www.northdata.de/Nau%20Steuerberater%20Partnerschaft%20mbB%20PartG,%20Frankfurt%20a%C2%B7%20Main/Amtsgericht%20Frankfurt%20am%20Main%20PR%202325",Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 2325,
NO-DE,tax_finance,NAU Steuerberater,https://nau-steuerberatung.com,North Data company profile,"https://www.northdata.de/Nau%20Steuerberater%20Partnerschaft%20mbB%20PartG,%20Frankfurt%20a%C2%B7%20Main/Amtsgericht%20Frankfurt%20am%20Main%20PR%202325",Partnerschaftsregister Amtsgericht Frankfurt am Main,PR 2325,
FR-DE,tax_finance,Taxmain,https://taxmain.de,North Data company profile,"https://www.northdata.com/Taxmain%20Steuerberatungsgesellschaft%20mbH,%20Frankfurt%20a%C2%B7%20Main/Amtsgericht%20Frankfurt%20am%20Main%20HRB%20124350",Handelsregister Amtsgericht Frankfurt am Main,HRB 124350,
ES-DE,tax_finance,Taxmain,https://taxmain.de,North Data company profile,"https://www.northdata.com/Taxmain%20Steuerberatungsgesellschaft%20mbH,%20Frankfurt%20a%C2%B7%20Main/Amtsgericht%20Frankfurt%20am%20Main%20HRB%20124350",Handelsregister Amtsgericht Frankfurt am Main,HRB 124350,
NO-DE,tax_finance,Taxmain,https://taxmain.de,North Data company profile,"https://www.northdata.com/Taxmain%20Steuerberatungsgesellschaft%20mbH,%20Frankfurt%20a%C2%B7%20Main/Amtsgericht%20Frankfurt%20am%20Main%20HRB%20124350",Handelsregister Amtsgericht Frankfurt am Main,HRB 124350,
