corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
IE-ES,legal_admin,Garrigues,https://www.garrigues.com/en_GB,Garrigues - Labor and Employment (international assignments / immigration),https://www.abogacia.es/servicios-abogacia/censo-de-letrados/,Ilustre Colegio de la Abogacia de Madrid,,
IE-ES,legal_admin,Lexidy,https://www.lexidy.com/,Lexidy - Spain Digital Nomad Visa Lawyer (Madrid immigration),https://www.abogacia.es/servicios-abogacia/censo-de-letrados/,Ilustre Colegio de la Abogacia de Madrid,,
IE-ES,legal_admin,Del Canto Chambers,https://delcantochambers.com/,"ExpatLawyerSpain - Immigration & Residency Lawyers (Del Canto Chambers, Madrid)",https://www.abogacia.es/servicios-abogacia/censo-de-letrados/,Ilustre Colegio de la Abogacia de Madrid,,
IE-ES,tax_finance,Garrigues,https://www.garrigues.com/en_GB,Garrigues - Tax services (individuals / international taxation),https://reaf.economistas.es/directorio-de-miembros/,Consejo General de Economistas - REAF,,
IE-ES,tax_finance,US Tax Consultants,https://ustaxconsultants.es/,"US Tax Consultants - non-resident (Modelo 210) and expat tax services, Madrid office",https://reaf.economistas.es/directorio-de-miembros/,Consejo General de Economistas - REAF,,
IE-ES,tax_finance,Auren,https://auren.com/es/,Auren - Asesoramiento fiscal y contable (tax advisory),https://reaf.economistas.es/directorio-de-miembros/,Consejo General de Economistas - REAF,,
IE-ES,housing_agencies,Moving2Madrid,https://moving2madrid.com/,Moving2Madrid - expat buyer/tenant relocation and rental service,https://moving2madrid.com/,,,
IE-ES,housing_agencies,Globexs,https://www.globexs.com/,Globexs - Madrid expat apartments & relocation services,https://www.globexs.com/expat-apartments-for-rent-in-madrid/,,,
IE-ES,housing_agencies,Engel & Volkers Madrid,https://www.engelvoelkers.com/es/en/real-estate-agent/community-of-madrid/madrid,"Engel & Volkers - Real estate agents in Madrid (sales, rentals, property management)",https://www.engelvoelkers.com/es/en/real-estate-agent/community-of-madrid/madrid,,,
IE-ES,housing_agencies,DFLAT Madrid,https://www.dflatmadrid.com/en,DFLAT Madrid - Corporate Housing / executive relocation agency,https://www.dflatmadrid.com/en/corporate-housing,,,
IE-ES,banks,Banco Santander,https://www.bancosantander.es/en/particulares,Santander - Non-Resident Online Account (open with passport; Ireland eligible),https://www.bancosantander.es/en/particulares/cuentas-bancarias/cuenta-online-con-pasaporte/,,,
IE-ES,banks,CaixaBank (HolaBank),https://www.caixabank.es/particular/holabank_en.html,CaixaBank HolaBank - banking services for foreign residents/newcomers,https://www.caixabank.es/particular/holabank_en.html,,,
IE-ES,banks,BBVA,https://www.bbva.es/en/personas/productos/cuentas.html,BBVA - online account (available to non-residents with passport),https://www.bbva.es/en/personas/productos/cuentas/cuenta-online-sin-comisiones.html,,,
IE-ES,banks,Banco Sabadell,https://www.bancsabadell.com/bsnacional/en/personal/,Banco Sabadell - Key Account for non-residents in Spain,https://www.bancsabadell.com/bsnacional/en/personal/bank-accounts/key-account/,,,
IE-ES,movers,Santa Fe Relocation,https://www.santaferelo.com/,FIDI Affiliate profile - Santa Fe Relocation Madrid (FAIM certified),https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-madrid,,,
IE-ES,movers,AGS Movers Madrid,http://www.agsmovers.com/,FIDI Affiliate profile - AGS Mudanzas Internacionales Espana Madrid (FAIM certified),https://www.fidi.org/find-fidi-affiliate/ags-mudanzas-internacionales-espana-madrid,,,
IE-ES,movers,Flippers International,http://www.flippers.es,FIDI Affiliate profile - Flippers International S.L. (FAIM certified),https://www.fidi.org/find-fidi-affiliate/flippers-international-sl,,,
IE-ES,movers,Hasenkamp Relocation Services Spain,https://hasenkamp.com/en-gb,EuRA member profile - Hasenkamp Relocation Services Spain (Madrid),https://www.eura-relocation.com/members/hasenkamp-relocation-services-spain,,,
IE-ES,schools,American School of Madrid,https://www.asmadrid.org/,American School of Madrid - K-12 international school with IB Diploma (American curriculum),https://www.asmadrid.org/,,,
IE-ES,schools,International College Spain (ICS),https://www.nordangliaeducation.com/ics-madrid,IB - Find an IB World School: International College Spain (IB school code 000168),https://ibo.org/programmes/find-an-ib-school/ibaem/i/international-college-spain/,,,
IE-ES,schools,The British School - El Colegio Britanico,https://www.thebritishschool.org/en,"The British School Madrid - English National Curriculum, A Levels & IB Diploma",https://www.thebritishschool.org/en,,,
IE-ES,schools,Runnymede College,https://runnymede-college.com/,"Runnymede College - British & IB curriculum international school, Madrid",https://runnymede-college.com/about-us/contact-information/,,,
ES-IE,legal_admin,Fragomen,https://www.fragomen.com/offices/dublin.html,Fragomen - Immigration Services in Dublin,https://www.fragomen.com/countries/ireland.html,,,
ES-IE,legal_admin,Sinnott Solicitors,https://sinnott.ie/,Sinnott Solicitors - Leading Irish Law Firm in Immigration,https://www.lawsociety.ie/find-a-solicitor/Solicitor-Firm-Search/,Law Society of Ireland,,
ES-IE,legal_admin,Gibson & Associates Solicitors,https://www.gibsonandassociates.ie/,Gibson & Associates - Immigration Solicitors Ireland,https://www.lawsociety.ie/find-a-solicitor/Solicitor-Firm-Search/,Law Society of Ireland,,
ES-IE,legal_admin,Berkeley Solicitors,https://berkeleysolicitors.ie/,Berkeley Solicitors - Immigration Services,https://www.lawsociety.ie/find-a-solicitor/Solicitor-Firm-Search/,Law Society of Ireland,,
ES-IE,tax_finance,Warren & Partners,https://www.warrenp.ie/,Warren & Partners - Tax Advice and Solutions (Global Mobility),https://taxinstitute.ie/,Irish Tax Institute,,
ES-IE,tax_finance,Expat Taxes,https://expattaxes.ie/,Expat Taxes - Tax compliance and advisory services,https://taxinstitute.ie/,Irish Tax Institute,,
ES-IE,tax_finance,Crowe Ireland,https://www.crowe.com/ie,Crowe Ireland - Global Mobility Services,https://www.charteredaccountants.ie/,Chartered Accountants Ireland,,
ES-IE,tax_finance,Baker Tilly Ireland,https://www.bakertilly.ie/,Baker Tilly Ireland - Global Mobility & Expatriate,https://www.charteredaccountants.ie/,Chartered Accountants Ireland,,
ES-IE,housing_agencies,Lisney Sotheby's International Realty,https://lisney.com/,Lisney - Corporate Tenant Relocation Services Ireland,https://lisney.com/service/corporate-tenant-relocation-residential/,,,
ES-IE,housing_agencies,Morrison Estates,https://www.morrisonestates.ie/,Morrison Estates - Corporate Lettings and International Relocation,https://www.morrisonestates.ie/landlords/,,,
ES-IE,housing_agencies,Owen Reilly,https://www.owenreilly.ie/,Owen Reilly - Dublin Docklands & City Centre Lettings and Management,https://www.owenreilly.ie/,,,
ES-IE,housing_agencies,PropSupport,https://www.propsupport.com/,PropSupport - Corporate Relocation / Housing Support Ireland,https://www.propsupport.com/corporate-relocation-solutions/relocation-companies-ireland-guide/,,,
