corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
GB-NO,legal_admin,Wikborg Rein,https://www.wr.no/en,Wikborg Rein - About us (offices incl. Stavanger),https://www.proff.no/selskap/wikborg-rein-advokatfirma-as-avd-stavanger/stavanger/advokater-og-juridiske-tjenester/IFFUB0F07U6,Advokatforeningen / Tilsynsradet for advokatvirksomhet,916 782 195,
GB-NO,legal_admin,Aider Legal,https://www.aiderlegal.com/,Aider Legal - Global mobility and immigration services (Stavanger team),https://www.proff.no/selskap/advokatfirmaet-aider-legal-as-avd-stavanger/stavanger/skatteradgivning/IGCN9NM01HB,Advokatforeningen / Tilsynsradet for advokatvirksomhet,835 700 402,
GB-NO,legal_admin,Relocation.no,https://relocation.no/,Relocation.no - Visas and Immigration,https://relocation.no/expat-communities/relocation-to-norway/visas-and-immigration/,,,
GB-NO,legal_admin,Advokatfirmaet PwC (Stavanger),https://www.pwc.no/en/services/legal-services.html,PwC Norway - Legal services,https://www.pwc.no/en/services/legal-services.html,Advokatforeningen / Tilsynsradet for advokatvirksomhet,,
GB-NO,tax_finance,PwC Stavanger,https://www.pwc.no/no/kontorer/stavanger.html,PwC - Revisjon og radgivning i Stavanger (office page),https://www.pwc.no/no/kontorer/stavanger.html,Finanstilsynet (revisorregister) / Revisorforeningen,,
GB-NO,tax_finance,BDO Stavanger,https://www.bdo.no/en-gb/locations/sandnes,"BDO in Stavanger - Auditors, Advisers, Solicitor (office page)",https://www.bdo.no/en-gb/locations/sandnes,Finanstilsynet (revisorregister) / Revisorforeningen,,
GB-NO,tax_finance,EY Stavanger,https://www.ey.com/en_no/locations/norway,EY Norway - Office locations (Stavanger/Forus),https://www.ey.com/en_us/locations/norway,Finanstilsynet (revisorregister) / Revisorforeningen,,
GB-NO,tax_finance,Aider Legal (Tax & Accounting),https://www.aiderlegal.com/,"Aider Legal - Accounting, Reporting & Payroll Services (Stavanger team)",https://www.proff.no/selskap/advokatfirmaet-aider-legal-as-avd-stavanger/stavanger/skatteradgivning/IGCN9NM01HB,Revisorforeningen / Finanstilsynet (for CPA staff),835 700 402,
GB-NO,housing_agencies,Utleiemegleren Stavanger,https://www.utleiemegleren.no/en,Utleiemegleren - Find your agency (Stavanger office listed),https://www.utleiemegleren.no/en/meglerkontor,,,
GB-NO,housing_agencies,Rentaborg (Stavanger),https://rentaborg.com/stavanger,Rentaborg - Corporate Housing in Stavanger (offshore/energy sector),https://rentaborg.com/stavanger,,,
GB-NO,housing_agencies,Lys Bolig,https://www.lysbolig.no/en/corporate-housing-stavanger,Lys Bolig - Corporate housing in Stavanger,https://www.lysbolig.no/en/corporate-housing-stavanger,,,
GB-NO,housing_agencies,Best Housing Apartments / Stavanger Boligutleie,https://www.stavangerboligutleie.no/en/om-oss,Best Housing Apartments - About (long-term rentals w/ Stavanger Boligutleie AS),https://www.stavangerboligutleie.no/en/om-oss,,,
