corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
NO-SE,legal_admin,Vinge,https://www.vinge.se,Vinge - Corporate Immigration practice area,https://www.advokatsamfundet.se/Sok-advokat/,Sveriges advokatsamfund,,
NO-SE,legal_admin,Mannheimer Swartling,https://www.mannheimerswartling.se,Mannheimer Swartling - Expertise,https://www.advokatsamfundet.se/Sok-advokat/,Sveriges advokatsamfund,,
NO-SE,legal_admin,Advantage Advokatbyrå,https://advantage.se,Advantage - Migration Law,https://www.advokatsamfundet.se/Sok-advokat/,Sveriges advokatsamfund,,
NO-SE,legal_admin,Bird & Bird,https://www.twobirds.com,Bird & Bird - Stockholm office,https://www.advokatsamfundet.se/Sok-advokat/,Sveriges advokatsamfund,,
NO-SE,tax_finance,PwC Sweden,https://www.pwc.se,PwC Sweden - Tax,https://www.far.se/medlem/sok-far-medlem/,FAR,,
NO-SE,tax_finance,KPMG Sweden,https://kpmg.com/se,KPMG Sweden - Migration and Swedish work permits,https://www.far.se/medlem/sok-far-medlem/,FAR,,
NO-SE,tax_finance,Deloitte Sweden,https://www.deloitte.com/se,Deloitte Sweden - Mobility Tax,https://www.far.se/medlem/sok-far-medlem/,FAR,,
NO-SE,tax_finance,EY Sweden,https://www.ey.com/en_se,EY Sweden - Integrated Workforce Mobility,https://www.far.se/medlem/sok-far-medlem/,FAR,,
NO-SE,tax_finance,Grant Thornton Sweden,https://www.grantthornton.se,Grant Thornton - Expatriate tax Sweden,https://www.far.se/medlem/sok-far-medlem/,FAR,,
NO-SE,housing_agencies,Nimmersion,https://www.nimmersion.com,Nimmersion - Home Finding,https://www.nimmersion.com/services/relocation-services/home-finding/,,,
NO-SE,housing_agencies,Företagsbostäder,https://www.foretagsbostader.se,Företagsbostäder - Corporate housing for relocating employees,https://www.foretagsbostader.se/en/news/who-are-the-best-corporate-housing-providers-for-relocating-employees,,,
NO-SE,housing_agencies,Relocate to Sweden,https://relocatetosweden.com,Relocate to Sweden - Rentals,https://relocatetosweden.com/services/rent-out/,,,
NO-SE,banks,SEB,https://seb.se,SEB - New in Sweden,https://seb.se/privat/bli-kund/new-in-sweden,,,
NO-SE,banks,Handelsbanken,https://www.handelsbanken.se,Handelsbanken - Becoming a customer,https://www.handelsbanken.se/en/personal/becoming-a-customer,,,
NO-SE,banks,Nordea,https://www.nordea.se,Nordea - Become a customer,https://www.nordea.se/privat/bli-bankkund/become-a-customer.html,,,
NO-SE,movers,Alfa Mobility,https://www.alfamoving.com,FIDI - Alfa Mobility affiliate listing,https://www.fidi.org/find-fidi-affiliate/alfa-mobility-1,,,
NO-SE,movers,SBK Moving,https://www.sbkmoving.se,FIDI - SBK Moving affiliate listing,https://www.fidi.org/find-fidi-affiliate/sbk-moving,,,
NO-SE,movers,Crown Relocations,https://www.crownrelo.com,Crown Relocations - Stockholm office,https://www.crownrelo.com/office/stockholm,,,
NO-SE,schools,British International School of Stockholm,https://bisstockholm.se,BISS - International Baccalaureate Diploma,https://bisstockholm.se/explore/international-baccalaureate-diploma/,,,
NO-SE,schools,Stockholm International School,https://stockholmis.se,Stockholm International School - Contact,https://stockholmis.se/our-school/contact-sis/,,,
NO-SE,schools,Futuraskolan International School of Stockholm,https://futuraskolaninternational.se,Futuraskolan International School of Stockholm,https://futuraskolaninternational.se/,,,
NO-DK,legal_admin,Littler Denmark,https://littler.dk,Littler Denmark – Immigration and Global Mobility practice page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
DE-DK,legal_admin,Littler Denmark,https://littler.dk,Littler Denmark – Immigration and Global Mobility practice page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
NO-DK,legal_admin,Advokatfirmaet Grotkjær Elmstrøm,https://advokatfirmaet-ge.dk,Grotkjær Elmstrøm – Immigration Law practice page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
DE-DK,legal_admin,Advokatfirmaet Grotkjær Elmstrøm,https://advokatfirmaet-ge.dk,Grotkjær Elmstrøm – Immigration Law practice page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
NO-DK,legal_admin,Holm/Thomsen Law,https://holmthomsenlaw.com,Holm/Thomsen Law – Corporate Immigration Law & Global Mobility page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
DE-DK,legal_admin,Holm/Thomsen Law,https://holmthomsenlaw.com,Holm/Thomsen Law – Corporate Immigration Law & Global Mobility page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
NO-DK,legal_admin,Copernica Law,https://copernicalaw.dk,Copernica Law – Work Permit practice page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
DE-DK,legal_admin,Copernica Law,https://copernicalaw.dk,Copernica Law – Work Permit practice page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
NO-DK,legal_admin,RNL Law,https://www.rnllaw.dk,RNL Law – Expat Legal Services page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
DE-DK,legal_admin,RNL Law,https://www.rnllaw.dk,RNL Law – Expat Legal Services page,https://www.advokatsamfundet.dk/english/find-a-lawyer/,Advokatsamfundet,,
NO-DK,tax_finance,Sheltons Group,https://www.sheltonsgroup.com,"Sheltons Group – Denmark accounting, tax and expat relocation services page",https://www.fsr.dk,FSR - danske revisorer,,
DE-DK,tax_finance,Sheltons Group,https://www.sheltonsgroup.com,"Sheltons Group – Denmark accounting, tax and expat relocation services page",https://www.fsr.dk,FSR - danske revisorer,,
NO-DK,tax_finance,Ecovis Denmark,https://www.ecovis.dk,Ecovis Denmark – Expat scheme 27% tax information page,https://www.fsr.dk,FSR - danske revisorer,,
DE-DK,tax_finance,Ecovis Denmark,https://www.ecovis.dk,Ecovis Denmark – Expat scheme 27% tax information page,https://www.fsr.dk,FSR - danske revisorer,,
