corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
SE-FI,legal_admin,Castrén & Snellman,https://www.castren.fi/,Castrén & Snellman – Global Mobility service page,https://www.largestcompanies.com/company/Asianajotoimisto-Castrn--Snellman-Oy-208335,Patentti- ja rekisterihallitus (PRH) / Finnish Trade Register (Business ID),0103602-1,
DE-FI,legal_admin,Castrén & Snellman,https://www.castren.fi/,Castrén & Snellman – Global Mobility service page,https://www.largestcompanies.com/company/Asianajotoimisto-Castrn--Snellman-Oy-208335,Patentti- ja rekisterihallitus (PRH) / Finnish Trade Register (Business ID),0103602-1,
SE-FI,legal_admin,Borenius Attorneys,https://www.borenius.com/,Borenius Attorneys – Contact us (Helsinki office),https://www.asiakastieto.fi/yritykset/fi/borenius-asianajotoimisto-oy/01034608/yleiskuva,Patentti- ja rekisterihallitus (PRH) / Finnish Trade Register (Business ID),0103460-8,
DE-FI,legal_admin,Borenius Attorneys,https://www.borenius.com/,Borenius Attorneys – Contact us (Helsinki office),https://www.asiakastieto.fi/yritykset/fi/borenius-asianajotoimisto-oy/01034608/yleiskuva,Patentti- ja rekisterihallitus (PRH) / Finnish Trade Register (Business ID),0103460-8,
SE-FI,legal_admin,Fragomen,https://www.fragomen.com/,Fragomen – Finland immigration services country page,https://www.fragomen.com/countries/finland.html,Suomen Asianajajaliitto / Finnish Bar Association,,
DE-FI,legal_admin,Fragomen,https://www.fragomen.com/,Fragomen – Finland immigration services country page,https://www.fragomen.com/countries/finland.html,Suomen Asianajajaliitto / Finnish Bar Association,,
SE-FI,tax_finance,KPMG Finland,https://kpmg.com/fi/en/services/tax/global-mobility-services.html,"KPMG Finland – Global mobility (expatriate tax, work permits, settling-in) service page",https://kpmg.com/fi/en/services/tax/global-mobility-services.html,Patentti- ja rekisterihallitus (PRH) auditor register / tilintarkastusrekisteri,,
DE-FI,tax_finance,KPMG Finland,https://kpmg.com/fi/en/services/tax/global-mobility-services.html,"KPMG Finland – Global mobility (expatriate tax, work permits, settling-in) service page",https://kpmg.com/fi/en/services/tax/global-mobility-services.html,Patentti- ja rekisterihallitus (PRH) auditor register / tilintarkastusrekisteri,,
SE-FI,tax_finance,PwC Finland,https://www.pwc.fi/,PwC Finland – Global Mobility page,https://www.pwc.com/fi/fi/rekrytointi/tyoskentely-ulkomailla.html,Patentti- ja rekisterihallitus (PRH) auditor register / tilintarkastusrekisteri,,
DE-FI,tax_finance,PwC Finland,https://www.pwc.fi/,PwC Finland – Global Mobility page,https://www.pwc.com/fi/fi/rekrytointi/tyoskentely-ulkomailla.html,Patentti- ja rekisterihallitus (PRH) auditor register / tilintarkastusrekisteri,,
