corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-PA,banks,"Banco General, S.A.",,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,banks,Banistmo S.A.,,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,banks,"BAC International Bank, Inc.",,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,banks,"Citibank, N.A. Panama Branch",,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,banks,The Bank of Nova Scotia (SCOTIABANK),,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,banks,Bancolombia S.A.,,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,banks,Banco Davivienda (Panamá) S.A.,,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,banks,Global Bank Corporation,,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,banks,Multibank Inc.,,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,banks,Bank of China Limited,,Superintendencia de Bancos de Panamá,https://www.superbancos.gob.pa/en/gen-info-banks/general-license,Superintendencia de Bancos de Panamá,,
XX-PA,movers,CANAL MOVERS & LOGISTICS CORP.,,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/canal-movers-logistics-corp,FIDI (FAIM),,2028
XX-PA,movers,"PANAMA INTERMOVING AND RELOCATION, INC.",https://www.panamapir.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/panama-intermoving-and-relocation-inc,FIDI (FAIM),,2026
XX-PA,movers,PANAMA PACKING & STORAGE,,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/panama-packing-storage,FIDI (FAIM),,2027
XX-PA,schools,International School of Panama,https://www.isp.edu.pa,International Baccalaureate,https://www.ibo.org/en/school/000464,International Baccalaureate,000464,
XX-PA,schools,Metropolitan School of Panama,,International Baccalaureate,https://www.ibo.org/en/school/049126,International Baccalaureate,049126,
XX-PA,schools,Boston School International,,International Baccalaureate,https://www.ibo.org/en/school/051893,International Baccalaureate,051893,
XX-PA,schools,"King's College School, Panama",,International Baccalaureate,https://www.ibo.org/en/school/062062,International Baccalaureate,062062,
XX-PA,schools,Colegio Isaac Rabin,https://www.isaacrabin.com,International Baccalaureate,https://www.ibo.org/en/school/003767,International Baccalaureate,003767,
