corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-PH,banks,"BDO Unibank, Inc.",,BSP List of Banks with FCDU/EFCDU Authority (Directory of BSP-Supervised Financial Institutions),https://www.bsp.gov.ph/Lists/Directories/Attachments/5/fcdu.pdf,Bangko Sentral ng Pilipinas (BSP),,
XX-PH,banks,Bank of the Philippine Islands,,BSP List of Banks with FCDU/EFCDU Authority (Directory of BSP-Supervised Financial Institutions),https://www.bsp.gov.ph/Lists/Directories/Attachments/5/fcdu.pdf,Bangko Sentral ng Pilipinas (BSP),,
XX-PH,banks,Metropolitan Bank and Trust Company,,BSP List of Banks with FCDU/EFCDU Authority (Directory of BSP-Supervised Financial Institutions),https://www.bsp.gov.ph/Lists/Directories/Attachments/5/fcdu.pdf,Bangko Sentral ng Pilipinas (BSP),,
XX-PH,banks,Rizal Commercial Banking Corporation,,BSP List of Banks with FCDU/EFCDU Authority (Directory of BSP-Supervised Financial Institutions),https://www.bsp.gov.ph/Lists/Directories/Attachments/5/fcdu.pdf,Bangko Sentral ng Pilipinas (BSP),,
XX-PH,banks,Security Bank Corporation,,BSP List of Banks with FCDU/EFCDU Authority (Directory of BSP-Supervised Financial Institutions),https://www.bsp.gov.ph/Lists/Directories/Attachments/5/fcdu.pdf,Bangko Sentral ng Pilipinas (BSP),,
XX-PH,banks,Union Bank of the Philippines,,BSP List of Banks with FCDU/EFCDU Authority (Directory of BSP-Supervised Financial Institutions),https://www.bsp.gov.ph/Lists/Directories/Attachments/5/fcdu.pdf,Bangko Sentral ng Pilipinas (BSP),,
XX-PH,banks,"Citibank, N.A.",,BSP List of Banks with FCDU/EFCDU Authority (Directory of BSP-Supervised Financial Institutions),https://www.bsp.gov.ph/Lists/Directories/Attachments/5/fcdu.pdf,Bangko Sentral ng Pilipinas (BSP),,
XX-PH,banks,Hongkong & Shanghai Banking Corporation,,BSP List of Banks with FCDU/EFCDU Authority (Directory of BSP-Supervised Financial Institutions),https://www.bsp.gov.ph/Lists/Directories/Attachments/5/fcdu.pdf,Bangko Sentral ng Pilipinas (BSP),,
XX-PH,movers,AGS Four Winds - Philippines,https://www.agsmovers.com/,FIDI Global Alliance - FAIM Affiliate Directory,https://www.fidi.org/find-fidi-affiliate/ags-four-winds-philippines,FIDI FAIM Plus,,2028
XX-PH,movers,Asian Tigers Philippines,http://www.asiantigersgroup.com,FIDI Global Alliance - FAIM Affiliate Directory,https://www.fidi.org/find-fidi-affiliate/asian-tigers-philippines,FIDI FAIM Plus,,2028
XX-PH,movers,Santa Fe Relocation - Manila,,FIDI Global Alliance - FAIM Affiliate Directory,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-manila,FIDI FAIM Plus,,2028
XX-PH,schools,International School Manila,,IB World School - Find an IB World School (IBO),https://www.ibo.org/school/000046/,International Baccalaureate Organization,000046,
XX-PH,schools,The British School - Manila,,IB World School - Find an IB World School (IBO),https://www.ibo.org/en/school/001463,International Baccalaureate Organization,001463,
XX-PH,schools,Chinese International School Manila,,IB World School - Find an IB World School (IBO),https://www.ibo.org/en/school/006317,International Baccalaureate Organization,006317,
XX-PH,schools,Xavier School,,IB World School - Find an IB World School (IBO),https://www.ibo.org/en/school/006879,International Baccalaureate Organization,006879,
XX-PH,schools,Immaculate Conception Academy,,IB World School - Find an IB World School (IBO),https://www.ibo.org/en/school/060466,International Baccalaureate Organization,060466,
