corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-PL,movers,AGS Warsaw Sp. z o.o. (AGS Poland),http://www.ags-globalsolutions.com,FIDI - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/ags-poland,FIDI Global Alliance - FAIM (FIDI-FAIM Plus),,2026
XX-PL,movers,MK Relocation Sp. z o.o.,http://www.mkrelocation.pl,FIDI - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/mk-relocation,FIDI Global Alliance - FAIM (FIDI-FAIM),,2026
XX-PL,movers,Master Moving Sp. z o.o.,http://www.mastermoving.pl,FIDI - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/master-moving-poland,FIDI Global Alliance - FAIM (FIDI-FAIM),,2028
XX-PL,banks,Powszechna Kasa Oszczednosci Bank Polski S.A.,https://www.pkobp.pl,KNF - Wyszukiwarka podmiotow (register of supervised entities),https://www.knf.gov.pl/podmioty/wyszukiwarka_podmiotow?searchPhrase=PKO+Bank+Polski&includeDeleted=false&searched=1,Komisja Nadzoru Finansowego (KNF),,
XX-PL,banks,Bank Polska Kasa Opieki S.A. (Bank Pekao),https://www.pekao.com.pl,KNF - Wyszukiwarka podmiotow (register of supervised entities),https://www.knf.gov.pl/podmioty/wyszukiwarka_podmiotow?searchPhrase=Bank+Polska+Kasa+Opieki&includeDeleted=false&searched=1,Komisja Nadzoru Finansowego (KNF),,
XX-PL,banks,Santander Bank Polska S.A.,https://www.santander.pl,KNF - Wyszukiwarka podmiotow (register of supervised entities),https://www.knf.gov.pl/podmioty/wyszukiwarka_podmiotow?searchPhrase=Santander+Bank+Polska&includeDeleted=false&searched=1,Komisja Nadzoru Finansowego (KNF),,
XX-PL,banks,mBank S.A.,https://www.mbank.pl,KNF - Wyszukiwarka podmiotow (register of supervised entities),https://www.knf.gov.pl/podmioty/wyszukiwarka_podmiotow?searchPhrase=mBank&includeDeleted=false&searched=1,Komisja Nadzoru Finansowego (KNF),,
XX-PL,banks,ING Bank Slaski S.A.,https://www.ing.pl,KNF - Wyszukiwarka podmiotow (register of supervised entities),https://www.knf.gov.pl/podmioty/wyszukiwarka_podmiotow?searchPhrase=ING+Bank+%C5%9Al%C4%85ski&includeDeleted=false&searched=1,Komisja Nadzoru Finansowego (KNF),,
XX-PL,schools,American School of Warsaw,https://www.aswarsaw.org,IB - Find an IB World School,https://www.ibo.org/en/school/000721,International Baccalaureate Organization (IBO),000721,
XX-PL,schools,The British School Warsaw,https://www.nordangliaeducation.com/tbsw-warsaw,IB - Find an IB World School,https://www.ibo.org/en/school/001285,International Baccalaureate Organization (IBO),001285,
XX-PL,schools,International American School Warsaw,https://www.ias.edu.pl,IB - Find an IB World School,https://www.ibo.org/en/school/003087,International Baccalaureate Organization (IBO),003087,
XX-PL,schools,The Canadian School of Warsaw,https://www.canadian-school.pl,IB - Find an IB World School,https://www.ibo.org/en/school/005004,International Baccalaureate Organization (IBO),005004,
XX-PL,tax_finance,Deloitte Audyt spolka z ograniczona odpowiedzialnoscia spolka komandytowa,https://www.deloitte.com,PANA - Lista firm audytorskich (STREFA),https://strefa.pana.gov.pl/wyszukiwarka/,Polska Agencja Nadzoru Audytowego (PANA) - lista firm audytorskich,73,
XX-PL,tax_finance,Ernst & Young Audyt Polska spolka z ograniczona odpowiedzialnoscia spolka komandytowa,https://www.ey.com/pl_pl,PANA - Lista firm audytorskich (STREFA),https://strefa.pana.gov.pl/wyszukiwarka/,Polska Agencja Nadzoru Audytowego (PANA) - lista firm audytorskich,130,
XX-PL,tax_finance,PricewaterhouseCoopers Polska spolka z ograniczona odpowiedzialnoscia Audyt spolka komandytowa,https://www.pwc.pl,PANA - Lista firm audytorskich (STREFA),https://strefa.pana.gov.pl/wyszukiwarka/,Polska Agencja Nadzoru Audytowego (PANA) - lista firm audytorskich,144,
XX-PL,tax_finance,KPMG Audyt spolka z ograniczona odpowiedzialnoscia spolka komandytowa,https://www.kpmg.pl,PANA - Lista firm audytorskich (STREFA),https://strefa.pana.gov.pl/wyszukiwarka/,Polska Agencja Nadzoru Audytowego (PANA) - lista firm audytorskich,3546,
XX-PL,legal_admin,"Schiffter Karolina Anna (adwokat)",,Krajowy Rejestr Adwokatow (rejestradwokatow.pl),https://rejestradwokatow.pl/adwokat/schiffter-karolina-44438,Naczelna Rada Adwokacka - Izba Adwokacka w Warszawie,WAW/Adw/4150,
XX-PL,legal_admin,"Dalkowski Piotr Tytus (adwokat)",,Krajowy Rejestr Adwokatow (rejestradwokatow.pl),https://rejestradwokatow.pl/adwokat/dakowski-piotr-42753,Naczelna Rada Adwokacka - Izba Adwokacka w Warszawie,WAW/Adw/2267,
XX-PL,legal_admin,"Blonski Tomasz Wiktor (adwokat)",https://adwokatblonski.pl,Krajowy Rejestr Adwokatow (rejestradwokatow.pl),https://rejestradwokatow.pl/adwokat/boski-tomasz-84915,Naczelna Rada Adwokacka - Izba Adwokacka w Warszawie,WAW/Adw/8564,
