corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-PT,movers,GLOBAL INTERNATIONAL RELOCATION,http://www.globalmobility.pt,FIDI Global Alliance - Find a FIDI Affiliate (Portugal),https://www.fidi.org/find-fidi-affiliate/global-international-relocation,FIDI Global Alliance (FAIM),,
XX-PT,movers,INVICTUS RELOCATION SERVICES,https://www.invictus-relocation.com,FIDI Global Alliance - Find a FIDI Affiliate (Portugal),https://www.fidi.org/find-fidi-affiliate/invictus-relocation-services,FIDI Global Alliance (FAIM),,
XX-PT,movers,PREMIER INTERNATIONAL MOVERS,http://www.premier-portugal.com,FIDI Global Alliance - Find a FIDI Affiliate (Portugal),https://www.fidi.org/find-fidi-affiliate/premier-international-movers,FIDI Global Alliance (FAIM),,
XX-PT,banks,"Caixa Geral de Depositos, S.A.",,"EBA Credit Institutions Register (data owned by Banco de Portugal, national competent authority)",https://euclid.eba.europa.eu/register/cir/entityView/CRD_CRE_INS/TO822O0VT80V06K0FH57,Banco de Portugal,0035,
XX-PT,banks,"Banco Comercial Portugues, S.A. (Millennium BCP)",,"EBA Credit Institutions Register (data owned by Banco de Portugal, national competent authority)",https://euclid.eba.europa.eu/register/cir/entityView/CRD_CRE_INS/JU1U6S0DG9YLT7N8ZV32,Banco de Portugal,0033,
XX-PT,banks,"Novo Banco, S.A.",,"EBA Credit Institutions Register (data owned by Banco de Portugal, national competent authority)",https://euclid.eba.europa.eu/register/cir/entityView/CRD_CRE_INS/5493009W2E2YDCXY6S81,Banco de Portugal,0007,
XX-PT,banks,"Banco Santander Totta, S.A.",,"EBA Credit Institutions Register (data owned by Banco de Portugal, national competent authority)",https://euclid.eba.europa.eu/register/cir/entityView/CRD_CRE_INS/549300URJH9VSI58CS32,Banco de Portugal,0018,
XX-PT,banks,"Banco BPI, S.A.",,"EBA Credit Institutions Register (data owned by Banco de Portugal, national competent authority)",https://euclid.eba.europa.eu/register/cir/entityView/CRD_CRE_INS/3DM5DPGI3W6OU6GJ4N92,Banco de Portugal,0010,
XX-PT,schools,Carlucci American International School of Lisbon,http://www.caislisbon.org,International Baccalaureate - Find an IB World School,https://www.ibo.org/en/school/001048/,International Baccalaureate Organization (IB World School),001048,
XX-PT,schools,Colegio Mira Rio,,International Baccalaureate - Find an IB World School,https://www.ibo.org/en/school/060368/,International Baccalaureate Organization (IB World School),060368,
XX-PT,schools,Colegio Planalto,,International Baccalaureate - Find an IB World School,https://www.ibo.org/en/school/000757/,International Baccalaureate Organization (IB World School),000757,
XX-PT,schools,PaRK International School,,International Baccalaureate - Find an IB World School,https://www.ibo.org/en/school/060986/,International Baccalaureate Organization (IB World School),060986,
XX-PT,housing_agencies,PORTA DA FRENTE - SOCIEDADE DE MEDIACAO IMOBILIARIA LDA,,IMPIC - Registo de empresas titulares de licenca de mediacao imobiliaria (AMI),https://www.impic.pt/impic/pt-pt/consultar/empresas-titulares-de-licenca-de-mediacao-imobiliaria,IMPIC (Licenca de mediacao imobiliaria - AMI),6335,
XX-PT,housing_agencies,"SAVILLS PORTUGAL - MEDIACAO IMOBILIARIA, LDA",,IMPIC - Registo de empresas titulares de licenca de mediacao imobiliaria (AMI),https://www.impic.pt/impic/pt-pt/consultar/empresas-titulares-de-licenca-de-mediacao-imobiliaria,IMPIC (Licenca de mediacao imobiliaria - AMI),5446,
XX-PT,housing_agencies,"COBERTURA - SOCIEDADE DE MEDIACAO IMOBILIARIA, S.A.",,IMPIC - Registo de empresas titulares de licenca de mediacao imobiliaria (AMI),https://www.impic.pt/impic/pt-pt/consultar/empresas-titulares-de-licenca-de-mediacao-imobiliaria,IMPIC (Licenca de mediacao imobiliaria - AMI),479,
XX-PT,housing_agencies,PREDIFIXE - SOCIEDADE DE MEDIACAO IMOBILIARIA LDA,,IMPIC - Registo de empresas titulares de licenca de mediacao imobiliaria (AMI),https://www.impic.pt/impic/pt-pt/consultar/empresas-titulares-de-licenca-de-mediacao-imobiliaria,IMPIC (Licenca de mediacao imobiliaria - AMI),124,
XX-PT,tax_finance,"DELOITTE & ASSOCIADOS, SROC S.A.",http://www.deloitte.pt,OROC - Lista de SROCs registados na Ordem dos Revisores Oficiais de Contas,https://www.oroc.pt/wp-content/uploads/2026/07/SROC_28-07-2026.pdf,OROC (Ordem dos Revisores Oficiais de Contas),43,
XX-PT,tax_finance,"PRICEWATERHOUSECOOPERS & ASSOCIADOS, Sociedade de Revisores Oficiais de Contas, LDA",http://www.pwc.com/pt,OROC - Lista de SROCs registados na Ordem dos Revisores Oficiais de Contas,https://www.oroc.pt/wp-content/uploads/2026/07/SROC_28-07-2026.pdf,OROC (Ordem dos Revisores Oficiais de Contas),183,
XX-PT,tax_finance,"KPMG & ASSOCIADOS, Sociedade de Revisores Oficiais de Contas, SA",http://www.kpmg.pt,OROC - Lista de SROCs registados na Ordem dos Revisores Oficiais de Contas,https://www.oroc.pt/wp-content/uploads/2026/07/SROC_28-07-2026.pdf,OROC (Ordem dos Revisores Oficiais de Contas),189,
XX-PT,tax_finance,"ERNST & YOUNG AUDIT & ASSOCIADOS, SROC, SA",http://www.ey.com/pt/en,OROC - Lista de SROCs registados na Ordem dos Revisores Oficiais de Contas,https://www.oroc.pt/wp-content/uploads/2026/07/SROC_28-07-2026.pdf,OROC (Ordem dos Revisores Oficiais de Contas),178,
