corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-QA,movers,DELIGHT INTERNATIONAL MOVERS,https://www.delightmovers.com/,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/delight-international-movers-1,FIDI Global Alliance (FAIM),,2028
XX-QA,movers,GULF AGENCY COMPANY QATAR (W.L.L.),http://www.moving.gac.com,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/gulf-agency-company-qatar-wll,FIDI Global Alliance (FAIM),,2029
XX-QA,movers,GWC LOGISTICS,http://www.gwclogistics.com,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/gwc-logistics,FIDI Global Alliance (FAIM),,2026
XX-QA,movers,TOKYO FREIGHT SERVICES WLL,http://www.tokyofreight.com,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/tokyo-freight-services-wll,FIDI Global Alliance (FAIM),,2026
XX-QA,schools,Qatar Academy - Doha,,IBO Find an IB World School,https://www.ibo.org/en/school/001368,International Baccalaureate Organization (IBO),001368,
XX-QA,schools,The American School of Doha,,IBO Find an IB World School,https://www.ibo.org/en/school/004603,International Baccalaureate Organization (IBO),004603,
XX-QA,schools,Doha British School,,IBO Find an IB World School,https://www.ibo.org/en/school/006362,International Baccalaureate Organization (IBO),006362,
XX-QA,schools,ACS International School Doha,,IBO Find an IB World School,https://www.ibo.org/en/school/049387,International Baccalaureate Organization (IBO),049387,
XX-QA,legal_admin,Addleshaw Goddard (GCC) LLP,,QFC Public Register - Approved Service Providers,https://eservices.qfc.qa/qfcpublicregister/publicregister.aspx,Qatar Financial Centre Authority (QFC),,
XX-QA,legal_admin,Al Tamimi & Company International Ltd.,,QFC Public Register - Approved Service Providers,https://eservices.qfc.qa/qfcpublicregister/publicregister.aspx,Qatar Financial Centre Authority (QFC),,
XX-QA,legal_admin,Clyde & Co LLP,,QFC Public Register - Approved Service Providers,https://eservices.qfc.qa/qfcpublicregister/publicregister.aspx,Qatar Financial Centre Authority (QFC),,
XX-QA,legal_admin,DWF LLP,,QFC Public Register - Approved Service Providers,https://eservices.qfc.qa/qfcpublicregister/publicregister.aspx,Qatar Financial Centre Authority (QFC),,
XX-QA,tax_finance,Ernst & Young,,QFC Public Register - Approved Auditors,https://eservices.qfc.qa/qfcpublicregister/publicregister.aspx,Qatar Financial Centre Authority (QFC),,
XX-QA,tax_finance,KPMG LLC,,QFC Public Register - Approved Auditors,https://eservices.qfc.qa/qfcpublicregister/publicregister.aspx,Qatar Financial Centre Authority (QFC),,
XX-QA,tax_finance,Deloitte And Touche (M.E.),,QFC Public Register - Approved Auditors,https://eservices.qfc.qa/qfcpublicregister/publicregister.aspx,Qatar Financial Centre Authority (QFC),,
XX-QA,tax_finance,Pricewaterhousecoopers ME Limited Trading As Pricewaterhousecoopers,,QFC Public Register - Approved Auditors,https://eservices.qfc.qa/qfcpublicregister/publicregister.aspx,Qatar Financial Centre Authority (QFC),,
