corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-RO,movers,AGS BUCAREST S.R.L.,https://www.agsmovers.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/ags-bucharest,FIDI Global Alliance (FIDI-FAIM Plus),,2027
XX-RO,movers,ORBIT TRANSPORTURI INTERNATIONALE S.R.L.,https://www.orbitromania.ro,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/orbit-international-forwarding-moving,FIDI Global Alliance (FIDI-FAIM Plus),,2029
XX-RO,movers,CDD RELOCATION SRL,https://www.cddrelocation.ro,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/cdd-relocation,FIDI Global Alliance (FIDI-FAIM Plus),,2027
XX-RO,movers,RILVAN SERV. SRL,https://www.rilvan.eu,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/rilvan-moving-and-relocations,FIDI Global Alliance (FIDI-FAIM Plus),,2026
XX-RO,banks,BANCA TRANSILVANIA S.A.,https://www.bancatransilvania.ro,BNR - Registrul institutiilor de credit (Partea I: persoane juridice romane),https://www.bnr.ro/24405-ric-partea-i,Banca Nationala a Romaniei (BNR),RB-PJR-12-019,
XX-RO,banks,BANCA COMERCIALA ROMANA S.A.,https://www.bcr.ro,BNR - Registrul institutiilor de credit (Partea I: persoane juridice romane),https://www.bnr.ro/24405-ric-partea-i,Banca Nationala a Romaniei (BNR),RB-PJR-40-008,
XX-RO,banks,BRD - Groupe Societe Generale S.A.,https://www.brd.ro,BNR - Registrul institutiilor de credit (Partea I: persoane juridice romane),https://www.bnr.ro/24405-ric-partea-i,Banca Nationala a Romaniei (BNR),RB-PJR-40-007,
XX-RO,banks,RAIFFEISEN BANK S.A.,https://www.raiffeisen.ro,BNR - Registrul institutiilor de credit (Partea I: persoane juridice romane),https://www.bnr.ro/24405-ric-partea-i,Banca Nationala a Romaniei (BNR),RB-PJR-40-009,
XX-RO,banks,UNICREDIT BANK S.A.,https://www.unicredit.ro,BNR - Registrul institutiilor de credit (Partea I: persoane juridice romane),https://www.bnr.ro/24405-ric-partea-i,Banca Nationala a Romaniei (BNR),RB-PJR-40-011,
XX-RO,schools,International School of Bucharest,https://www.isb.ro,IBO - Find an IB World School,https://www.ibo.org/en/school/051793,International Baccalaureate Organization (IB),051793,
XX-RO,schools,American International School of Bucharest,https://www.aisb.ro,IBO - Find an IB World School,https://www.ibo.org/en/school/000974,International Baccalaureate Organization (IB),000974,
XX-RO,schools,Bucharest-Beirut International School,https://bbischool.ro,IBO - Find an IB World School,https://www.ibo.org/en/school/051570,International Baccalaureate Organization (IB),051570,
XX-RO,schools,Cambridge School of Bucharest,https://www.cambridgeschool.ro,IBO - Find an IB World School,https://www.ibo.org/en/school/006882,International Baccalaureate Organization (IB),006882,
