corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-SI,banks,Addiko Bank d.d.,https://www.addiko.com,Banka Slovenije Register of Supervised Entities - Banks in Slovenia,https://www.bsi.si/en/banking-supervision/register-of-supervised-entities,Banka Slovenije,,
XX-SI,banks,Banka Sparkasse d.d.,https://www.sparkasse.si,Banka Slovenije Register of Supervised Entities - Banks in Slovenia,https://www.bsi.si/en/banking-supervision/register-of-supervised-entities,Banka Slovenije,,
XX-SI,banks,Deželna Banka Slovenije d.d.,https://www.dbs.si,Banka Slovenije Register of Supervised Entities - Banks in Slovenia,https://www.bsi.si/en/banking-supervision/register-of-supervised-entities,Banka Slovenije,,
XX-SI,banks,Nova Ljubljanska banka d.d.,https://www.nlb.si,Banka Slovenije Register of Supervised Entities - Banks in Slovenia,https://www.bsi.si/en/banking-supervision/register-of-supervised-entities,Banka Slovenije,,
XX-SI,banks,OTP banka d.d.,https://www.otpbanka.si,Banka Slovenije Register of Supervised Entities - Banks in Slovenia,https://www.bsi.si/en/banking-supervision/register-of-supervised-entities,Banka Slovenije,,
XX-SI,banks,"SID-Slovenska izvozna in razvojna banka, d.d.",https://www.sid.si,Banka Slovenije Register of Supervised Entities - Banks in Slovenia,https://www.bsi.si/en/banking-supervision/register-of-supervised-entities,Banka Slovenije,,
XX-SI,banks,UniCredit Banka Slovenija d.d.,https://www.unicredit.si,Banka Slovenije Register of Supervised Entities - Banks in Slovenia,https://www.bsi.si/en/banking-supervision/register-of-supervised-entities,Banka Slovenije,,
XX-SI,movers,Vatovec Relocations,http://www.vatovec.si,FIDI Global Alliance - FAIM Affiliate Directory,https://www.fidi.org/find-fidi-affiliate/vatovec-relocations,FIDI FAIM,,2028
XX-SI,schools,Ljubljana International School,https://www.lissa.si,IBO Find an IB World School,https://www.ibo.org/en/school/062415,International Baccalaureate Organization,062415,
XX-SI,schools,Danila Kumar International School,https://en.os-danilekumar.si,IBO Find an IB World School,https://www.ibo.org/en/school/001985,International Baccalaureate Organization,001985,
XX-SI,schools,Gimnazija Bežigrad,https://www.gimb.org,IBO Find an IB World School,https://www.ibo.org/en/school/000562,International Baccalaureate Organization,000562,
