corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-TH,movers,Asian Tigers Thailand,http://www.asiantigersgroup.com/thailand,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/asian-tigers-thailand,FIDI Global Alliance,,2029
XX-TH,movers,JVK International Movers Ltd,http://www.jvkmovers.com,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/jvk-international-movers-ltd,FIDI Global Alliance,,2029
XX-TH,movers,Santa Fe Relocation - Bangkok,https://www.santaferelo.com/en/contact/our-offices/thailand-bangkok/,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-bangkok,FIDI Global Alliance,,2029
XX-TH,banks,Bangkok Bank Public Company Limited,http://www.bangkokbank.com,Bank of Thailand list of financial institutions,https://www.bot.or.th/en/fi-list.html,Bank of Thailand,0002,
XX-TH,banks,Kasikornbank Public Company Limited,http://www.kasikornbank.com,Bank of Thailand list of financial institutions,https://www.bot.or.th/en/fi-list.html,Bank of Thailand,0004,
XX-TH,banks,Siam Commercial Bank Public Company Limited,http://www.scb.co.th,Bank of Thailand list of financial institutions,https://www.bot.or.th/en/fi-list.html,Bank of Thailand,0014,
XX-TH,banks,Krung Thai Bank Public Company Limited,http://www.ktb.co.th,Bank of Thailand list of financial institutions,https://www.bot.or.th/en/fi-list.html,Bank of Thailand,0006,
XX-TH,banks,Bank of Ayudhya Public Company Limited,http://www.krungsri.com,Bank of Thailand list of financial institutions,https://www.bot.or.th/en/fi-list.html,Bank of Thailand,0025,
XX-TH,schools,International School Bangkok,http://www.isb.ac.th,IBO Find an IB World School,https://www.ibo.org/en/school/000307,International Baccalaureate Organization,000307,
XX-TH,schools,NIST International School,https://www.nist.ac.th,IBO Find an IB World School,https://www.ibo.org/en/school/000700,International Baccalaureate Organization,000700,
XX-TH,schools,Bangkok Patana School,https://www.patana.ac.th,IBO Find an IB World School,https://www.ibo.org/en/school/000765,International Baccalaureate Organization,000765,
XX-TH,schools,KIS International School,http://www.kis.ac.th,IBO Find an IB World School,https://www.ibo.org/en/school/001895,International Baccalaureate Organization,001895,
