corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-TR,movers,Asya International Movers,http://www.asyanakliyat.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/asya-international-movers,FIDI Global Alliance (FIDI-FAIM Plus),,2028
XX-TR,movers,BAFA International Movers,http://www.bafagroup.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/bafa-international-movers,FIDI Global Alliance (FIDI-FAIM Plus),,2027
XX-TR,movers,Bergen International Movers Lojistik A.S.,http://www.bergen.com.tr,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/bergen-international-movers,FIDI Global Alliance (FIDI-FAIM),,2028
XX-TR,movers,Esen International Movers,https://www.esenmoving.com.tr,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/esen-international-movers,FIDI Global Alliance (FIDI-FAIM Plus),,2028
XX-TR,banks,T.C. Ziraat Bankasi A.S.,http://www.ziraat.com.tr,BDDK Kurulus Listesi - Bankalar (licensed banks register),https://www.bddk.org.tr/Kurulus/Liste/77,Banking Regulation and Supervision Agency (BDDK),10,
XX-TR,banks,Turkiye Is Bankasi A.S.,http://www.isbank.com.tr,BDDK Kurulus Listesi - Bankalar (licensed banks register),https://www.bddk.org.tr/Kurulus/Liste/77,Banking Regulation and Supervision Agency (BDDK),64,
XX-TR,banks,Turkiye Garanti Bankasi A.S.,https://www.garantibbva.com.tr,BDDK Kurulus Listesi - Bankalar (licensed banks register),https://www.bddk.org.tr/Kurulus/Liste/77,Banking Regulation and Supervision Agency (BDDK),62,
XX-TR,banks,Akbank T.A.S.,http://www.akbank.com,BDDK Kurulus Listesi - Bankalar (licensed banks register),https://www.bddk.org.tr/Kurulus/Liste/77,Banking Regulation and Supervision Agency (BDDK),46,
XX-TR,banks,Yapi ve Kredi Bankasi A.S.,https://www.yapikredi.com.tr,BDDK Kurulus Listesi - Bankalar (licensed banks register),https://www.bddk.org.tr/Kurulus/Liste/77,Banking Regulation and Supervision Agency (BDDK),67,
XX-TR,schools,Istanbul International Community School,https://www.iics.k12.tr,IBO - Find an IB World School,https://www.ibo.org/en/school/000938,International Baccalaureate Organization (IB),000938,
XX-TR,schools,Koc School,https://www.kocschool.k12.tr,IBO - Find an IB World School,https://www.ibo.org/en/school/000755,International Baccalaureate Organization (IB),000755,
XX-TR,schools,Enka Schools,https://www.enka.k12.tr,IBO - Find an IB World School,https://www.ibo.org/en/school/002546,International Baccalaureate Organization (IB),002546,
XX-TR,schools,Eyuboglu Schools,https://www.eyuboglu.k12.tr,IBO - Find an IB World School,https://www.ibo.org/en/school/000811,International Baccalaureate Organization (IB),000811,
