corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-TW,banks,Bank of Taiwan,https://www.bot.com.tw,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,Mega International Commercial Bank,https://www.megabank.com.tw,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,"Taipei Fubon Commercial Bank Co., Ltd.",https://www.fubon.com/bank/home/,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,Cathay United Bank,https://www.cathaybk.com.tw,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,"CTBC Bank Co., Ltd.",https://www.ctbcbank.com,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,First Commercial Bank,https://www.firstbank.com.tw,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,"Hua Nan Commercial Bank, Ltd.",https://www.hncb.com.tw,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,Taishin International Bank,https://www.taishinbank.com.tw,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,"E.Sun Commercial Bank, Ltd.",https://www.esunbank.com.tw,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,Standard Chartered Bank (Taiwan) Limited,https://www.sc.com/tw/,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,HSBC Bank (Taiwan) Limited,https://www.hsbc.com.tw,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,banks,Citibank Taiwan Limited,https://www.citibank.com.tw,Central Bank of the ROC (Taiwan) — List of Financial Institutions: Domestic Banks,https://www.cbc.gov.tw/en/cp-495-885-9CF67-2.html,Central Bank of the Republic of China (Taiwan),,
XX-TW,movers,"Crown Van Lines Co., Ltd.",http://www.crownvan.com,FIDI Global Alliance — Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/crown-van-lines,FIDI (FAIM),,2028
XX-TW,movers,Allied Moving Services Ltd.,https://www.alliedmoving.com.tw,FIDI Global Alliance — Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/allied-moving-services-ltd,FIDI (FAIM),,2026
XX-TW,schools,Kang Chiao International School (Taipei Campus),http://www.kcis.com.tw/,IBO — Find an IB World School,https://www.ibo.org/school/050374/,International Baccalaureate Organization,050374,
XX-TW,schools,Taipei American School,http://www.tas.edu.tw/,IBO — Find an IB World School,https://www.ibo.org/school/000186/,International Baccalaureate Organization,000186,
XX-TW,schools,Taipei European School,http://www.taipeieuropeanschool.com/,IBO — Find an IB World School,https://www.ibo.org/school/001407/,International Baccalaureate Organization,001407,
XX-TW,schools,Taipei Kuei Shan School,http://www.kshs.tp.edu.tw/,IBO — Find an IB World School,https://www.ibo.org/school/049727/,International Baccalaureate Organization,049727,
XX-TW,schools,Taipei Municipal Binjiang Experimental Junior High School,http://www.bjjh.tp.edu.tw/,IBO — Find an IB World School,https://www.ibo.org/school/061864/,International Baccalaureate Organization,061864,
XX-TW,schools,Taipei Municipal Xisong High School,http://www.hssh.tp.edu.tw/,IBO — Find an IB World School,https://www.ibo.org/school/061348/,International Baccalaureate Organization,061348,
XX-TW,schools,Taipei Municipal Yucheng High School,http://mars.yucsh.tp.edu.tw/ischool/publish_page/0/,IBO — Find an IB World School,https://www.ibo.org/school/062561/,International Baccalaureate Organization,062561,
XX-TW,schools,Taipei Municipal Zhong Zheng Senior High School,http://www.ccsh.tp.edu.tw/,IBO — Find an IB World School,https://www.ibo.org/school/062633/,International Baccalaureate Organization,062633,
