corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-UY,banks,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,https://www.bancorepublica.com.uy,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1001,
XX-UY,banks,BANCO HIPOTECARIO DEL URUGUAY,https://www.bhu.net,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1091,
XX-UY,banks,BANCO BANDES URUGUAY S.A.,https://www.bandes.com.uy,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1110,
XX-UY,banks,BANCO BILBAO VIZCAYA ARGENTARIA URUGUAY S.A.,https://www.bbva.com.uy,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1153,
XX-UY,banks,BANCO DE LA NACION ARGENTINA (Sucursal Uruguay),https://www.bna.com.uy,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1246,
XX-UY,banks,BANCO ITAU URUGUAY S.A.,https://www.itau.com.uy,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1113,
XX-UY,banks,BANCO SANTANDER S.A.,https://www.santander.com.uy,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1137,
XX-UY,banks,BANQUE HERITAGE (URUGUAY) S.A.,https://www.heritage.com.uy,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1162,
XX-UY,banks,CITIBANK N.A. (SUCURSAL URUGUAY),https://www.citibank.com.uy,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1205,
XX-UY,banks,SCOTIABANK URUGUAY S.A.,https://www.scotiabank.com.uy,Banco Central del Uruguay - Bancos,https://www.bcu.gub.uy/Servicios-Financieros-SSF/Paginas/bancos_Instituciones_Lst.aspx,Banco Central del Uruguay (Superintendencia de Servicios Financieros),1128,
XX-UY,movers,URUVAN TRANSPORT LTDA,https://www.uruvan.com.uy,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/uruvan-transport-ltda,FIDI Global Alliance (FAIM),,2028
XX-UY,movers,AUTOGIRO CAMPOS HNOS & CIA LTDA,https://www.autogiro.com.uy,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/autogiro-campos-hnos-cia-ltda,FIDI Global Alliance (FAIM),,2029
XX-UY,schools,Colegio Stella Maris,https://www.stellamaris.edu.uy,IB World School finder (International Baccalaureate),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=UY,International Baccalaureate Organization,001344,
XX-UY,schools,Escuela Integral Hebreo Uruguaya,https://www.escuelaintegral.edu.uy,IB World School finder (International Baccalaureate),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=UY,International Baccalaureate Organization,000692,
XX-UY,schools,Escuela y Liceo Elbio Fernandez,https://www.elbiofernandez.edu.uy,IB World School finder (International Baccalaureate),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=UY,International Baccalaureate Organization,060281,
XX-UY,schools,St Brendan's School,https://www.stbrendan.edu.uy,IB World School finder (International Baccalaureate),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=UY,International Baccalaureate Organization,002200,
XX-UY,schools,St Patrick's College,https://www.stpatrick.edu.uy,IB World School finder (International Baccalaureate),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=UY,International Baccalaureate Organization,001809,
XX-UY,schools,"The British Schools, Montevideo",https://www.british.edu.uy,IB World School finder (International Baccalaureate),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=UY,International Baccalaureate Organization,000011,
XX-UY,schools,Uruguayan American School,https://www.uas.edu.uy,IB World School finder (International Baccalaureate),https://www.ibo.org/programmes/find-an-ib-school/?SearchFields.Country=UY,International Baccalaureate Organization,049088,
