supplier_id,name,website,missing
vc-dbfcb970-ee54-41d9-87eb-a6828f0e8079,Broersma Werken en Wonen,https://www.broersma.nl,contact_email+contact_phone
vc-5fdebffd-0475-4bc4-8f01-99ada2f79634,Cremers Makelaardij,https://www.cremersmakelaardij.nl/,contact_email+contact_phone
vc-dfe709c3-fd05-44ef-9a8b-d84eb6b394c5,De Graaf & Groot Makelaars o.g.,https://www.degraafengroot.nl,contact_email+contact_phone
vc-385b6ebd-7691-42f9-a62c-2c651f963a01,Dutch Housing Centre B.V.,https://www.dutchhousing.nl,contact_email+contact_phone
vc-5b1f263e-38e3-4d8a-994d-165f308cd7ec,Eefje Voogd Makelaardij B.V.,https://www.eefjevoogd.nl,contact_email+contact_phone
vc-068f1a2b-51c7-4a31-b95f-0be1a41347ab,Engel & Volkers Amsterdam Zuid,https://www.engelvoelkers.com/amsterdam,contact_email+contact_phone
vc-80273248-43f5-4d6b-8a78-17b0ec20fb9b,Forte Makelaars,https://www.fortemakelaars.nl,contact_email+contact_phone
vc-92d1113e-ce00-44be-bffc-146e51189dba,JLG Real Estate B.V.,https://jlgrealestate.com,contact_email+contact_phone
vc-d34c3d0a-9b73-4ea1-b924-57bca44a352f,Pim de Jong Makelaars,https://www.pimdejongmakelaars.nl/,contact_email+contact_phone
vc-b48b2c34-9e19-4cd2-9c96-b5185a68b18b,Ramon Mossel Makelaardij o.g. B.V.,https://www.ramonmossel.nl,contact_email+contact_phone
