corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-VN,banks,"Citibank, N.A.",,State Bank of Vietnam - Foreign Banks' Branches in Vietnam,https://sbv.gov.vn/en/foreign-bank-branches,State Bank of Vietnam,,
XX-VN,banks,Deutsche Bank AG,,State Bank of Vietnam - Foreign Banks' Branches in Vietnam,https://sbv.gov.vn/en/foreign-bank-branches,State Bank of Vietnam,,
XX-VN,banks,Sumitomo Mitsui Banking Corporation,,State Bank of Vietnam - Foreign Banks' Branches in Vietnam,https://sbv.gov.vn/en/foreign-bank-branches,State Bank of Vietnam,,
XX-VN,banks,"Mizuho Bank, Ltd.",,State Bank of Vietnam - Foreign Banks' Branches in Vietnam,https://sbv.gov.vn/en/foreign-bank-branches,State Bank of Vietnam,,
XX-VN,banks,MUFG Bank Ltd.,,State Bank of Vietnam - Foreign Banks' Branches in Vietnam,https://sbv.gov.vn/en/foreign-bank-branches,State Bank of Vietnam,,
XX-VN,banks,BNP Paribas,,State Bank of Vietnam - Foreign Banks' Branches in Vietnam,https://sbv.gov.vn/en/foreign-bank-branches,State Bank of Vietnam,,
XX-VN,movers,Asian Tigers Vietnam,http://www.asiantigersgroup.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/asian-tigers-vietnam,FIDI FAIM,,2028
XX-VN,movers,Saigon Van International Relocations,http://www.saigonvan.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/saigon-van-international-relocations,FIDI FAIM,,2026
XX-VN,movers,Santa Fe Relocation - Ho Chi Minh City,https://www.santaferelocation.com,FIDI Global Alliance - Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-ho-chi-minh-city,FIDI FAIM,,2028
XX-VN,schools,"International School, Ho Chi Minh City",https://www.ishcmc.com,IB World Schools - Find an IB World School,https://www.ibo.org/school/001047/,International Baccalaureate Organization,001047,
XX-VN,schools,"British International School, Ho Chi Minh City",https://www.bisvietnam.com,IB World Schools - Find an IB World School,https://www.ibo.org/school/002389/,International Baccalaureate Organization,002389,
XX-VN,schools,European International School,https://www.eishcmc.com,IB World Schools - Find an IB World School,https://www.ibo.org/school/049623/,International Baccalaureate Organization,049623,
XX-VN,schools,Australian International School,https://www.aisvietnam.com,IB World Schools - Find an IB World School,https://www.ibo.org/school/004027/,International Baccalaureate Organization,004027,
XX-VN,schools,Canadian International School - Vietnam,https://www.cis.edu.vn,IB World Schools - Find an IB World School,https://www.ibo.org/school/049544/,International Baccalaureate Organization,049544,
XX-VN,schools,Saigon South International School,https://www.ssis.edu.vn,IB World Schools - Find an IB World School,https://www.ibo.org/school/004656/,International Baccalaureate Organization,004656,
XX-VN,schools,Renaissance International School Saigon,https://www.renaissance.edu.vn,IB World Schools - Find an IB World School,https://www.ibo.org/school/004890/,International Baccalaureate Organization,004890,
