corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-ZA,movers,Elliott International (Pty) Ltd,https://www.elliott.co.za/,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/elliott,FIDI Global Alliance (FAIM),,2027
XX-ZA,movers,Stuttaford Van Lines (South Africa),http://www.stuttafordvanlines.com,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/stuttaford-van-lines-south-africa,FIDI Global Alliance (FAIM Plus),,2027
XX-ZA,movers,AGS Worldwide Movers (South Africa),https://www.agsmovers.com/,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/ags-worldwide-movers-south-africa,FIDI Global Alliance (FAIM),,2028
XX-ZA,movers,Pickfords Removals (South Africa),http://www.pickfords.co.za,FIDI Find a FIDI Affiliate,https://www.fidi.org/find-fidi-affiliate/pickfords-removals-south-africa,FIDI Global Alliance (FAIM),,2028
XX-ZA,banks,The Standard Bank of South Africa Limited,https://www.standardbank.co.za,SARB Prudential Authority — SA Registered Banks (Locally Controlled Banks Jan 2026),https://www.resbank.co.za/content/dam/sarb/publications/prudential-authority/sa-registered-financial-banks-and-rep-offices/2026/Locally%20Controlled%20Banks%20as%20at%20Jan%202026.pdf,South African Reserve Bank Prudential Authority,,
XX-ZA,banks,FirstRand Limited,https://www.firstrand.co.za/,SARB Prudential Authority — SA Registered Banks (Locally Controlled Banks Jan 2026),https://www.resbank.co.za/content/dam/sarb/publications/prudential-authority/sa-registered-financial-banks-and-rep-offices/2026/Locally%20Controlled%20Banks%20as%20at%20Jan%202026.pdf,South African Reserve Bank Prudential Authority,,
XX-ZA,banks,Absa Bank Limited,https://www.absa.africa/,SARB Prudential Authority — SA Registered Banks (Locally Controlled Banks Jan 2026),https://www.resbank.co.za/content/dam/sarb/publications/prudential-authority/sa-registered-financial-banks-and-rep-offices/2026/Locally%20Controlled%20Banks%20as%20at%20Jan%202026.pdf,South African Reserve Bank Prudential Authority,,
XX-ZA,banks,Nedbank Limited,https://www.nedbank.co.za,SARB Prudential Authority — SA Registered Banks (Locally Controlled Banks Jan 2026),https://www.resbank.co.za/content/dam/sarb/publications/prudential-authority/sa-registered-financial-banks-and-rep-offices/2026/Locally%20Controlled%20Banks%20as%20at%20Jan%202026.pdf,South African Reserve Bank Prudential Authority,,
XX-ZA,banks,Investec Bank Limited,https://www.investec.com,SARB Prudential Authority — SA Registered Banks (Locally Controlled Banks Jan 2026),https://www.resbank.co.za/content/dam/sarb/publications/prudential-authority/sa-registered-financial-banks-and-rep-offices/2026/Locally%20Controlled%20Banks%20as%20at%20Jan%202026.pdf,South African Reserve Bank Prudential Authority,,
XX-ZA,schools,American International School of Johannesburg,https://www.aisj-jhb.com/,IBO Find an IB World School,https://www.ibo.org/en/school/000756,International Baccalaureate Organization,000756,
XX-ZA,schools,Redhill School,https://www.redhill.co.za,IBO Find an IB World School,https://www.ibo.org/en/school/050584,International Baccalaureate Organization,050584,
XX-ZA,schools,Crawford International Ruimsig,https://www.crawfordinternational.co.za/ruimsig,IBO Find an IB World School,https://www.ibo.org/en/school/061794,International Baccalaureate Organization,061794,
XX-ZA,schools,IIE Crawford International Fourways,https://www.crawfordinternational.co.za,IBO Find an IB World School,https://www.ibo.org/en/school/061254,International Baccalaureate Organization,061254,
XX-ZA,tax_finance,PricewaterhouseCoopers Inc - Johannesburg,,IRBA Find a Firm (registered audit firms),https://irba.co.za/find-a-ra/,Independent Regulatory Board for Auditors (IRBA),901121-0000,
XX-ZA,tax_finance,Deloitte & Touche - Johannesburg,,IRBA Find a Firm (registered audit firms),https://irba.co.za/find-a-ra/,Independent Regulatory Board for Auditors (IRBA),902276-0001,
XX-ZA,tax_finance,KPMG Inc - Johannesburg,,IRBA Find a Firm (registered audit firms),https://irba.co.za/find-a-ra/,Independent Regulatory Board for Auditors (IRBA),900133-0000,
XX-ZA,tax_finance,Ernst and Young Inc - Head Office (Johannesburg),,IRBA Find a Firm (registered audit firms),https://irba.co.za/find-a-ra/,Independent Regulatory Board for Auditors (IRBA),918288-0000,
XX-ZA,housing_agencies,Sandton Signature Properties (Pty) Ltd (t/a Fine and Country Sandton),,PPRA Practitioner Search (Fidelity Fund Certificate register),https://theppra.org.za/practitioner-search/,Property Practitioners Regulatory Authority (PPRA),202614022110000,
XX-ZA,housing_agencies,Enzimart (Pty) Ltd (t/a Century 21 Bryanston),,PPRA Practitioner Search (Fidelity Fund Certificate register),https://theppra.org.za/practitioner-search/,Property Practitioners Regulatory Authority (PPRA),202401016400357,
XX-ZA,housing_agencies,Jamieson Rentals & Sales Bryanston,,PPRA Practitioner Search (Fidelity Fund Certificate register),https://theppra.org.za/practitioner-search/,Property Practitioners Regulatory Authority (PPRA),202615048150000,
